cpd_id	conflict_type	reason	pubchem_cid	stored_inchikey	pubchem_inchikey
cpd03899	MISMATCH	MISMATCH: IGNORE:tautomer_connectivity (same heavy-atom connectivity, different H positions — tautomer not recognized by RDKit enumerator) — requires manual review	441046	MDYWWBMXAFPJCJ-NWJWHWDBSA-N	JDALSSGOBMTZEP-NWJWHWDBSA-N
cpd03916	XREF_CONFLICT			OCNLJCZKGHKJGF-QOCQOLRHSA-J	
cpd03917	XREF_CONFLICT			AXZSUSWNAXMBBB-QOCQOLRHSA-N	
cpd03918	XREF_CONFLICT			KQXSPGAEBZWHMC-OCUXTBADSA-O	
cpd03919	XREF_CONFLICT			MQCMBMUJJHSGIF-OCUXTBADSA-M	
cpd03920	XREF_CONFLICT			IQTYKHRKNGVJEO-KTPDRMMFSA-M	
cpd03977	XREF_CONFLICT			OFVLGDICTFRJMM-WESIUVDSSA-N	
cpd03978	XREF_CONFLICT			ZGIPMGGESRKDMZ-GCGNAMEMSA-M	
cpd03988	XREF_CONFLICT			MGUSRJSAZCSLJB-UHFFFAOYSA-L	
cpd03999	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (0 vs 6)	727	JLYXXMFPNIAWKQ-GNIYUCBRSA-N	JLYXXMFPNIAWKQ-UHFFFAOYSA-N
cpd04028	XREF_CONFLICT			IWVCMVBTMGNXQD-PXOLEDIWSA-N	
cpd04057	XREF_CONFLICT			INUFQOJZVFLXMQ-OWYOPICZSA-N	
cpd04074	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (0 vs 1)	441135	IDPOSZGKQSRDFE-CCEZHUSRSA-L	IDPOSZGKQSRDFE-UHFFFAOYSA-N
cpd04090	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: stereo_inversion: 1 of 18 shared stereocenters have different configuration	72715788	MYPYJXKWCTUITO-JTFZNGFOSA-O	MYPYJXKWCTUITO-LYRMYLQWSA-O
cpd04099	XREF_CONFLICT			ABLZXFCXXLZCGV-UHFFFAOYSA-M	
cpd04105	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (10 vs 12)	441148	MQBCDKMPXVYCGO-FQBKTPCVSA-M	MQBCDKMPXVYCGO-MGQAWMCHSA-N
cpd04106	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (10 vs 12)	11953886	JFPVMCRFDBEEHF-QFVXKRNMSA-N	JFPVMCRFDBEEHF-JPFSBEFCSA-N
