ID	NAMES	COMPARTMENT	MATCH	MODELSEED	MS NAMES
C171_input	Input/Output_of_Heptadecenoate._Artificial_metabolite	System_input	N	fcpd02019	
C171e	Heptadecenoate	Extracellular_space	Y	fcpd01259	heptadecenoate
C17DACP	Heptadec-2-enoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01483	Heptadec-2-enoyl-[acyl-carrier protein]
C17DCOAm	Heptadec-2-enoyl-CoA	Mitochondrion	Y	fcpd01484	Heptadec-2-enoyl-CoA
C17HACP	3-hydroxyheptadecanoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01485	3-hydroxyheptadecanoyl-[acyl-carrier protein]
C17HCOAm	3-hydroxyheptadecanoyl-CoA	Mitochondrion	Y	fcpd01265	3-hydroxyheptadecanoyl-CoA
C17OACP	3-oxoheptadecanoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01486	3-oxoheptadecanoyl-[acyl-carrier protein]
C17OCOAm	3-oxoheptadecanoyl-CoA	Mitochondrion	Y	fcpd01267	3-oxoheptadecanoyl-CoA
C180	Octadecanoate	Cytosol	Y	cpd01080	ocdca
C180ACP	Octadecanoyl-[acyl-carrier_protein]	Cytosol	Y	cpd12458	Stearoyl-[acyl-carrier protein]
C180CAR	Octadecanoyl-carnitine	Cytosol	Y	fcpd01487	Octadecanoyl-carnitine
C180CARm	Octadecanoyl-carnitine	Mitochondrion	Y	fcpd01487	Octadecanoyl-carnitine
C180COA	Octadecanoyl-CoA	Cytosol	Y	cpd00327	strcoa
C180COAm	Octadecanoyl-CoA	Mitochondrion	Y	cpd00327	strcoa
C180_input	Input/Output_of_Octadecanoate._Artificial_metabolite	System_input	N	fcpd02020	
C180e	Octadecanoate	Extracellular_space	Y	cpd01080	ocdca
C181	Octadecenoate	Cytosol	Y	cpd00536	Oleate
C181ACP	Octadecenoyl-[acyl-carrier_protein]	Cytosol	Y	cpd11825	Octadecenoyl-ACP
C181CAR	Octadecenoyl-carnitine	Cytosol	Y	fcpd01488	Octadecenoyl-carnitine
C181CARm	Octadecenoyl-carnitine	Mitochondrion	Y	fcpd01488	Octadecenoyl-carnitine
C181COA	Octadecenoyl-CoA	Cytosol	Y	cpd00399	Oleoyl-CoA
C181COAm	Octadecenoyl-CoA	Mitochondrion	Y	cpd15274	Octadecenoyl-CoA
C181_input	Input/Output_of_Octadecenoate._Artificial_metabolite	System_input	N	fcpd02021	
C181e	Octadecenoate	Extracellular_space	Y	cpd00536	Oleate
C182	Octadecadienoate	Cytosol	Y	cpd01122	Linoleate
C182ACP	Octadecadienoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01490	Octadecadienoyl-[acyl-carrier protein]
C182CAR	Octadecadienoyl-carnitine	Cytosol	Y	fcpd01491	Octadecadienoyl-carnitine
C182CARm	Octadecadienoyl-carnitine	Mitochondrion	Y	fcpd01491	Octadecadienoyl-carnitine
C182COA	Octadecadienoyl-CoA	Cytosol	Y	cpd01398	Linoleoyl-CoA
C182COAm	Octadecadienoyl-CoA	Mitochondrion	Y	cpd01398	Linoleoyl-CoA
C182_input	Input/Output_of_Octadecadienoate._Artificial_metabolite	System_input	N	fcpd02022	
C182e	Octadecadienoate	Extracellular_space	Y	cpd01122	Linoleate
C183	Octadecatrienoate	Cytosol	Y	cpd03850	Linolenate
C183ACP	Octadecatrienoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01493	Octadecatrienoic acid-[acyl-carrier protein]
C183CAR	Octadecatrienoyl-carnitine	Cytosol	Y	fcpd01494	Octadecatrienoyl-carnitine
C183CARm	Octadecatrienoyl-carnitine	Mitochondrion	Y	fcpd01494	Octadecatrienoyl-carnitine
C183COA	Octadecatrienoyl-CoA	Cytosol	Y	cpd14883	alpha-Linolenoyl-CoA
