# source=MFAToolkit WebGCM  sha=713236f  cues=etc/MFAToolkit/cues/  input=ModelSEED structures (Unique_ModelSEED_Structures.txt, SMILES preferred)  convention=A (H+ = -9.5 kcal/mol, H in compound dGf)  units=kcal/mol
compound_id	status	dg_kcal_per_mol	dgerr_kcal_per_mol	charge	formula	groups	note
cpd00059	ok	-209.22	2.0642	0	C6H8O6	ring -O-CO-:1|ring -CH<:2|>CH-:1|-OH:3|-CH2-:1|ring >C=O:1|Origin:1|0	No special notes for this compound.
cpd00060	ok	-75.91	1.6303	0	C5H11NO2S	-CH3:1|-S-:1|-CH2-:2|>CH-:1|-NH3:1|-COO:1|Origin:1|0	No special notes for this compound.
cpd00061	ok	-316.08	1.1795	0	C3H3O6P	=CH2:1|=C<:1|-OPO3:1|-COO:1|Origin:1|OCCC:1|-2	No special notes for this compound.
cpd00062	ok	-813.77	3.7981	0	C9H12N2O15P3	ring >C=O:2|ring =CH-:2|ring -CH<:4|ring -O-:1|-CH2-:1|-OPO2-:2|-OPO3:1|-OH:2|amide:2|ring -N<:1|ring -NH-:1|Origin:1|OCCC:1|-3	No special notes for this compound.
cpd00063	unknown_group			0	Ca	Ca2+:1|2	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: Ca2+:1|
cpd00064	ok	-85.66	1.0174	0	C5H13N2O2	-NH3:2|-CH2-:3|>CH-:1|-COO:1|Origin:1|1	No special notes for this compound.
cpd00065	ok	-25.00	3.1579	0	C11H12N2O2	-NH3:1|>CH-:1|-CH2-:1|ring =C<:1|ring =CH-:1|ring -NH-:1|two fused rings >C=:2|aromatic ring =CH-:4|-COO:1|Origin:1|heteroaromatic:1|0	No special notes for this compound.
cpd00066	ok	-51.05	1.654	0	C9H11NO2	-NH3:1|>CH-:1|-CH2-:1|aromatic ring =C<:1|aromatic ring =CH-:5|-COO:1|Origin:1|0	No special notes for this compound.
cpd00067	unknown_group			0	H	H+:1|1	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: H+:1|
cpd00068	ok	-729.58	5.5087	0	C10H12N4O14P3	ring >C=O:1|ring =CH-:2|ring =N-:2|two fused rings >C=:2|ring -N<:1|ring -CH<:4|ring -O-:1|-CH2-:1|-OPO2-:2|-OPO3:1|-OH:2|amide:1|ring -NH-:1|Origin:1|OCCC:1|CCNC:1|heteroaromatic:1|-3	No special notes for this compound.
cpd00069	ok	-90.53	1.8025	0	C9H11NO3	-NH3:1|>CH-:1|-CH2-:1|aromatic ring =C<:2|aromatic ring =CH-:4|-OH:1|-COO:1|Origin:1|0	No special notes for this compound.
cpd00070	ok	-863.66	7.0838	0	C24H34N7O19P3S	-CH3:2|>C<:1|-CH2-:7|-OPO3-:1|-OPO2-:1|ring -CH<:4|ring -O-:1|ring -N<:1|ring =CH-:2|ring =N-:3|two fused rings >C=:2|ring =C<:1|-NH2:1|-OH:2|-OPO3:1|>CH-:1|>C=O:3|-COO:1|amide:2|-NH-:2|-S-:1|thioester:1|Origin:1|heteroaromatic:2|-4	No special notes for this compound.
cpd00071	ok	-33.40	1	0	C2H4O	acetaldehyde:1|0	No special notes for this compound.
cpd00072	ok	-431.67	2.623	0	C6H12O9P	-OPO3:1|-CH2-:2|ring -CH<:3|ring -O-:1|ring >C<:1|-OH:4|Origin:1|-1	No special notes for this compound.
cpd00073	ok	-48.70	1	0	CH4N2O	urea:1|0	No special notes for this compound.
cpd00074	no_groups			0	H2S	unlabeled atoms:3|Origin:1|0	Formation energy not estimated due to the presence of 3 atoms that could not be assigned to any of the existing set of structural groups.
cpd00075	ok	-8.90	1	0	NO2	nitrite:1|-1	No special notes for this compound.
cpd00076	ok	-377.65	5.5385	0	C12H22O11	-OH:8|-CH2-:3|ring -CH<:8|ring -O-:2|ring >C<:1|-O-:1|Origin:1|0	No special notes for this compound.
cpd00077	ok	-49.38	1.7641	0	C6H6O2	-OH:2|aromatic ring =C<:2|aromatic ring =CH-:4|Origin:1|0	No special notes for this compound.
cpd00078	ok	-862.04	7.1164	0	C25H36N7O19P3S	-CH3:2|>C<:1|-CH2-:8|-OPO3-:1|-OPO2-:1|ring -CH<:4|ring -O-:1|ring -N<:1|ring =CH-:2|ring =N-:3|two fused rings >C=:2|ring =C<:1|-NH2:1|-OH:2|-OPO3:1|>CH-:1|>C=O:3|-COO:1|amide:2|-NH-:2|-S-:1|thioester:1|Origin:1|heteroaromatic:2|-4	No special notes for this compound.
cpd00079	ok	-430.78	3.0113	0	C6H12O9P	-OPO3:1|-CH2-:1|ring -CH<:5|ring -O-:1|-OH:4|Origin:1|-1	No special notes for this compound.
