Source	Type	External ID	New ModelSEED ID	Old ModelSEED ID
BiGG	reactions	GLUDx	rxn30075	rxn00182
BiGG	reactions	GLUDxi	rxn30075	rxn00182
BiGG	reactions	GLUDy	rxn30023	rxn00184
BiGG	reactions	GLUDyi	rxn30023	rxn00184
BiGG	reactions	GLUN	rxn30024	rxn00189
BiGG	reactions	GLUNpp	rxn29962	rxn00189
BiGG	reactions	GLUTRSm	rxn30387	rxn06937
BiGG	reactions	GLYCL	rxn30025	rxn00908
BiGG	reactions	GLYCLm	rxn30388	rxn00908
BiGG	reactions	GLYD	rxn30314	rxn00268|rxn01011
BiGG	reactions	GLYOXm	rxn30389	rxn01274
BiGG	reactions	GMHEPAT	rxn13940	rxn03916
BiGG	reactions	GMHEPK	rxn13931	rxn03918
BiGG	reactions	GMHEPPA	rxn30028	rxn03919
BiGG	reactions	GMPR	rxn30029	rxn00837
BiGG	reactions	GMPS	rxn30076	rxn00916
BiGG	reactions	GPDDA1pp	rxn29958	rxn00758
BiGG	reactions	GPDDA2pp	rxn29959	rxn01073
BiGG	reactions	GPDDA3	rxn39049	rxn08668
BiGG	reactions	GPDDA4pp	rxn39050	rxn08669
BiGG	reactions	GPDDA5pp	rxn29960	rxn00889
BiGG	reactions	GPT2_1	rxn30134	rxn05901
BiGG	reactions	GTHOm	rxn19842	rxn00086
BiGG	reactions	GTHPm	rxn27891	rxn00205
BiGG	reactions	GTHRDHpp	rxn29964	rxn00350
BiGG	reactions	GTPCII	rxn30315	rxn00300
BiGG	reactions	GUAD	rxn30031	rxn01225
BiGG	reactions	HACD4p	rxn20480	rxn03244
BiGG	reactions	HACD5p	rxn20478	rxn03242
BiGG	reactions	HACD6p	rxn30390	rxn06777
BiGG	reactions	HACD7p	rxn20474	rxn03239
BiGG	reactions	HACD8p	rxn20476	rxn08700
BiGG	reactions	HACNHm	rxn30155	rxn03034
BiGG	reactions	HACOADr	rxn30548	rxn01480
BiGG	reactions	HBZOPT6m	rxn09574	rxn03894
BiGG	reactions	HCITSm	rxn30154	rxn00202
BiGG	reactions	HCITSn	rxn30391	rxn00202
BiGG	reactions	HCO3Em	rxn27740	rxn00102
BiGG	reactions	HCO3En	rxn30392	rxn00102
BiGG	reactions	HEM1	rxn30135	rxn00599
BiGG	reactions	HEMEOS	rxn05120	rxn08707
BiGG	reactions	HICITDm	rxn30393	rxn03324
BiGG	reactions	HIS3	rxn30136	rxn02473
BiGG	reactions	HISD1	rxn30486	rxn00867
BiGG	reactions	HISDr	rxn30486	rxn00867
BiGG	reactions	HISTRSm	rxn30394	rxn06439
BiGG	reactions	HMBS	rxn30032	rxn00060
BiGG	reactions	HMGCOASm	rxn30395	rxn01454
BiGG	reactions	HPPK	rxn30033	rxn02503
BiGG	reactions	HPPK2	rxn30033	rxn02503
BiGG	reactions	HPPKm	rxn30396	rxn02503
BiGG	reactions	HPROxm	rxn30397	rxn02356
BiGG	reactions	HPROym	rxn30398	rxn02358
BiGG	reactions	HSPMS	rxn30077	rxn00015
BiGG	reactions	HTD2_1	rxn39061	rxn12927
BiGG	reactions	HTD2_2	rxn39062	rxn12928
BiGG	reactions	HTD2_3	rxn30137	rxn12929
BiGG	reactions	HTD2_4	rxn39063	rxn12930
BiGG	reactions	HTD2_5	rxn30138	rxn12932
BiGG	reactions	HTD2_6	rxn30139	rxn12934
BiGG	reactions	HTD2_8	rxn30140	rxn07578
BiGG	reactions	ICDHxm	rxn30141	rxn00505
BiGG	reactions	ICDHym	rxn30399	rxn00198
BiGG	reactions	ICDHyp	rxn30400	rxn00198
