reaction	atom_mapping_confidence
rxn01271	clean
rxn01272	salvaged
rxn01273	clean
rxn01274	clean
rxn01275	clean
rxn01276	clean
rxn01277	clean
rxn01278	clean
rxn01279	clean
rxn01280	clean
rxn01281	clean
rxn01282	clean
rxn01283	salvaged
rxn01284	salvaged
rxn01285	salvaged
rxn01286	clean
rxn01287	clean
rxn01288	clean
rxn01289	clean
rxn01290	clean
rxn01291	clean
rxn01292	clean
rxn01293	clean
rxn01294	salvaged
rxn01295	clean
rxn01296	clean
rxn01297	clean
rxn01298	clean
rxn01299	clean
rxn01300	clean
rxn01301	clean
rxn01302	clean
rxn01303	clean
rxn01304	clean
rxn01305	clean
rxn01306	clean
rxn01307	clean
rxn01308	clean
rxn01310	clean
rxn01313	clean
rxn01314	clean
rxn01315	clean
rxn01316	clean
rxn01317	clean
rxn01318	salvaged
rxn01319	salvaged
rxn01320	salvaged
rxn01322	clean
rxn01323	clean
rxn01324	clean
rxn01325	clean
rxn01326	clean
rxn01327	clean
rxn01328	clean
rxn01329	clean
rxn01331	clean
rxn01332	clean
rxn01333	clean
rxn01334	clean
rxn01336	clean
rxn01337	clean
rxn01338	clean
rxn01339	clean
rxn01340	clean
rxn01341	salvaged
rxn01342	salvaged
rxn01343	clean
rxn01344	clean
rxn01345	clean
rxn01346	clean
rxn01347	clean
rxn01348	clean
rxn01349	clean
rxn01350	clean
rxn01351	clean
rxn01352	clean
rxn01353	salvaged
rxn01354	clean
rxn01355	clean
rxn01356	salvaged
rxn01357	clean
rxn01358	clean
rxn01359	clean
rxn01360	clean
rxn01361	clean
rxn01362	clean
rxn01363	clean
rxn01364	clean
rxn01365	clean
rxn01366	clean
rxn01367	clean
rxn01368	clean
rxn01369	clean
rxn01370	clean
rxn01371	clean
rxn01372	clean
rxn01373	clean
rxn01374	clean
rxn01375	clean
rxn01376	clean
rxn01377	clean
rxn01378	clean
rxn01379	clean
rxn01380	clean
rxn01381	salvaged
rxn01382	clean
rxn01383	clean
rxn01385	clean
rxn01386	clean
rxn01387	clean
rxn01388	clean
rxn01389	clean
rxn01390	clean
rxn01391	clean
rxn01392	clean
rxn01393	clean
rxn01394	clean
rxn01395	salvaged
rxn01396	clean
rxn01397	clean
rxn01398	clean
rxn01399	clean
rxn01401	clean
rxn01402	clean
rxn01403	clean
rxn01404	salvaged
rxn01405	clean
rxn01406	salvaged
rxn01407	clean
rxn01408	clean
rxn01409	clean
rxn01410	clean
rxn01411	clean
rxn01412	clean
rxn01413	clean
rxn01414	clean
rxn01415	clean
rxn01416	clean
rxn01417	clean
rxn01418	salvaged
rxn01419	salvaged
rxn01420	salvaged
rxn01421	clean
rxn01422	clean
rxn01423	clean
rxn01425	clean
rxn01426	clean
rxn01427	salvaged
rxn01428	salvaged
rxn01429	salvaged
rxn01430	clean
rxn01431	clean
rxn01434	salvaged
rxn01435	clean
rxn01436	clean
rxn01437	clean
rxn01438	salvaged
rxn01439	clean
rxn01440	clean
rxn01441	clean
rxn01442	clean
rxn01443	clean
rxn01444	clean
rxn01445	clean
rxn01446	clean
rxn01447	clean
rxn01448	clean
rxn01449	clean
rxn01450	salvaged
rxn01451	clean
rxn01452	clean
rxn01453	clean
rxn01454	clean
rxn01455	clean
rxn01456	clean
rxn01457	clean
rxn01458	clean
rxn01459	clean
rxn01460	clean
rxn01461	clean
rxn01462	clean
rxn01463	clean
rxn01464	clean
rxn01465	clean
rxn01466	clean
rxn01467	clean
rxn01468	clean
rxn01469	clean
rxn01471	clean
rxn01472	clean
rxn01473	clean
rxn01474	clean
rxn01475	clean
rxn01476	clean
rxn01477	clean
rxn01478	clean
rxn01479	clean
rxn01480	clean
rxn01481	clean
rxn01482	clean
rxn01483	clean
rxn01484	clean
rxn01485	clean
rxn01486	clean
rxn01487	clean
rxn01488	clean
rxn01489	clean
rxn01490	clean
rxn01491	clean
rxn01492	clean
rxn01494	clean
rxn01495	clean
rxn01496	clean
rxn01497	clean
rxn01498	clean
rxn01499	salvaged
rxn01500	clean
rxn01501	clean
rxn01502	clean
rxn01503	clean
rxn01504	clean
rxn01505	clean
rxn01506	clean
rxn01507	clean
rxn01508	clean
rxn01509	clean
rxn01510	clean
rxn01511	clean
rxn01512	clean
rxn01513	clean
rxn01514	clean
rxn01515	clean
rxn01516	clean
rxn01517	clean
rxn01518	clean
rxn01519	clean
rxn01520	clean
rxn01521	clean
rxn01522	clean
rxn01523	clean
rxn01524	clean
rxn01525	clean
rxn01526	salvaged
rxn01527	salvaged
rxn01528	clean
rxn01529	clean
rxn01530	clean
rxn01531	clean
rxn01532	clean
rxn01533	salvaged
rxn01534	salvaged
rxn01535	clean
rxn01536	clean
rxn01537	clean
rxn01538	clean
rxn01539	clean
rxn01540	clean
rxn01541	clean
rxn01542	clean
rxn01543	clean
rxn01544	clean
rxn01545	clean
rxn01546	clean
rxn01547	clean
rxn01548	clean
rxn01549	clean
rxn01550	clean
rxn01551	clean
rxn01552	clean
rxn01553	salvaged
rxn01554	clean
rxn01555	clean
rxn01556	clean
rxn01557	clean
rxn01558	clean
rxn01559	salvaged
rxn01560	clean
rxn01561	clean
