ID	DATABASE	RHEA
1.3.99.18-RXN	MetaCyc	16697
1.3.99.19-RXN	MetaCyc	14952
1.3.99.23-RXN	MetaCyc	19195
1.3.99.5-RXN	MetaCyc	54386
1.4.1.11-RXN	MetaCyc	19634
1.4.1.21-RXN	MetaCyc	11787|11791
1.4.3.17-RXN	MetaCyc	19904
1.4.3.19-RXN	MetaCyc	11533
1.4.3.20-RXN	MetaCyc	22549
1.4.99.5-RXN	MetaCyc	15824
1.5.1.11-RXN	MetaCyc	16287
1.5.1.15-RXN	MetaCyc	22893
1.5.1.19-RXN	MetaCyc	19639
1.5.1.24-RXN	MetaCyc	18664
1.5.1.25-RXN	MetaCyc	12506|12502
1.5.1.27-RXN	MetaCyc	17572|17571
1.5.1.28-RXN	MetaCyc	21595
1.5.1.31-RXN	MetaCyc	21271
1.5.1.34-RXN	MetaCyc	17867|17871
1.5.1.7-RXN	MetaCyc	12441
1.5.1.8-RXN	MetaCyc	19375
1.5.1.9-RXN	MetaCyc	24521
1.5.3.17-RXN	MetaCyc	25805
1.5.4.1-RXN	MetaCyc	10722
1.5.5.1-RXN	MetaCyc	24055
1.5.8.1-RXN	MetaCyc	10207
1.5.8.2-RXN	MetaCyc	11867
1.5.99.12-RXN	MetaCyc	13628
1.5.99.9-RXN	MetaCyc	16724
1.6.1.2-RXN	MetaCyc	11695
1.6.4.4-RXN	MetaCyc	18756|18752
1.6.4.9-RXN	MetaCyc	11983
1.6.5.4-RXN	MetaCyc	14582
1.6.5.6-RXN	MetaCyc	23489
1.6.5.7-RXN	MetaCyc	12429
1.6.6.12-RXN	MetaCyc	19789
1.6.99.12-RXN	MetaCyc	16115
1.6.99.5-RXN	MetaCyc	46163
1.7.1.12-RXN	MetaCyc	13112|13116
1.7.1.9-RXN	MetaCyc	22479|22483
1.7.2.2-RXN	MetaCyc	13091
1.7.2.3-RXN	MetaCyc	24238
1.7.7.2-RXN	MetaCyc	21830
1.7.99.8-RXN	MetaCyc	23233
1.8.1.12-RXN	MetaCyc	16760
1.8.1.15-RXN	MetaCyc	12691|12687
1.8.1.4-RXN	MetaCyc	15046
1.8.1.5-RXN	MetaCyc	16979
1.8.3.5-RXN	MetaCyc	14362
1.8.4.12-RXN	MetaCyc	24167
1.8.4.13-RXN	MetaCyc	19995
1.8.4.14-RXN	MetaCyc	21262
1.8.4.1-RXN	MetaCyc	11467
1.8.4.3-RXN	MetaCyc	13128
1.8.4.4-RXN	MetaCyc	12614
1.8.4.8-RXN	MetaCyc	11727
1.8.4.9-RXN	MetaCyc	14143
1.8.5.1-RXN	MetaCyc	24425
1.8.5.2-RXN	MetaCyc	10937
1.8.98.1-RXN	MetaCyc	18088
1.8.98.2-RXN	MetaCyc	17548
1.97.1.11-RXN	MetaCyc	18899
1.97.1.1-RXN	MetaCyc	16350
1.97.1.2-RXN	MetaCyc	21001
1.97.1.8-RXN	MetaCyc	20355
11-BETA-HYDROXYSTEROID-DEHYDROGENASE-RXN	MetaCyc	11391
11-CIS-RETINYL-PALMITATE-HYDROLASE-RXN	MetaCyc	19700
