ModelSEED ID	External ID	External Name
R00431	rn00620	Pyruvate metabolism
R00431	rn01110	Biosynthesis of secondary metabolites
R00432	rn00020	Citrate cycle (TCA cycle)
R00432	rn00640	Propanoate metabolism
R00432	rn01110	Biosynthesis of secondary metabolites
R00432	rn01200	Carbon metabolism
R00434	rn00230	Purine metabolism
R00435	rn00230	Purine metabolism
R00437	rn00230	Purine metabolism
R00438	rn00240	Pyrimidine metabolism
R00439	rn00230	Purine metabolism
R00440	rn00240	Pyrimidine metabolism
R00441	rn00230	Purine metabolism
R00442	rn00240	Pyrimidine metabolism
R00443	rn00240	Pyrimidine metabolism
R00446	rn00960	Tropane, piperidine and pyridine alkaloid biosynthesis
R00447	rn00310	Lysine degradation
R00447	rn00960	Tropane, piperidine and pyridine alkaloid biosynthesis
R00448	rn00310	Lysine degradation
R00449	rn00310	Lysine degradation
R00451	rn00300	Lysine biosynthesis
R00451	rn01110	Biosynthesis of secondary metabolites
R00451	rn01230	Biosynthesis of amino acids
R00452	rn00310	Lysine degradation
R00454	rn00310	Lysine degradation
R00458	rn00310	Lysine degradation
R00460	rn00310	Lysine degradation
R00461	rn00310	Lysine degradation
R00462	rn00310	Lysine degradation
R00462	rn00960	Tropane, piperidine and pyridine alkaloid biosynthesis
R00462	rn01110	Biosynthesis of secondary metabolites
R00465	rn00630	Glyoxylate and dicarboxylate metabolism
R00466	rn00630	Glyoxylate and dicarboxylate metabolism
R00468	rn00630	Glyoxylate and dicarboxylate metabolism
R00469	rn00230	Purine metabolism
R00470	rn00630	Glyoxylate and dicarboxylate metabolism
R00471	rn00330	Arginine and proline metabolism
R00472	rn00620	Pyruvate metabolism
R00472	rn00630	Glyoxylate and dicarboxylate metabolism
R00472	rn01200	Carbon metabolism
R00473	rn00630	Glyoxylate and dicarboxylate metabolism
R00473	rn00680	Methane metabolism
R00473	rn00720	Carbon fixation pathways in prokaryotes
R00473	rn01200	Carbon metabolism
R00474	rn00630	Glyoxylate and dicarboxylate metabolism
R00475	rn00630	Glyoxylate and dicarboxylate metabolism
R00475	rn01110	Biosynthesis of secondary metabolites
R00476	rn00630	Glyoxylate and dicarboxylate metabolism
R00477	rn00630	Glyoxylate and dicarboxylate metabolism
R00479	rn00630	Glyoxylate and dicarboxylate metabolism
R00479	rn01200	Carbon metabolism
R00480	rn00260	Glycine, serine and threonine metabolism
R00480	rn00270	Cysteine and methionine metabolism
R00480	rn00300	Lysine biosynthesis
R00480	rn01110	Biosynthesis of secondary metabolites
R00480	rn01210	2-Oxocarboxylic acid metabolism
R00480	rn01230	Biosynthesis of amino acids
R00481	rn00760	Nicotinate and nicotinamide metabolism
R00483	rn00250	Alanine, aspartate and glutamate metabolism
R00483	rn00460	Cyanoamino acid metabolism
R00483	rn01110	Biosynthesis of secondary metabolites
R00483	rn01230	Biosynthesis of amino acids
R00484	rn00250	Alanine, aspartate and glutamate metabolism
R00485	rn00250	Alanine, aspartate and glutamate metabolism
R00485	rn00460	Cyanoamino acid metabolism
R00485	rn01110	Biosynthesis of secondary metabolites
R00486	rn00460	Cyanoamino acid metabolism
R00487	rn00250	Alanine, aspartate and glutamate metabolism
R00488	rn00250	Alanine, aspartate and glutamate metabolism
R00489	rn00410	beta-Alanine metabolism
R00489	rn00770	Pantothenate and CoA biosynthesis
R00489	rn01110	Biosynthesis of secondary metabolites
R00490	rn00250	Alanine, aspartate and glutamate metabolism
R00491	rn00250	Alanine, aspartate and glutamate metabolism
R00494	rn00480	Glutathione metabolism
R00497	rn00480	Glutathione metabolism
R00501	rn00520	Amino sugar and nucleotide sugar metabolism
R00501	rn01110	Biosynthesis of secondary metabolites
R00502	rn00052	Galactose metabolism
R00502	rn00520	Amino sugar and nucleotide sugar metabolism
R00502	rn01110	Biosynthesis of secondary metabolites
R00503	rn00052	Galactose metabolism
R00505	rn00052	Galactose metabolism
R00506	rn00052	Galactose metabolism
R00507	rn00230	Purine metabolism
R00507	rn00920	Sulfur metabolism
R00508	rn00920	Sulfur metabolism
R00509	rn00230	Purine metabolism
R00509	rn00920	Sulfur metabolism
R00510	rn00240	Pyrimidine metabolism
R00511	rn00240	Pyrimidine metabolism
R00512	rn00240	Pyrimidine metabolism
R00513	rn00240	Pyrimidine metabolism
R00514	rn00240	Pyrimidine metabolism
R00515	rn00240	Pyrimidine metabolism
R00516	rn00240	Pyrimidine metabolism
R00517	rn00240	Pyrimidine metabolism
R00518	rn00630	Glyoxylate and dicarboxylate metabolism
R00519	rn00630	Glyoxylate and dicarboxylate metabolism
R00519	rn00680	Methane metabolism
R00519	rn01200	Carbon metabolism
R00521	rn00630	Glyoxylate and dicarboxylate metabolism
R00522	rn00630	Glyoxylate and dicarboxylate metabolism
R00524	rn00460	Cyanoamino acid metabolism
R00524	rn00630	Glyoxylate and dicarboxylate metabolism
R00524	rn00910	Nitrogen metabolism
R00524	rn01200	Carbon metabolism
R00525	rn00340	Histidine metabolism
R00525	rn00630	Glyoxylate and dicarboxylate metabolism
R00526	rn00340	Histidine metabolism
R00526	rn00630	Glyoxylate and dicarboxylate metabolism
R00527	rn00680	Methane metabolism
R00527	rn01200	Carbon metabolism
R00528	rn00920	Sulfur metabolism
R00529	rn00230	Purine metabolism
R00529	rn00920	Sulfur metabolism
R00530	rn00920	Sulfur metabolism
R00531	rn00920	Sulfur metabolism
R00533	rn00920	Sulfur metabolism
R00535	rn00140	Steroid hormone biosynthesis
R00536	rn00140	Steroid hormone biosynthesis
R00537	rn00140	Steroid hormone biosynthesis
R00540	rn00910	Nitrogen metabolism
R00548	rn00740	Riboflavin metabolism
R00549	rn00740	Riboflavin metabolism
R00551	rn00330	Arginine and proline metabolism
R00551	rn01110	Biosynthesis of secondary metabolites
R00551	rn01230	Biosynthesis of amino acids
R00552	rn00330	Arginine and proline metabolism
R00552	rn01110	Biosynthesis of secondary metabolites
R00554	rn00330	Arginine and proline metabolism
R00557	rn00330	Arginine and proline metabolism
R00557	rn01110	Biosynthesis of secondary metabolites
R00558	rn00330	Arginine and proline metabolism
R00559	rn00330	Arginine and proline metabolism
R00562	rn00330	Arginine and proline metabolism
R00563	rn00330	Arginine and proline metabolism
R00565	rn00260	Glycine, serine and threonine metabolism
R00565	rn00330	Arginine and proline metabolism
R00566	rn00330	Arginine and proline metabolism
R00567	rn00472	D-Arginine and D-ornithine metabolism
R00568	rn00240	Pyrimidine metabolism
R00569	rn00240	Pyrimidine metabolism
R00570	rn00240	Pyrimidine metabolism
R00571	rn00240	Pyrimidine metabolism
R00573	rn00240	Pyrimidine metabolism
R00575	rn00240	Pyrimidine metabolism
R00575	rn00250	Alanine, aspartate and glutamate metabolism
R00576	rn00250	Alanine, aspartate and glutamate metabolism
R00578	rn00250	Alanine, aspartate and glutamate metabolism
R00578	rn01110	Biosynthesis of secondary metabolites
R00579	rn00471	D-Glutamine and D-glutamate metabolism
R00582	rn00260	Glycine, serine and threonine metabolism
R00582	rn00680	Methane metabolism
R00582	rn01200	Carbon metabolism
R00582	rn01230	Biosynthesis of amino acids
R00585	rn00260	Glycine, serine and threonine metabolism
R00586	rn00270	Cysteine and methionine metabolism
R00586	rn00920	Sulfur metabolism
R00586	rn01200	Carbon metabolism
R00586	rn01230	Biosynthesis of amino acids
R00588	rn00260	Glycine, serine and threonine metabolism
R00588	rn00630	Glyoxylate and dicarboxylate metabolism
R00588	rn00680	Methane metabolism
R00588	rn01110	Biosynthesis of secondary metabolites
R00588	rn01200	Carbon metabolism
R00589	rn00260	Glycine, serine and threonine metabolism
R00590	rn00270	Cysteine and methionine metabolism
R00603	rn00625	Chloroalkane and chloroalkene degradation
R00604	rn00625	Chloroalkane and chloroalkene degradation
R00604	rn00680	Methane metabolism
R00604	rn01200	Carbon metabolism
R00605	rn00680	Methane metabolism
R00606	rn00680	Methane metabolism
R00608	rn00680	Methane metabolism
R00608	rn01200	Carbon metabolism
R00609	rn00680	Methane metabolism
R00610	rn00260	Glycine, serine and threonine metabolism
R00611	rn00260	Glycine, serine and threonine metabolism
R00614	rn00625	Chloroalkane and chloroalkene degradation
R00614	rn00680	Methane metabolism
R00614	rn01200	Carbon metabolism
R00615	rn00730	Thiamine metabolism
R00616	rn00730	Thiamine metabolism
R00617	rn00730	Thiamine metabolism
R00618	rn00730	Thiamine metabolism
R00619	rn00730	Thiamine metabolism
R00621	rn00020	Citrate cycle (TCA cycle)
R00623	rn00071	Fatty acid degradation
R00631	rn00071	Fatty acid degradation
R00638	rn00071	Fatty acid degradation
