seed_id	name	n_reactions	verdict	safe	ours_p	zenodo_p
cpd00972	XDP	2	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd00862	alpha-D-Hexose 1-phosphate	2	safe: /h identical (differs only in /p)	1	p-2	p0
cpd00240	EDTA	2	safe: /h identical (differs only in /p)	1	p-4	p-2
cpd48120	<i>N</i>-carbamoyl-L-cysteine	1	safe: /h identical (differs only in /p)	1	p-2	p-1
cpd41755	D-ribose 5-triphosphate	1	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd41657	1-(3,5-dichloro-2,6-dihydroxy-	1	safe: /h identical (differs only in /p)	1	p0	p-1
cpd41126	N(4)-aminopropylspermine	1	safe: /h identical (differs only in /p)	1	p+4	p+5
cpd41125	1,2-dioctanoyl-sn-glycero-3-di	1	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd40297	2-oxo-dADP	1	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd40296	8-oxo-dADP	1	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd40102	TDP	1	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd40086	di-trans,undeca-cis-tetradecap	1	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd40085	di-trans,nona-cis-dodecaprenyl	1	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd40084	di-trans,deca-cis-tridecapreny	1	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd39452	2-oxo-ATP	1	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd39108	(2E)-2-propylpent-2-enoyl-CoA	1	safe: /h identical (differs only in /p)	1	p-4	p-4
cpd38757	nigerone	1	safe: /h identical (differs only in /p)	1	p-1	p-2
cpd38667	1,2-di-(9Z-octadecenoyl)-sn-gl	1	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd38011	3'-L-prolyl-AMP	1	safe: /h identical (differs only in /p)	1	p-2	p-1
cpd37578	(R)-2-(phosphonomethyl)malate	1	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd36883	CPD-11933	1	safe: /h identical (differs only in /p)	1	p-12	p-13
cpd36025	(8S)-3',8-cyclo-7,8-dihydrogua	1	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd35651	S-demethyl-thiocoraline dithio	1	safe: /h identical (differs only in /p)	1	p-3	p0
cpd34565	triostin A dithiol	1	safe: /h identical (differs only in /p)	1	p-2	p0
cpd34241	(2E,6E,10E)-12-hydroxy-3,7,11-	1	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd34029	dihydrogeodin	1	safe: /h identical (differs only in /p)	1	p-1	p-2
cpd32998	alpha-D-Kdo-(2->4)-alpha-D-Kdo	1	safe: /h identical (differs only in /p)	1	p-6	p-7
cpd32343	quercetin-3-gentiotetraside	1	safe: /h identical (differs only in /p)	1	p-2	p-1
cpd32204	thiocoraline	1	safe: /h identical (differs only in /p)	1	p-1	p0
cpd32055	2-(2,4-dihydroxy-6-methylbenzo	1	safe: /h identical (differs only in /p)	1	p0	p-2
cpd31893	5-phospho-L-arabinate	1	safe: /h identical (differs only in /p)	1	p-3	p-3
cpd31855	3,8,10,11-tetrahydroxy-1-methy	1	safe: /h identical (differs only in /p)	1	p-2	p-1
cpd31265	(-)-Bornyl diphosphate	1	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd26999	(R)-1-(threo-4-Hydroxy-L-3,6-d	1	safe: /h identical (differs only in /p)	1	p+3	p+3
cpd26506	2-oxoadenine	1	safe: /h identical (differs only in /p)	1	p+1	p0
cpd25932	L-threonyl-AMP	1	safe: /h identical (differs only in /p)	1	p0	p-1
cpd25926	petrobactin	1	safe: /h identical (differs only in /p)	1	p+1	p+3
cpd24816	HTCA	1	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd24456	1D-myo-inositol 6-diphospho-(1	1	safe: /h identical (differs only in /p)	1	p-10	p-11
cpd24064	2-hydroxy-dATP	1	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd23665	1-amino-2-phosphorylethylphosp	1	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd23435	(2Z,6Z,10Z,14Z,18Z,22Z,26Z,30Z	1	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd23178	(2Z,6Z,10Z,14Z,18Z,22Z,26E)-oc	1	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd23174	(2Z,6Z,10E)-tetraprenyl diphos	1	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd22810	demethylated 7,8-dihydromethan	1	safe: /h identical (differs only in /p)	1	p-3	p-2
cpd22783	di-trans, poly-cis-polyprenyl 	1	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd22133	5-hydroxy-CTP	1	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd21853	2-amino-4-carboxypyrimidine	1	safe: /h identical (differs only in /p)	1	p-1	p0
cpd21494	L-threo-Tetrahydrobiopterin	1	safe: /h identical (differs only in /p)	1	p0	p0
cpd21416	7-Methylguanosine 5'-diphospha	1	safe: /h identical (differs only in /p)	1	p-1	p-2
cpd19561	Pretetramid	1	safe: /h identical (differs only in /p)	1	p0	p-1
cpd15129	Naringin chalcone	1	safe: /h identical (differs only in /p)	1	p0	p-1
cpd11366	Nostocyclopeptide A3	1	safe: /h identical (differs only in /p)	1	p0	p0
cpd11365	Nostocyclopeptide A2	1	safe: /h identical (differs only in /p)	1	p0	p0
cpd11364	Nostocyclopeptide A1	1	safe: /h identical (differs only in /p)	1	p0	p0
cpd11242	Flavonol 3-O-beta-D-glucosyl-(	1	safe: /h identical (differs only in /p)	1	p0	p0
cpd09919	4,4'-Dihydroxybenzophenone	1	safe: /h identical (differs only in /p)	1	p0	p-1
cpd09846	Cyromazine	1	safe: /h identical (differs only in /p)	1	p0	p+1
cpd09269	Quercetin 3-O-malonylglucoside	1	safe: /h identical (differs only in /p)	1	p-3	p-2
cpd07924	2'-Deoxy-5-hydroxymethylcytidi	1	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd06997	Myricitrin	1	safe: /h identical (differs only in /p)	1	p-2	p-1
cpd05642	Melamine	1	safe: /h identical (differs only in /p)	1	p0	p+1
cpd04714	Ergotamine	1	safe: /h identical (differs only in /p)	1	p0	p+1
cpd04328	N-Acetyl-O-demethylpuromycin-5	1	safe: /h identical (differs only in /p)	1	p-2	p0
cpd04323	3'-Keto-3'-deoxy-AMP	1	safe: /h identical (differs only in /p)	1	p-2	p0
cpd04174	Acarbose	1	safe: /h identical (differs only in /p)	1	p0	p+1
cpd04144	Flavomycin	1	safe: /h identical (differs only in /p)	1	p-4	p-3
cpd03753	L-Tagatose 6-phosphate	1	safe: /h identical (differs only in /p)	1	p-2	p-2
cpd02684	Flavonol 3-O-(6-O-malonyl-beta	1	safe: /h identical (differs only in /p)	1	p-1	p0
cpd02645	Phosphoenol-4-deoxy-3-tetrulos	1	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd02594	trans-1,2-Dihydrobenzene-1,2-d	1	safe: /h identical (differs only in /p)	1	p0	p0
cpd02573	5-Methyldeoxycytidine diphosph	1	safe: /h identical (differs only in /p)	1	p-2	p-3
cpd02272	Inosine 5'-tetraphosphate	1	safe: /h identical (differs only in /p)	1	p-4	p0
cpd02198	Adenosine tetraphosphate	1	safe: /h identical (differs only in /p)	1	p-4	p-5
cpd01998	Farnesyl triphosphate	1	safe: /h identical (differs only in /p)	1	p-3	p-4
cpd01769	N4-Phosphoagmatine	1	safe: /h identical (differs only in /p)	1	p0	p-1
cpd01640	2-Butyne-1,4-diol	1	safe: /h identical (differs only in /p)	1	p0	p0
cpd01111	GDPhexose	1	safe: /h identical (differs only in /p)	1	p-2	p0
cpd00265	Amylopectin	1	safe: /h identical (differs only in /p)	1	p0	p0
cpd00015	FAD	181	safe: same protons, different grouping	1	p-2	p-3
cpd21207	8-Oxo-dGMP	5	safe: same protons, different grouping	1	p-3	p-2
cpd21206	8-Oxo-dGTP	3	safe: same protons, different grouping	1	p-4	p-4
cpd03666	2,5-Diamino-6-(5'-triphosphory	3	safe: same protons, different grouping	1	p-3	p0
cpd46864	5'-O-{(3-aminopropoxy)[L-alpha	2	safe: same protons, different grouping	1	p0	p-1
cpd26323	8-oxo-7,8-dihydro-2'-dGTP	2	safe: same protons, different grouping	1	p-4	p-4
cpd25987	Microcin C	2	safe: same protons, different grouping	1	p+1	p0
cpd24178	8-oxo-GDP	2	safe: same protons, different grouping	1	p-3	p-3
cpd23376	8-oxo-GMP	2	safe: same protons, different grouping	1	p-3	p-2
cpd23375	8-oxo-GTP	2	safe: same protons, different grouping	1	p-4	p-4
cpd21409	8-Oxo-dGDP	2	safe: same protons, different grouping	1	p-3	p-3
cpd02033	Tetrahydroxypteridine	1	safe: same protons, different grouping	1	p-1	p0
