reaction_id	name	grade	projected_grade	mechanism_grade	limiting_compound	reason	n_compounds	n_graded	distinct_grades	in_priority_scope	dg_prime_kcal_per_mol	uncertainty_kcal_per_mol
rxn00119	ATP:UMP phosphotransferase	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	5	5	2	1	-0.099	0.814
rxn00120	UTP phosphohydrolase	SILVER	SILVER	GOLD	cpd00009	ChemAxon ladder from pinned cache	5	5	2	1	-6.337	0.321
rxn00121	FAD nucleotidohydrolase	BRONZE-COLLAPSED	SILVER	BRONZE	cpd00015	MolGpKa with symmetry collapse	5	5	3	1	-4.616	1.048
rxn00122	ATP:FMN adenylyltransferase	BRONZE-COLLAPSED	SILVER	BRONZE	cpd00015	MolGpKa with symmetry collapse	4	4	3	1	-3.523	1.046
rxn00123	pyridoxal-5'-phosphate phosphohydrolase	SILVER	SILVER	GOLD	cpd00009	ChemAxon ladder from pinned cache	4	4	2	1	-3.049	0.513
rxn00124	ATP:pyridoxal 5'-phosphotransferase	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	5	5	2	1	-3.042	0.516
rxn00125	S-Adenosyl-L-methionine hydrolase	SILVER	SILVER	GOLD	cpd00017	ChemAxon ladder from pinned cache	5	5	2	0	21.712	23902.271
rxn00126	ATP:L-methionine S-adenosyltransferase	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	7	7	2	1	-28.719	23901.890
rxn00127	S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd00837	MolGpKa with symmetry collapse	4	4	3	1	-7.158	0.809
rxn00128	S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocy	BRONZE	BRONZE	SILVER	cpd00909	MolGpKa, sites chemically distinct	4	4	3	1	4.605	23902.097
rxn00129	S-Adenosyl-L-methionine alkyltransferase (cyclizing)	BRONZE	BRONZE	BRONZE	cpd01873	MolGpKa, sites chemically distinct	3	3	2	1	22.214	23901.996
rxn00130	AMP aminohydrolase	SILVER	SILVER	GOLD	cpd00013	ChemAxon ladder from pinned cache	5	5	2	1	-7.924	0.489
rxn00131	AMP phosphoribohydrolase	SILVER	SILVER	GOLD	cpd00018	ChemAxon ladder from pinned cache	4	4	2	1	-3.952	0.385
rxn00132	Adenosine 5'-monophosphate phosphohydrolase	SILVER	SILVER	GOLD	cpd00009	ChemAxon ladder from pinned cache	4	4	2	1	-3.420	0.361
rxn00133	P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	5	5	2	1	-9.635	2.040
rxn00134	ATP:adenosine 5'-phosphotransferase	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	5	5	2	1	-2.671	0.365
