# Reactions whose energy moved more than 10.0 kcal/mol between the
# reference and shipped builds. Treat every one as LOW CONFIDENCE.
#
# RISK MARKER, NOT A VERDICT:
#   unbalanced_enumeration  a compound's pKa source was substituted while a
#       partner carrying sites above pH 7 was not, so spurious sites no longer
#       cancel (~9.55 kcal/mol per unbalanced proton). rxn08713 satisfies this
#       and still lands on the independently-derived Marvin-era value, so the
#       signature over-selects.
#   large_shift_mechanism_unidentified  moved without that signature. Includes
#       rxn08789, which moved TOWARD the Marvin-era value and is a correction.
#
# The reference value is NOT a safe fallback: there both partners carried the
# same spurious sites and the errors cancelled, which is not accuracy.
# NONE of these reactions has a TECRDB match, so neither value can be checked
# against experiment.
#
# shipped:   /scratch/seaver/Claude_Projects/eQuilibrator/data/cache_final/compounds.sqlite
# reference: /scratch/seaver/Claude_Projects/eQuilibrator/data/prev_20260903/cache_final/compounds.sqlite
reaction_id	name	dg_reference_kcal	dg_shipped_kcal	shift_kcal	net_site_change	flag	compounds_resubstituted	partners_left_unchanged	largest_partner	largest_partner_name
rxn17901	2-alpha-mannosyl-oligosaccharide alpha-D-mannohydrolase	24.886	-0.255	-25.14	-51	large_shift_mechanism_unidentified	cpd27437;cpd27494;cpd27495			
rxn22896	RXN-12428.c	28.964	4.514	-24.45	-16	unbalanced_enumeration	cpd23886;cpd23887	cpd23888	cpd23888	neo-lambda-carrabiose
rxn22897	RXN-12428.e	28.964	4.514	-24.45	-16	unbalanced_enumeration	cpd23886;cpd23887	cpd23888	cpd23888	neo-lambda-carrabiose
rxn24091	Dol-P-Man:Man7GlcNAc2-PP-Dol alpha-1,6-mannosyltransferase	-80.819	-56.992	23.83	-51	unbalanced_enumeration	cpd24559;cpd24560	cpd24353	cpd24353	CPD-171
rxn24092	Dol-P-Man:Man7GlcNAc2-PP-Dol alpha-1,6-mannosyltransferase	-80.819	-56.992	23.83	-51	unbalanced_enumeration	cpd24559;cpd24560	cpd24353	cpd24353	CPD-171
rxn60136		-26.089	-3.329	22.76	-78	unbalanced_enumeration	cpd23744;cpd47275;cpd47357	cpd00031	cpd00031	GDP
rxn31466	R_leucocyanidin_2_oxoglutarate_oxygen_oxidoreductase	-2236.709	-2259.301	-22.59	1	unbalanced_enumeration	cpd03505	cpd03506	cpd03506	Leucodelphinidin
rxn08711	RXN0-5061.c	-23.294	-1.053	22.24	-40	unbalanced_enumeration	cpd03831;cpd15484;cpd15485	cpd00008	cpd00008	ADP
rxn60262		-28.297	-6.066	22.23	-31	unbalanced_enumeration	cpd31516;cpd32553	cpd00031;cpd00083	cpd00031	GDP
rxn26102	RXN0-5120.c	-25.198	-3.631	21.57	-45	unbalanced_enumeration	cpd15484;cpd26538;cpd28293	cpd00014	cpd00014	UDP
