C00001	O
C02630	O=C([O-])CCC(O)C(=O)[O-]
C02631	CC(C)/C(=C/C(=O)[O-])C(=O)[O-]
C02632	CC(C)C(=O)[O-]
C02633	CC(C)(O)CC[C@@H](O)C(C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)C3CC[C@]12C
C02634	[NH3+][C@H](CCl)C(=O)[O-]
C02635	[NH3+][C@@H](CCl)C(=O)[O-]
C02636	C[N+](C)(C)CC(=O)CC(=O)[O-]
C02637	O=C1CC(C(=O)[O-])C[C@@H](O)C1=O
C02638	[NH3+][C@H](CF)C(=O)[O-]
C02639	COc1ccccc(=O)c1O
C02640	CC(C)CC[NH3+]
C02642	NC(=O)NCCC(=O)[O-]
C02645	CCCCC/C=C\C/C=C\C=C\C=C\C[C@H]1O[C@@H]1CCC(=O)[O-]
C02646	OC/C=C/c1ccc(O)cc1
C02647	NC(=[NH2+])NCCCC=O
C02648	O=CC#CCO
C02652	O=C([O-])C1=C[C@@H](O)[C@@H](O)C(=O)C1
C02654	*c1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)nc1N
C02655	CC(=O)OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
C02656	O=C([O-])CCCCCC(=O)[O-]
C02657	Cc1cccc(O)c1C(=O)[O-]
C02658	*/C=N/O
C02659	CC(C)(O)C#N
C02660	N#CSCc1ccccc1
C02661	ClCBr
C02666	COc1cc(/C=C/C=O)ccc1O
C02669	O=C1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
C02670	O=C[C@H](O)[C@H]1OC(=O)[C@@H](O)[C@H]1O
C02671	*NC(=O)CC[C@@H]([NH3+])C(=O)[O-]
C02673	CC[C@]12C=CC[NH+]3CC[C@@]4(c5ccc(OC)cc5N(C)[C@H]4[C@@](O)(C(=O)OC)C1)[C@@H]32
C02674	O=C1C[C@H](O)[C@@H](CO)O1
C02675	COc1ccc(C2COc3cc(O)cc(O)c3C2=O)cc1
C02677	C[Te]C
C02678	O=C([O-])CCCCCCCCCCC(=O)[O-]
C02679	CCCCCCCCCCCC(=O)[O-]
C02681	CCCCCCCCCCCCCCCC(=O)O[C@@H]1C[C@H]2C(=O)C=C3C(CC[C@]4(C)[C@@H]([C@H](C)[C@H](O)CCC(C)(C)O)CC[C@@]34O)[C@@]2(C)C[C@@H]1O
C02686	*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)/C=C/CCCCCCCCCCCCC
C02687	*NC(=O)[C@H](Cc1ccc(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1)NC(*)=O
C02691	Cc1ncc(C[n+]2ccccc2)c(N)n1
C02692	O=C1O[C@H](CO)C(O)C(O)C1O
C02693	NC(=O)Cc1c[nH]c2ccccc12
C02695	*OC[C@H]1O[C@H](OC[C@H]2O[C@H](O*)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C02699	*OC(=O)[C@@H]([NH3+])CCCNC(N)=O
C02700	[NH3+][C@@H](CC(=O)c1ccccc1NC=O)C(=O)[O-]
C02702	*[C@@H]1O[C@H](COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2CO)[C@@H](OC(=O)[C@@H]2CCC[NH2+]2)[C@H]1O
C02703	[NH3+][C@@H](COS(=O)(=O)[O-])C(=O)[O-]
C02704	COS(=O)(=O)[O-]
C02705	*NC(=O)[C@H](CO)NC(*)=O
C02706	*NC(=O)[C@H](CO)NC(*)=O
C02707	*NC(=O)[C@@H](NC(*)=O)[C@@H](C)O
C02709	CC(=O)ONc1ccccc1
C02710	CC(=O)N[C@@H](CC(C)C)C(=O)[O-]
C02711	CC(=O)NC1C(O)OC(CO)C(O)C1O
C02712	CSCC[C@H](NC(C)=O)C(=O)[O-]
C02713	CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)[O-]
C02714	CC(=O)NCCCC[NH3+]
C02715	*C(=O)N[C@@H](CC(=O)[O-])C(=O)[O-]
C02716	*C(=O)N[C@@H](CCC(N)=O)C(=O)[O-]
C02717	COc1cc(/C=C/C(=O)NCCc2ccc(O)cc2)ccc1O
C02718	[NH2+]=CNCC(=O)[O-]
C02720	ONc1ccccc1
C02721	C[NH2+][C@@H](C)C(=O)[O-]
C02722	CCCCCC(=O)NC
C02723	C[NH2+]CCCC[NH3+]
C02724	C[n+]1ccccc1
C02725	CC(=O)NC1CC([NH3+])C(O)C(O[C@@H]2O[C@H](CO)[C@@H](OC3OC(C[NH3+])C(O)C(O)C3[NH3+])[C@H]2O)C1OC1OC(C[NH3+])C(O)C(O)C1[NH3+]
C02726	[NH2+]=C(NCCCC[NH3+])NP(=O)([O-])[O-]
C02727	CC(=O)NCCCC[C@H]([NH3+])C(=O)[O-]
C02728	C[NH2+]CCCC[C@H]([NH3+])C(=O)[O-]
C02730	O=C([O-])CCC(=O)c1ccccc1C(=O)[O-]
C02732	*NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(*)=O
C02734	O=P([O-])([O-])Oc1ccccc1
C02735	[NH3+]CC(O)c1ccccc1
C02736	*OP(=O)([O-])OCC(COC(*)=O)OC(*)=O
C02737	*C(=O)OCC(COP(=O)([O-])OC[C@H]([NH3+])C(=O)[O-])OC(*)=O
C02739	N=c1c2ncn([C@@H]3O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]3O)c2ncn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
C02740	O=C([O-])[C@H]1CSC(c2nc3ccc(O)cc3s2)=N1
C02741	N=c1c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2ncn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
C02743	*NC(=O)[C@H](CS)NC(*)=O
C02744	CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H]([NH3+])CO[C@@H]1O[C@H](COS(=O)(=O)[O-])[C@H](O)[C@H](O)[C@H]1O
C02747	CC(=O)c1c(O)c(C)c(O)c2c1OC1CC(=O)C(=C(C)[O-])C(=O)C21C
C02749	*SC[C@H]([NH3+])C(=O)[O-]
C02750	COc1cc(/C=C/C(=O)OC(C(=O)[O-])C(=O)[O-])cc(OC)c1O
C02752	Cc1cc(O)cc(=O)o1
C02753	O=C1O[C@H](CO)[C@H](O)[C@H]1O
C02755	[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-])C(=O)[O-]
C02757	*O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O
C02759	CC12OC1C[C@@H]1C[C@H]2C1(C)C
C02761	*O[C@H]1OC[C@H](O)[C@H](O)[C@H]1O
C02762	*O[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](*)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
C02763	O=C([O-])C(=O)Cc1ccccc1
C02764	*[C@@H]1O[C@H](COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](c3c[nH]c(=O)[nH]c3=O)O[C@@H]2COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
C02765	C[NH2+][C@@H](C)[C@@H](O)c1ccccc1
C02766	NC(=O)NC(O)C(=O)[O-]
C02768	O=P([O-])([O-])OCC(O)COP(=O)([O-])OCC(O)CO
C02771	CC1=C2[C@H]3OC(=O)[C@@H](C)[C@@H]3CC[C@@]2(C)CCC1=O
C02773	*OC[C@@H](O)CO
C02774	O=C([O-])CCCCCCCCCO
C02775	Oc1[nH]c2ccccc2c1O
C02777	O=C1CNC(=O)CN1
C02778	CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2
C02779	O=C1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1O
C02780	O=C([O-])C(=O)[C@@H](O)[C@H](O)C(=O)CO
C02781	OC[C@H]1OC(O)C[C@@H](O)[C@H]1O
C02782	O=C([O-])C[C@@H](O)[C@H](O)[C@H](O)CO
C02783	O[C@@H]1C[C@@H](O)[C@@H](O)CO1
C02784	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)c1ccccc1F
C02785	C/C(=C\CC1(O)C(=O)c2ccccc2C(=O)C1C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C
C02787	CC(C)C[NH3+]
C02789	*[C@@H]1O[C@H](COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2CO)[C@@H](O)[C@H]1O
C02791	Nc1ccc(Cl)c(Cl)c1
C02792	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)c1cccc(F)c1
C02793	C/C(=C\CC1C(=O)c2ccccc2C(=O)C1(C)O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C
C02794	Nc1c(O)cccc1C(=O)CC([NH3+])C(=O)[O-]
C02796	C=C1C(=O)Nc2ccccc21
C02797	CC12CCCC1C1CC[C@@H]3CC(=O)CCC3(C)C1CC2
C02798	O=C([O-])C(=O)CP(=O)([O-])O
C02799	O[C@H]1CCC2C(CCC3C4CCCC4CCC23)C1
C02800	O=CC(=O)CCC(=O)[O-]
C02801	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC[NH3+]
C02802	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)c1ccc(F)cc1
C02803	CC(=O)c1ccc([N+](=O)[O-])cc1
C02804	O=C([O-])CCCCO
C02805	*[C@H](NC(=O)[C@H](*)NC(=O)[C@@H]1CCC(=O)N1)C(=O)[O-]
C02806	[O-]c1cc(=[OH+])c2c([O-])c([O-])c(-c3ccc(O)cc3)[oH+]c-2c1[O-]
C02807	O=c1c(=O)c2cccc3cccc1c32
C02808	CC(=O)NC(CC[N+](C)=C(N)N)CC(=O)N[C@H]1C=C[C@H](n2ccc(N)nc2=O)O[C@@H]1C(=O)[O-]
C02809	CCCS(=O)c1ccc2[nH]c(=NC(=O)OC)[nH]c2c1
C02810	O=P([O-])([O-])OCC(O)C(O)C(O)C(O)CO
C02811	Cc1c2c(c(O)c3c(O)cccc13)C(=O)[C@]1(O)C(=O)C(C(N)=O)=C([O-])[C@@H]([NH+](C)C)[C@@H]1C2
C02812	O=C1O[C@H](C(O)CO)C(=O)[C-]1OS(=O)(=O)[O-]
C02814	Oc1ccc(O)c(O)c1
C02816	*NC(=O)[C@H](CCCC[NH3+])NC(*)=O
C02817	OC1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
C02821	CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
C02822	CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CC[C@]2(O)C(=O)COS(=O)(=O)[O-]
C02823	C/C1=C2/[NH+]=C(/C=C3\[NH+]=C(/C(C)=C4\N([Co+]C#N)C([C@H](CC(N)=O)[C@@]4(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]4[C@@H](CO)O[C@H](n5cnc6cc(C)c(C)cc65)[C@@H]4O)[C@]4(C)[NH+]=C1[C@@H](CCC(N)=O)[C@]4(C)CC(N)=O)[C@@H](CCC(N)=O)C3(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O
C02824	O=S(=O)([O-])NC1CCCCC1
C02825	CC[C@H](C)c1nc2c(CCCNC(N)=[NH2+])[nH]c(-c3c[nH]c4ccccc34)cn-2c1=O
C02827	O=S(=O)([O-])OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
C02828	NC(=[NH2+])NCCC[C@@H](NC(=O)[C@H]1CCCN1C(=O)[C@H]([NH3+])Cc1ccccc1)C(=O)CCl
C02834	*O[C@H]1O[C@H](COS(=O)(=O)[O-])[C@@H](O[C@@H]2O[C@@H](C(=O)[O-])[C@@H](O[C@H]3O[C@H](COS(=O)(=O)[O-])[C@@H](O[C@@H]4O[C@H](C(=O)[O-])[C@@H](O[C@H]5O[C@H](CO[SH](=O)([O-])O*)[C@@H](O)[C@H](O)[C@H]5NC(C)=O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3NS(=O)(=O)[O-])[C@H](O)[C@H]2OS(=O)(=O)[O-])[C@H](O)[C@H]1NC(C)=O
C02835	O=C([O-])Cc1c[nH]cn1
C02837	[NH3+][C@H]1CCCCNC1=O
C02838	CCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C
C02839	*[C@@H]1O[C@H](CO)[C@@H](OP(=O)([O-])OC[C@H]2O[C@@H](*)[C@H](O)[C@@H]2OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](OC(=O)[C@@H](N)Cc3ccc(O)cc3)[C@@H]2O)[C@H]1O
C02843	CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
C02845	CCC(C)=O
C02846	CN(C)c1ccccc1
C02847	*C(NC(C)=O)C(=O)[O-]
C02848	*O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1NC(C)=O
C02850	*C(=O)N[C@@H](*)C(=O)[O-]
C02851	*C(=O)N[C@@H](CCCNC(N)=O)C(=O)[O-]
C02852	CC/N=C/[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
C02853	*C(NC=O)C(=O)[O-]
C02854	O=CNCc1ccco1
C02855	[NH2+]=C(NCCOP(=O)([O-])OC[C@@H]([NH3+])C(=O)[O-])NP(=O)([O-])[O-]
C02856	C[NH2+]C1C(OC2OC(CO)C([NH3+])C(O)C2O)OC2CC([NH3+])C(OC3C(NC(C)=O)CC([NH3+])C(O)C3O)OC2C1O
C02857	*C[C@H]1O[C@H](O[C@@H]2[C@@H](NC(C)=O)C[C@@H]([NH3+])[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H]([NH3+])[C@@H]3O)[C@H]2O)[C@H](*)[C@@H](O)[C@@H]1O
C02858	*C(=O)NCCC[C@H]([NH3+])C(=O)[O-]
C02860	*Nc1ncnc2nc[nH]c12
C02862	CCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
C02863	*NC(=O)[C@H](CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O)NC(*)=O
C02864	CN(C)c1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](NC(=O)[C@@H]([NH3+])Cc2ccc(O)cc2)[C@H]1O
C02867	*[C@@H]1O[C@H](COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2CO)[C@@H](O)[C@H]1O
C02868	Cc1cc(OC(=O)c2c(C)cc(O)cc2O)cc(O)c1C(=O)[O-]
C02871	*NC(=O)[C@H](CC(=O)[O-])NC(*)=O
C02872	*NC(=O)[C@H](Cc1c[nH]c(CC[C@@H](C(N)=O)[N+](C)(C)C)n1)NC(*)=O
C02876	CCC(=O)OP(=O)([O-])[O-]
C02879	C[C@H]1O[C@H](C)[C@@H](O)C2=C1C(=O)c1c(O)cc(O)c(-c3c4c(c(O)c5c(O)cc(O)cc35)[C@@H](C)O[C@H](C)[C@H]4O)c1C2=O
C02880	C=Cc1c(C)c2n3c1=CC1=[NH+]C(=Cc4c(C)c5c(n4[Mg]3)C(=C(C(=O)OC)C5=O)c3[nH]c(c(C)c3CCC(=O)[O-])C=2)C(CC)=C1C
C02882	*SC[C@H]([NH3+])C(=O)[O-]
C02884	O=P([O-])(O)OP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](O)[C@H](O)[C@@H]1O
C02885	*SS(=O)(=O)[O-]
C02886	CCCCCCSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-]
C02887	COc1cc(/C=C/C(=O)O[C@@H](CC(=O)[O-])C(=O)[O-])cc(OC)c1O
C02888	O=C(COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@@H](O)CO
C02890	COc1cc2c(cc1OC)[C@@H]1Cc3ccc(OC)c(OC)c3CN1CC2
C02892	Cc1ncc(C[n+]2csc(CC(=O)[O-])c2C)c(N)n1
C02893	C/C=C(\CC)CO
C02894	O=c1c(Cc2ccc(OS(=O)(=O)[O-])cc2)nc2c(Cc3ccccc3)[nH]c(-c3ccc(OS(=O)(=O)[O-])cc3)cn1-2
C02895	O=P([O-])([O-])OC[C@@H](O)[C@H](O)[C@@H](O)CO
C02896	[NH3+]CCCC[NH3+]
C02897	*O[C@@H]1OC[C@@H](O)[C@@H](O)[C@H]1O
C02899	CC(=O)C1=C([O-])[C@H](Cc2c[nH]c3cccc(CC=C(C)C)c23)NC1=O
C02900	*O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
C02903	[NH3+]CCCC=O
C02904	C[C@@H]1CC[C@@H](C(C)(C)O)[C@H](O)C1
C02905	*[C@@H]1O[C@H](COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)([O-])O[C@@H]2[C@@H](COP(=O)([O-])O[C@H]3[C@@H](O)[C@H](*)O[C@@H]3COP(=O)([O-])O[C@H]3[C@@H](O)[C@H](*)O[C@@H]3CO)O[C@@H](n3cc(C[NH2+][C@H]4C=C[C@H](O)[C@@H]4O)c4c(=O)[nH]c(N)nc43)[C@@H]2O)[C@@H](O)[C@H]1O
C02906	O=C1c2c(O)cc(O)cc2O[C@H](c2cc(O)c(O)c(O)c2)[C@H]1O
C02909	OCc1ccc2ccccc2c1
C02912	C[C@@H](O)CO
C02914	C[C@H](OS(=O)(=O)[O-])C(=O)[O-]
C02915	COc1ccc2c(c1OC)C[N+]1(C)CCc3cc4c(cc3[C@@H]1C2)OCO4
C02916	Oc1ccc(C[C@@H]2[NH2+]CCc3cc(O)c(O)cc32)cc1O
C02917	C[C@H](O)CO
C02918	C[n+]1cccc(C(N)=O)c1
C02919	COc1cc(/C=C/C(=O)[O-])cc(OC)c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
C02920	COc1ccc(-c2coc3cc([O-])ccc3c2=O)c(O)c1
C02921	O=c1c(-c2ccccc2O)coc2ccccc12
C02922	COc1cc(O)ccc1C(=O)CC(=O)c1ccc(O)cc1
C02923	Cc1cccc(O)c1O
C02924	OCC(S)CS
C02926	[NH3+]C1CCOC1=O
C02927	O=C([O-])CC(C(=O)[O-])C(OC(=O)/C=C/c1ccc(O)c(O)c1)C(=O)[O-]
C02928	O=C([O-])C(=O)[C@@H](O)[C@H](O)CO
C02929	*C(O)C(=O)[O-]
C02930	C=C(CCC(=O)[O-])C(=O)[O-]
C02932	Oc1ccncc1O
C02933	Oc1cc(Cl)cc(Cl)c1O
C02934	CCCCCCCCCCCCCCCC(=O)[C@@H]([NH3+])CO
C02937	O/N=C/Cc1c[nH]c2ccccc12
C02938	N#CCc1c[nH]c2ccccc12
C02939	CC(C)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
C02940	CC12CCCC1C1CC[C@H]3CC(=O)CCC3(C)C1CC2
C02941	CC12CCCC1C1CCC3CC(=O)C=CC3(C)C1CC2
C02942	C[C@]12CC(O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2C(=O)CO
C02943	CC1(C)C(=O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)[O-])CC[C@]3(C)CC[C@]21C
C02944	CCCCCCCC/C=C\CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
C02945	CC12CCCC1C1CCC3C[C@@H](O)CCC3(C)C1CC2
C02946	CC(=O)NCCCC(=O)[O-]
C02947	O=C(/C=C/c1ccc(O)cc1)O[C@@H]1CC(C(=O)[O-])=C[C@@H](O)[C@H]1O
C02948	CCC(=O)C(O)CC
C02949	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)c1ccc(O)cc1
C02951	COc1c2occc2c([O-])c2ccc(=O)oc12
C02952	CC12CC(=O)C(CC(=O)O1)C2(C)C
C02953	C[C@H](O)[C@H](O)C1=Nc2c(nc(N)[nH]c2=O)NC1
C02954	CC1(C)S[C@@H]2[C@H]([NH3+])C(=O)N2[C@H]1C(=O)[O-]
C02956	CC12CCCC1C1C(CC2)C2(C)CCCCC2C[C@@H]1O
C02957	O=C1CNC=[NH+]c2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
C02960	*C(=O)N[C@@H](COP(=O)([O-])[O-])[C@H](O)/C=C/CCCCCCCCCCCCC
C02961	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1
C02962	O=P([O-])([O-])OC[C@H]1OC(O)[C@H](O)[C@H](O)[C@@H]1O
C02964	OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C02965	O=P([O-])([O-])OCC1OC(O)C(O)C(O)C1O
C02967	*[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])O[C@H]2C[C@H](n3cc(C)c(N)nc3=O)O[C@@H]2COP(=O)([O-])O[C@H]2C[C@H](*)O[C@@H]2COP(=O)([O-])[O-])O1
C02970	CC(C)=CCC/C(C)=C/CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\COP(=O)([O-])[O-]
C02972	*NC(=O)CCCCC(S)CCS
C02975	CCCC(=O)CC(=O)OCC
C02976	O=P([O-])([O-])OCC1(O)O[C@H](CO)[C@@H](O)[C@@H]1O
C02977	C[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@H]1O
C02979	O=P([O-])([O-])OC(CO)CO
C02980	O=C1c2ccccc2C(=O)c2c(O)cccc21
C02982	CC(C)CCCC(C)CCCC(C)CCCC(C)[C@H](O)C(=O)[O-]
C02983	C[NH2+][C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-]
C02984	*[C@@H]1O[C@H](COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2CO)[C@@H](OC(=O)[C@@H]([NH3+])CC(=O)[O-])[C@H]1O
C02985	C[C@@H]1O[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@@H]1O
C02986	*[C@H](NC(=O)[C@H](*)NC(=O)[C@@H]([NH3+])CCC(N)=O)C(=O)[O-]
C02987	*[C@@H]1O[C@H](CO)[C@@H](OP(=O)([O-])OC[C@H]2O[C@@H](*)[C@H](O)[C@@H]2OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](OC(=O)[C@@H]([NH3+])CCC(=O)[O-])[C@@H]2O)[C@H]1O
C02988	*[C@@H]1O[C@H](COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2CO)[C@@H](OC(=O)[C@@H](N)Cc2c[nH]cn2)[C@H]1O
C02989	CS(=O)CC[C@H]([NH3+])C(=O)[O-]
C02990	CCCCCCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C
C02991	C[C@H](O)[C@@H]1OC(=O)[C@H](O)[C@@H]1O
C02992	*[C@@H]1O[C@H](COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2CO)[C@@H](OC(=O)[C@@H](N)[C@H](C)O)[C@H]1O
C02993	NC(=[NH2+])NCCC[C@H](NC(=O)[C@@H]([NH3+])Cc1ccc(O)cc1)C(=O)[O-]
C02994	O=C1O[C@@H](CO)[C@@H](O)[C@@H]1O
C02995	O=P([O-])([O-])OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C02996	Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl.[Na+]
C02997	CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)[O-]
C02998	*NC(C)=O
C02999	CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)N[C@H](C)C(=O)[O-]
C03000	*C(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
C03001	NC(=[NH2+])NCCC[C@@H](NC(=O)c1ccccc1)C(=O)[O-]
C03002	[NH3+]CCCCNC(=O)/C=C/c1ccc(O)c(O)c1
C03003	O=C([O-])c1ccc[n+]([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1
C03004	O=C([O-])[C@H](Cc1ccc(O)cc1)NO
C03005	CNc1ccccc1C(=O)[O-]
C03007	CCC(=O)n1ccnc1
C03009	CC(=O)N[C@H]1[C@H](O)[C@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3[NH3+])[C@@H]([NH3+])C[C@H]2[NH3+])OC[C@@H]1O
C03010	CC(=O)NC1C(O)C(CO)OC(OC2C([NH3+])CC([NH3+])C(OC3OC(C[NH3+])C(O)CC3[NH3+])C2O)C1O
C03011	*[C@H](NC(=O)[C@H](*)NC(C)=O)C(=O)[O-]
C03012	Oc1ccc2ccccc2c1O
C03015	NC(=O)OC[C@H]([NH3+])C(=O)[O-]
C03016	*NC(=O)[C@H](COP(=O)([O-])[O-])NC(*)=O
C03017	CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
