+-5-oxo-1-2-campholide	UDJVKSCOEHSXBZ-QUBYGPBYSA-N
CPD-14564	LFMTUFVYMCDPGY-UHFFFAOYSA-N
CPD-14565	FVCOIAYSJZGECG-UHFFFAOYSA-N
CPD-14589	LABCALMTQNDOAI-LNNRFACYSA-N
CPD-14590	HOOOPXDSCKBLFG-QMMMGPOBSA-N
CPD-14592	CRISWXPNFWRXSH-QMMMGPOBSA-N
CPD-14593	GZROQPNGIUYLOP-GMDXDWKASA-N
CPD-14594	FERSMFQBWVBKQK-CXTTVELOSA-N
CPD-14596	WOSYVGNDRYBQCQ-BARGLTKPSA-N
CPD-146	QYZBMMOLPVKAPU-UHFFFAOYSA-N
CPD-14601	HPNSFSBZBAHARI-UHFFFAOYSA-N
CPD-14602	QBMSTEZXAMABFF-WFHKDSDPSA-N
CPD-14603	RTGDFNSFWBGLEC-SYZQJQIISA-N
CPD-14604	BYFGTSAYQQIUCN-MOLMMISASA-N
CPD-14605	KKFDCBRMNNSAAW-UHFFFAOYSA-N
CPD-14608	SOXOUCOZZYMXPU-FVAYPZGXSA-N
CPD-14609	JDVVGAQPNNXQDW-TVNFTVLESA-N
CPD-14615	DTGVYTMCDVEHDE-GMHMEAMDSA-N
CPD-14618	GFJPDUMPOMYPCX-UHFFFAOYSA-N
CPD-14619	CZBTYORISOIJQI-UHFFFAOYSA-N
CPD-14620	ZWOPNNCWHWRWME-UHFFFAOYSA-N
CPD-14625	FNIKCWYOGPPYQT-ZGLMDMDISA-N
CPD-14627	YYSUNMYTTQRRSL-FLQYYVGBSA-N
CPD-14628	JEKALMRMHDPSQK-KGSLCBSSSA-N
CPD-14629	BINMOURRBYQUKD-NEZLTOAHSA-N
CPD-14630	XLNHRKMLLJUXMU-USTDDLJVSA-N
CPD-14631	IDLAOOFFVYMLHU-NTRHVAJKSA-N
CPD-14632	MZQOGEPCWATXRH-UOADEYMPSA-N
CPD-14633	XDCIOTHEPAPFRV-LIFZQOIMSA-N
CPD-14634	KSCLXDPNSMLYPU-YDZPRSSASA-N
CPD-14635	OSCCDBFHNMXNME-YUPRTTJUSA-N
CPD-14636	KEEQSWOXTDTQJV-BYPYZUCNSA-N
CPD-14638	MMBIRKOXPSBOTN-UCORVYFPSA-N
CPD-14640	QUVGEKPNSCFQIR-UHFFFAOYSA-N
CPD-14641	JOLVYUIAMRUBRK-UTOQUPLUSA-N
CPD-14642	AXFYFNCPONWUHW-UHFFFAOYSA-N
CPD-14643	UMYJVVZWBKIXQQ-QALSDZMNSA-N
CPD-14644	WNCFBCKZRJDRKZ-UHFFFAOYSA-N
CPD-14646	OENHQHLEOONYIE-BVZAMQQESA-N
CPD-14647	PJEHRCCPERVGEC-UHFFFAOYSA-N
CPD-14649	OTIYLZVFQIMLQH-FRGMPSNRSA-N
CPD-14650	QUHUKQHYBCHXCI-UHFFFAOYSA-N
CPD-14651	WUBRWXCVIPHXLX-UHFFFAOYSA-N
CPD-14652	QXTUQXRFEBHUBA-DYLOANJQSA-N
CPD-14655	VOFXXOPWCBSPAA-KCNJUGRMSA-N
CPD-14656	AOHYMVJOAOUQHB-XDFQPYMHSA-N
CPD-14657	CDBBMEYPRMUMTR-RZXXLYMMSA-N
CPD-14658	DLRIUVHQJRZTMZ-CQMYTRALSA-N
CPD-14659	KHSREFIWULNDAB-YCUBLIQYSA-N
CPD-14660	FIKOOQXJBAJJSE-YTQTXRHFSA-N
CPD-14666	KCKBEANTNJGRCV-UHFFFAOYSA-N
CPD-14667	RTAGLZBJCCVJET-UQTMIEBXSA-N
CPD-14668	UJOYFRCOTPUKAK-QMMMGPOBSA-N
CPD-14670	USEPHSUDGWMHQX-RDPSFJRHSA-N
CPD-14671	GXXSUWZCDVJLJJ-SDRJTJMFSA-N
CPD-14673	ACRWYXSKEHUQDB-UHFFFAOYSA-N
CPD-14674	IZJRIIWUSIGEAJ-UHFFFAOYSA-N
CPD-14675	XYJPSQPVCBNZHT-TUKYSRJDSA-N
CPD-14676	ACNUOKPBHUTRMY-RPFJQWGOSA-N
CPD-14678	IVWGOICUSBJICO-OJEZURLMSA-N
CPD-14680	ZWOGLOUQFOXSFD-BUCHIQEDSA-N
CPD-14681	JFYPCDSRMOHQMH-QAUDVVSPSA-N
CPD-14682	JFYPCDSRMOHQMH-XWSJDDSLSA-N
CPD-14683	XPIWJCQKSXFPJI-AUZYSZHDSA-N
CPD-14687	OBHKYLKLYTYCOO-HSJNEKGZSA-N
CPD-14689	WJOASKOPJZDBAH-FWWSWEGVSA-N
CPD-14690	UAXBWJGWBJFVPK-YNFQSXHZSA-N
CPD-14691	NGOSGEYHKQYUTN-VPHMTOQDSA-N
CPD-14692	DGZXFJBRHFOJBC-YWIQKCBGSA-N
CPD-14693	XJHXLMVKYIVZTE-ONDPZZHOSA-N
CPD-14697	NDCGVLJXFQKXOF-UHFFFAOYSA-N
CPD-14698	RQEUFEKYXDPUSK-ZETCQYMHSA-N
CPD-14699	WECUIGDEWBNQJJ-UHFFFAOYSA-N
CPD-147	HXWLJBVVXXBZCM-VKHMYHEASA-N
CPD-14700	JRZGPXSSNPTNMA-UHFFFAOYSA-N
CPD-14701	SRMHHEPXZLWKOK-UHFFFAOYSA-N
CPD-14702	RZPAXNJLEKLXNO-GFKLAVDKSA-N
CPD-14703	HLTAEJNADMCLOV-LTRJMQNCSA-N
CPD-14704	NOKRNJLENDLSKM-HESLUPGFSA-N
CPD-14705	LQTWZQSULMRBEE-UNXYVOJBSA-N
CPD-14706	SALPDUSHMTYYOH-WHXUTIOJSA-N
CPD-14707	RMPMZCPVBQOHTK-HIFPTAJRSA-N
CPD-14709	AWGTVRDHKJQFAX-UHFFFAOYSA-M
CPD-14716	JGHSBPIZNUXPLA-OAHLLOKOSA-N
CPD-14717	OJQMIXCIJFLULT-MXQBTARFSA-N
CPD-14718	KCYAHSOGWAZYJF-UEMWZVKSSA-N
CPD-14719	PIYDVAYKYBWPPY-UHFFFAOYSA-N
CPD-14723	DRABUZIHHACUPI-DUPKZGIXSA-N
CPD-14724	VLBCUOVMSMAIJC-VTINEICCSA-N
CPD-14727	SKDDJNFRAZIJIG-HDRQGHTBSA-N
CPD-14729	CSCVMTFVEARIET-CECATXLMSA-N
CPD-14730	SSOCUKXLUZQJHU-QSGBVPJFSA-N
CPD-14731	IEGFOTASSBZIBZ-QLPUMLPOSA-N
CPD-14732	OKNPZRJNRSGKME-XEGIVNTOSA-N
CPD-14733	CDOSHBSSFJOMGT-UHFFFAOYSA-N
CPD-14734	WOGBNISMMIOPAZ-NWQIESHVSA-N
CPD-14735	ZRGXCWYRIBRSQA-BMVMOQKNSA-N
CPD-14736	YGPSJZOEDVAXAB-QMMMGPOBSA-N
CPD-14737	FSCNUJMKSQHQSY-OSLYEKKFSA-N
CPD-14739	NJMQSVWMCODQIP-FQXXIRCGSA-N
CPD-14740	GEFJKNBTBQBFOH-WFASDCNBSA-N
CPD-14741	VGLBFRZJJZBAST-ZBEGNZNMSA-N
CPD-14742	OKNPZRJNRSGKME-AVIYVUCBSA-N
CPD-14743	POYSUXIHCXBJPN-UHFFFAOYSA-N
CPD-14746	UIJGNTRUPZPVNG-UHFFFAOYSA-N
CPD-14751	CJDRUOGAGYHKKD-GXTMWHCLSA-N
CPD-14753	RPVIQWDFJPYNJM-DEFKTLOSSA-N
CPD-14755	RLMLFADXHJLPSQ-MJQYLNDYSA-N
CPD-14756	RQVWTMCUTHKGCM-UHFFFAOYSA-N
CPD-14757	HNKJADCVZUBCPG-UHFFFAOYSA-N
CPD-14758	ZFFTZDQKIXPDAF-UHFFFAOYSA-N
CPD-14760	SKSFHXVDHVKIBN-UHFFFAOYSA-N
CPD-14762	BFNOPXRXIQJDHO-YDKGJHSESA-N
CPD-14763	HNHCIVXQBMBKPQ-YDKGJHSESA-N
CPD-14764	YMFYPHGOLKNWQN-MADLOLTGSA-N
CPD-14765	BTZKCJJXILZIFU-UHFFFAOYSA-N
CPD-14766	QAOFOQUEOHPFIE-UHFFFAOYSA-N
CPD-14767	RKBZSOHCWNFBLV-AMEHKVJOSA-N
CPD-14768	BCJXLUMCLOOKBY-BEUVOYNRSA-N
CPD-14769	MGLDCXPLYOWQRP-UHFFFAOYSA-N
CPD-14770	NKTGCVUIESDXPU-UHFFFAOYSA-N
CPD-14771	GUBGYTABKSRVRQ-PICCSMPSSA-N
CPD-14772	GTCSHNMTNCXODY-CCAJQFMUSA-N
CPD-14775	YFVKVAPATGWZOF-RMCJPFTISA-N
CPD-14776	POHJJGKCTRJDSU-HSZRJFAPSA-N
CPD-14777	HTUVNKNXUCIHRU-QGZVFWFLSA-N
CPD-14778	HOXQBWKHENFRRC-XMMPIXPASA-N
CPD-14779	PHOQVHQSTUBQQK-MGCNEYSASA-N
CPD-14780	PHOQVHQSTUBQQK-MBMOQRBOSA-N
CPD-14786	NYIULHRSJADUMD-HWEKWTFHSA-N
CPD-14787	WSJYSDVJOUCAAL-RAMZQALMSA-N
CPD-14792	UJRFKENHJISTAF-NPFGDSAUSA-N
CPD-14793	YHXQWYBLXUELDA-XGEGERJZSA-N
CPD-14794	LMIZXKMXHCOVTQ-IANFNVNHSA-N
CPD-14795	LFTYTUAZOPRMMI-NESSUJCYSA-N
CPD-14796	FBSBGGJQVUYUDB-ZLDLUXBVSA-N
CPD-14797	SAOJPWFHRMUCFN-LKWLHFCZSA-N
CPD-14798	KPKLYXVMHOVJJL-LKWLHFCZSA-N
CPD-14799	NPNUFJAVOOONJE-QWAJQTJBSA-N
CPD-148	TVMXDCGIABBOFY-UHFFFAOYSA-N
CPD-14800	MZZFDMZYIBWOOA-KWCYVHTRSA-N
CPD-14802	FEBNTWHYQKGEIQ-JIMOISOXSA-N
CPD-14803	ZAZVCYBIABTSJR-ITALKTEQSA-N
CPD-14804	PHOQVHQSTUBQQK-KLVWXMOXSA-N
CPD-14805	RGHNJXZEOKUKBD-KLVWXMOXSA-N
CPD-14806	LVHZOXFXQXJTGJ-UHFFFAOYSA-N
CPD-14807	RGHNJXZEOKUKBD-LECHCGJUSA-N
CPD-14808	VYEGBDHSGHXOGT-VKTPVCOLSA-N
CPD-14809	UVPLYHXZJGQOQS-SXQYHYLKSA-N
CPD-14810	QRCLVXDEXGRETH-KYUGGUJGSA-N
CPD-14811	BZIBRGSBQKLEDC-UHFFFAOYSA-N
CPD-14812	BAMBZZTUDRDYEE-QIAPLWSDSA-N
CPD-14813	KOBLTMOWUOJKTH-ZWBYBESUSA-N
CPD-14814	JVBKAPXWUUWPPX-UBIBAOAHSA-N
CPD-14815	BBVFHYCHEWCGBH-KVULBXGLSA-N
CPD-14816	DTGZHCFJNDAHEN-OZEXIGSWSA-N
CPD-14817	AUVVAXYIELKVAI-CKBKHPSWSA-N
CPD-14818	HGQNZTBYUKKJLH-IKPGRFEGSA-N
CPD-14819	UMIZOHMCQYCZRX-UHFFFAOYSA-N
CPD-14820	FDRQPMVGJOQVTL-BVYPKUFKSA-N
CPD-14821	XXHSUYNZCSBPBG-GZIDCZEMSA-N
CPD-14822	DLIYOJUVMRMRGS-UMQUMIMUSA-N
CPD-14824	XDMJJZUUHWWITI-IPOZFMEPSA-N
CPD-14825	LDTDRTSKWGQBAA-IPOZFMEPSA-N
CPD-14826	GREYPJUHRBULIJ-GNSUAQHMSA-N
CPD-14827	JTGVYOAJURQLDS-XMMPIXPASA-N
CPD-14828	LSETUZAYSCHYKL-QGZVFWFLSA-N
CPD-14829	UNFCTLFLKCGAOK-LOMQJKJHSA-O
CPD-14830	ZMVJJIWEZXWPAJ-DIOGXUQJSA-O
CPD-14831	XKBBRFAPWMBHPG-KNQAVFIVSA-N
CPD-14832	JUUOWVIBIPDOSQ-IRLDBZIGSA-N
CPD-14833	TZNFGVJRQISOHK-HVHHGIHYSA-N
CPD-14834	AKNNEGZIBPJZJG-MSOLQXFVSA-N
CPD-14835	PPJONJDSVBXENX-BTOFFRBVSA-N
CPD-14836	JBYLHCQZTKKDCQ-GAKPLPICSA-N
CPD-14837	KQRXQIPRDKVZPW-ISZNXKAUSA-N
CPD-14838	HVDZWQPYIXKSCL-LFZZSFSNSA-N
CPD-14839	YIGQNWGFLQZODP-SFMWUWOUSA-N
CPD-1484	REDXJYDRNCIFBQ-UHFFFAOYSA-N
CPD-14840	IJZGFTCXUSMUHI-CMBLSTHZSA-N
CPD-14841	WMXFTQYMJYZSGZ-GWBHEEHPSA-N
CPD-14842	SSFSNKZUKDBPIT-UHFFFAOYSA-N
CPD-14843	FOHXFLPXBUAOJM-LIBJPBHASA-N
CPD-14844	HUHZBMAVCTZCMX-IWUZQBPLSA-N
CPD-14845	UEHJIGATCWBAFG-LNOBRRNASA-N
CPD-14846	IILCKSYIKQRGAO-UHFFFAOYSA-N
CPD-14847	BITPRCODIALMOV-DEFKTLOSSA-N
CPD-14848	YKBIHKIVJICDCU-UMUUNPGWSA-N
CPD-14849	RDUAJIJVNHKTQC-UJECXLDQSA-N
CPD-14850	IQBMWEYFKNVACH-MEBVLIOMSA-N
CPD-14851	ODGGKCNQKSEQNL-CWBMHJDKSA-N
CPD-14852	HHGPYJLEJGNWJA-UHFFFAOYSA-N
CPD-14853	QXXWSXJTUHATSJ-UHFFFAOYSA-N
CPD-14854	JKYUARFXWFHBMT-UHFFFAOYSA-N
CPD-14856	PJQLSMYMOKWUJG-UHFFFAOYSA-N
CPD-14857	UQBUUCDVKDSHCE-UHFFFAOYSA-N
CPD-14858	CYANQHOGPUFIAL-ZWOIFGKBSA-N
CPD-14859	PMAJLEYACVZCSG-KHFODKEQSA-N
CPD-1486	XYDQMRVDDPZFMM-UHFFFAOYSA-N
CPD-14860	RIGYMJVFEJNCKD-UHFFFAOYSA-N
CPD-14861	JUMXNPKEKATCOD-UHFFFAOYSA-N
CPD-14862	AVIGOTPVCIAGID-UHFFFAOYSA-N
CPD-14863	HNOSSZATPSNVHD-RQQNTYHUSA-N
CPD-14864	WMFKOOZSWDLSGH-SMEJDQOCSA-N
CPD-14866	ZVOLCUVKHLEPEV-UHFFFAOYSA-N
CPD-14867	ZDOTZEDNGNPOEW-UHFFFAOYSA-N
CPD-14868	DNOBNGNBPVOMLW-UHFFFAOYSA-N
CPD-14869	HXQHFNIKBKZGRP-UHFFFAOYSA-N
CPD-14872	JCHHILBCMCCSMA-UHFFFAOYSA-N
CPD-14873	MRBKRZAPGUCWOS-UHFFFAOYSA-N
CPD-14874	CBXHEDPBKOZZSI-NSHDSACASA-N
CPD-14875	KUPQDUIOULXTJZ-JTQLQIEISA-N
CPD-14876	ODYOPAJBVPISJD-UHFFFAOYSA-N
CPD-14877	BXBFVCYLJXGOGI-UHFFFAOYSA-N
CPD-14879	VMTCEWVUYUBGJL-UHFFFAOYSA-N
CPD-14880	BQOHYSXSASDCEA-KEOHHSTQSA-N
CPD-14883	FTUQWSLYDWOVOK-WQNMWPLOSA-N
CPD-14884	ULUIMLJNTCECJU-UHFFFAOYSA-N
CPD-14885	XFDUHJPVQKIXHO-UHFFFAOYSA-N
CPD-14886	TYHICXUCUBEKKR-LKOQWUSFSA-N
CPD-14887	XLAIEMDZJHCSTR-STBHGANZSA-N
CPD-14888	XMGLKJFHTRQJSD-UHFFFAOYSA-N
CPD-14889	ZNGUCFLTOCTQKJ-AJGJEUHPSA-N
CPD-14891	JAWKUBAMNCEUTJ-IUCKADQYSA-N
CPD-14892	ALAYAXMTAIVXMW-ZRKHGVCBSA-N
CPD-14893	PUGBZUWUTZUUCP-ZRKHGVCBSA-N
CPD-14894	ZKQRGSXITBHHPC-VVQHAZRASA-N
CPD-14899	OQMZNAMGEHIHNN-ZIJHXTSPSA-N
CPD-149	PQFOLJLIMNNJQY-UHFFFAOYSA-N
CPD-1490	IUTCEZPPWBHGIX-UHFFFAOYSA-N
CPD-14900	ARVGMISWLZPBCH-WGDHXTRRSA-N
CPD-14901	YSKVBPGQYRAUQO-XCFYOIDPSA-N
CPD-14902	CMQUSRGUOMCHOZ-XCFYOIDPSA-N
CPD-14903	SIIPNKRMISTJGG-IXYHWDSJSA-N
CPD-14905	UULZCTIPCNJXAT-HRAIJHJPSA-N
CPD-14906	RKHXDCVAPIMDMG-UHFFFAOYSA-N
CPD-14907	JMIFIYIEXODVTO-UHFFFAOYSA-N
CPD-14908	IDTDRZPBDLMCLB-HSOQPIRZSA-N
CPD-14909	AFCDXKGLUDDXCK-LMTLLXHESA-N
CPD-14910	WYKWHSPRHPZRCR-UHFFFAOYSA-N
CPD-14911	QJJFDGNJOXCQPD-XCSGUALTSA-N
CPD-14912	NVZCGVLCUJLTSA-CTQDKRGWSA-N
CPD-14915	VAAHKRMGOFIORX-RLVCGTLZSA-N
CPD-14916	ATVGTMKWKDUCMS-JWBYWSJJSA-N
CPD-14918	IJFLXRCJWPKGKJ-IGYWURMESA-N
CPD-14919	JWIOCVLVSIALOL-BBECNAHFSA-N
CPD-1492	PWOSZCQLSAMRQW-UHFFFAOYSA-N
CPD-14920	DEHLMTDDPWDRDR-ODUGITAYSA-N
CPD-14922	IOTBMNGZJSHZRE-LFZQUHGESA-N
CPD-14923	OXBHKMHNDGRDCZ-FZFQHCCSSA-N
CPD-14925	CQGVNMQHZQJNII-HSJNEKGZSA-N
CPD-14926	RAFZYSUICBQABU-RTBURBONSA-N
CPD-14927	GGJDCSATCZWAPI-QZTJIDSGSA-N
CPD-14928	NYZPDFUAZACYOT-RXAWBXJKSA-N
CPD-14930	XWTLYULBWZQAAZ-UHFFFAOYSA-N
CPD-14932	UXFQDXABPXWSTK-ZDUSSCGKSA-N
CPD-14933	BDZXSHDKBKYQKJ-UHFFFAOYSA-N
CPD-14934	CELGBKOELNGZSJ-UHFFFAOYSA-N
CPD-14935	XRVWAQDGOCLFAE-UHFFFAOYSA-N
CPD-14936	LHNLHJJGLDWGFS-UHFFFAOYSA-N
CPD-14937	XNIAWIUYUMBOBR-UHFFFAOYSA-N
CPD-14938	PLORYRPFPGAIDS-UHFFFAOYSA-N
CPD-14939	ZMQFEBINFTWTLH-UHFFFAOYSA-N
CPD-14940	JWXGGDYYTFLUNW-UHFFFAOYSA-N
CPD-14941	YSXLGTWJLNLXKQ-UHFFFAOYSA-N
CPD-14942	AYZJFGWBKISWDK-UHFFFAOYSA-N
CPD-14943	LVDBEFRVSYPLRQ-UHFFFAOYSA-N
CPD-14944	PXABCNYYUFHVMN-UHFFFAOYSA-N
CPD-14945	SUNUQCQIFHHEOW-UHFFFAOYSA-N
CPD-14946	FMEHGPQTMOPUGM-UHFFFAOYSA-N
CPD-14947	MYMGKIQXYXSRIJ-UHFFFAOYSA-N
CPD-14948	BWORNNDZQGOKBY-UHFFFAOYSA-N
CPD-14949	MHALJYZRPGYQSI-UHFFFAOYSA-N
CPD-14950	VJJZJBUCDWKPLC-UHFFFAOYSA-N
CPD-14951	KZBAXKKOXPLOBX-UHFFFAOYSA-N
CPD-14952	RJCJVIFSIXKSAH-UHFFFAOYSA-N
CPD-14959	JPJALAQPGMAKDF-UHFFFAOYSA-N
CPD-14960	DYZZIAIGKSRPMS-JYTSTOSVSA-N
CPD-14961	MQVRGDZCYDEQML-LFXZADKFSA-N
CPD-14962	XALLBOXWXDZADT-YHSXZBFWSA-N
CPD-14963	ZUOAARJRCBQGQU-ASKVGWRZSA-N
CPD-14964	NKNRYNFXNHNAJN-UHFFFAOYSA-N
CPD-14965	KGLCZTRXNNGESL-UHFFFAOYSA-N
CPD-14966	DVJHQNQHIBZHEF-UHFFFAOYSA-N
CPD-14967	IVBDPQAGDSUHSN-UHFFFAOYSA-N
CPD-14968	AQCGPKMPRLFFAK-UHFFFAOYSA-N
CPD-14969	CQLRUIIRRZYHHS-LFXZADKFSA-N
CPD-14970	PHEWILLIAJUBQE-LFXZADKFSA-N
CPD-14971	XJQKYCNSLNPXDD-XMHBHJPISA-N
CPD-14972	YCUNOXSUHVGZRI-XMHBHJPISA-N
CPD-14973	VJHFYCIZYFWLSS-JUIPTLLLSA-N
CPD-14974	ZETKATWNOCCPNF-UHFFFAOYSA-N
CPD-14976	DVGGLGXQSFURLP-FIZCXTQCSA-N
CPD-14977	RKHQLCNACMCZQU-FEFQMLAISA-N
CPD-14978	NBAZENYUDPJQIH-FIZCXTQCSA-N
CPD-14979	PSBFVXDMNYDZMV-FEFQMLAISA-N
CPD-14980	TVMGLJJYKIHJNJ-FEFQMLAISA-N
CPD-14981	ZMFSDFSWZVXOBB-UXGMUFNSSA-N
CPD-14982	NFSCOXCDAAETPI-XMXVGBFSSA-N
CPD-14983	XPIXCPCSKJDZLU-ZYUWNJBDSA-N
CPD-14984	RMWPNUYFHAPTBJ-XMXVGBFSSA-N
CPD-14985	MECAFZQCMAEWNI-WIBJFIDDSA-N
CPD-14986	YFLJCBXRRGLLPD-ZYUWNJBDSA-N
CPD-14987	CQKFGYQBBQNDQG-ZYUWNJBDSA-N
CPD-14988	VNHVNFCIDMAHID-SGXJJDIHSA-N
CPD-14989	KKRGPGRSBFMOKP-SGXJJDIHSA-N
CPD-14990	CNKAKUZLQGNVQK-DTKVUHKPSA-N
CPD-14991	MUKDIIVMECIYQR-UTPKPUJYSA-N
CPD-14992	FUBNYKGNARGHTG-UTPKPUJYSA-N
CPD-14993	LKWIXESNIMZHTI-VRXLQNRGSA-N
CPD-14994	KLLGGGQNRTVBSU-KRWDZBQOSA-N
CPD-14995	JYRGUBRIXDOXKK-SOFVLAGZSA-N
CPD-14996	FOOBQHKMWYGHCE-RGURZIINSA-O
CPD-14997	JXBWMJZDYVJVIV-UHFFFAOYSA-N
CPD-14998	KBENCCXELYTLKU-WVXKDWSHSA-N
CPD-14999	YZLUNNOXSWSADV-KMLVFDMGSA-N
CPD-15	HKAJKOBDBFGGIU-AWFVSMACSA-N
CPD-150	XKJVEVRQMLKSMO-ZETCQYMHSA-N
CPD-15000	HCKMZFYNAMMKCR-HXSZRKGKSA-N
CPD-15001	VZTKWCUQLUHDFJ-FXCAAIILSA-N
CPD-15002	YPDRLTUCHQDNOZ-HWKLKBEVSA-N
CPD-15003	MPIZRTRIYBCZDS-UHFFFAOYSA-N
CPD-15004	DKMLMZVDTGOEGU-LJQANCHMSA-N
CPD-15005	VMQTXGMFZBVVQQ-ZOTFFYTFSA-N
CPD-15006	YROOZUQRTLHXIO-DIACKHNESA-N
CPD-15008	MWTSYRKXRVJILA-KEOHHSTQSA-N
CPD-15009	QOTXBMGJKFVZRD-HISDBWNOSA-O
CPD-15012	IRWUWOCLRCYSSC-MNOAYJSQSA-N
CPD-15014	KSQNKZMAMGACTL-HNNXBMFYSA-N
CPD-15015	SVTWDAHIFBNFKH-UHFFFAOYSA-N
CPD-15016	SVTWDAHIFBNFKH-UHFFFAOYSA-N
CPD-15018	QFGWDFAYOAGQDH-KVQBGUIXSA-N
CPD-15019	RGCWQFWZZIIGSL-VCXZVJRYSA-N
CPD-15020	CNSJRYUMVMWNMC-GDVGLLTNSA-N
CPD-15021	CAXLTZYEJPQCKD-WHBTYZLHSA-N
CPD-15023	VRYWDBDPXMHHGE-IAYTZLMWSA-N
CPD-15024	UVTUVMGAQABOCL-YQJBXTIASA-N
CPD-15025	NWKFECICNXDNOQ-UHFFFAOYSA-N
CPD-15027	CNSJRYUMVMWNMC-PRJDIBJQSA-N
CPD-15028	GRYLNZFGIOXLOG-UHFFFAOYSA-N
CPD-15029	ZDKZHVNKFOXMND-NBEYISGCSA-N
CPD-15030	OJGPEAXUHQRLNC-CEPLBNANSA-N
CPD-15031	KKOXKGNSUHTUBV-GICMACPYSA-N
CPD-15032	PKHJWTKRKQNNJE-RJLXQHJHSA-N
CPD-15033	JVPASJUYZJKFHY-HWFHZMFDSA-N
CPD-15034	YNQCUMWYQVISHF-NAYUYCLGSA-N
CPD-15035	ZSMCIEJOAJAPEB-RPSVMIKDSA-N
CPD-15036	SCTPFOZDPBKCMW-UHFFFAOYSA-N
CPD-15038	UBCPYVAQZGCDJO-KQYNXXCUSA-N
CPD-15039	QIBKBVRVOFIKLN-JFUOOTSJSA-N
CPD-15041	LEHOTFFKMJEONL-UHFFFAOYSA-N
CPD-15042	ODQBQUXGRYBRTP-FWMZWJSFSA-N
CPD-15043	BNDDTTIRGZIQSE-ZEZHKYRDSA-N
CPD-15044	HBBIVXDEBCKFIZ-FNCVBFRFSA-N
CPD-15047	TXBORCBWDUAHAC-MFHCWRBVSA-N
CPD-15048	VGONRPRFJVEJKB-UHFFFAOYSA-O
CPD-15049	DFMAXQKDIGCMTL-UHFFFAOYSA-N
CPD-15050	SHSDEAOEIUUCIG-UHFFFAOYSA-N
CPD-15051	RBDRWVFPVZQLEV-UHFFFAOYSA-N
CPD-15052	XXGKTFZRJQPWCM-UHFFFAOYSA-N
CPD-15053	SLBIOXGJQINPIG-UHFFFAOYSA-N
CPD-15055	XPFCGZWOHNGDSP-UHFFFAOYSA-N
CPD-15056	RQVLGLPAZTUBKX-UHFFFAOYSA-N
CPD-15057	HBDWQSHEVMSFGY-SCQFTWEKSA-N
CPD-15059	BWFQMABKLLTETH-UZEGMWDYSA-N
CPD-15060	ARRIBDAUGOLZSJ-BAPALZOMSA-N
CPD-15061	WLVPRARCUSRDNI-UHFFFAOYSA-N
CPD-15062	DSBZYDDWLLIJJS-UHFFFAOYSA-N
CPD-15063	DJSISFGPUUYILV-ZFORQUDYSA-N
CPD-15065	MTXHSRQBZHUBTP-JGPBSLDXSA-N
CPD-15066	ADFAUEYXQCOXBX-LYYOMZSZSA-N
CPD-15071	DANFNCOJRRFMIO-RVIAKIMPSA-N
CPD-15072	RTATXGUCZHCSNG-QHWHWDPRSA-N
CPD-15073	QVTORZSLDIMFQS-UHFFFAOYSA-N
CPD-15074	NFENYLPEYDNIMO-UHFFFAOYSA-N
CPD-15076	QVTORZSLDIMFQS-UHFFFAOYSA-N
CPD-15077	UIRCARMQMYTLGE-UHFFFAOYSA-N
CPD-15078	WLHWYWTVMPZGJG-UHFFFAOYSA-N
CPD-15079	WBHCYFXEVWJBEE-UHFFFAOYSA-N
CPD-15080	KRSTWHCNVMDXQW-UHFFFAOYSA-N
CPD-15081	XAPBOCJASKMWEF-VJXVFPJBSA-N
CPD-15082	PLVDZVRDRCLHQP-VJXVFPJBSA-N
CPD-15083	PLAPMLGJVGLZOV-VPRICQMDSA-N
CPD-15084	PFJBHVURUOQVHW-VPRICQMDSA-N
CPD-15086	ODBRNZZJSYPIDI-VJXVFPJBSA-N
CPD-15087	KLLCDVSOGLKTDV-VJXVFPJBSA-N
CPD-15088	GCEHZSFCBPUADZ-VJXVFPJBSA-N
CPD-15090	XAPBOCJASKMWEF-VJXVFPJBSA-N
CPD-15091	PLVDZVRDRCLHQP-VJXVFPJBSA-N
CPD-15092	MLJYKRYCCUGBBV-UKKRHICBSA-N
CPD-15093	ZBDGHWFPLXXWRD-AZGQCCRYSA-N
CPD-15094	YKHKYDDELRYDNQ-WGLSOIFHSA-N
CPD-15095	ABCIYWCIWZHVKW-BFZMHJHUSA-N
CPD-15096	HBIOCZHRIWYSFJ-PUBJGORFSA-N
CPD-15097	FLSWFDOLGDBPBF-MKAUJSBJSA-N
CPD-15098	OCEFQDBLDIGMHD-IKJCIIIXSA-N
CPD-15099	UHDGCWIWMRVCDJ-CCXZUQQUSA-N
CPD-15101	NOYKDOHWNYIPQD-MYAUCQMWSA-N
CPD-15102	AULXFJFWCQVVTN-UHFFFAOYSA-N
CPD-15103	VUQLHQFKACOHNZ-LURJTMIESA-N
CPD-15104	YJVOWRAWFXRESP-ZCFIWIBFSA-N
CPD-15105	LKZDFKLGDGSGEO-PABQPRPFSA-N
CPD-15106	RDUAJIJVNHKTQC-PABQPRPFSA-N
CPD-15109	QXIPXNZUEQYPLZ-QSUZLTIMSA-N
CPD-15110	PKIXVYXPPJYUNR-MRVPVSSYSA-N
