ID	InChI_formula	InChI_charge	formula	charge	InChI_fragments	SMILES_fragments
cpd40110	C55H73MgN4O6	3	C55H70MgN4O6	0	2	1
cpd40140	C34H34FeN4O6	0	C34H32FeN4O6	-2	2	1
cpd40291	C10H10N5O8PS2W	-2	C10H10N5O8PS2W	-2	4	1
cpd40326	C44H49CoN4O16	-5	C44H47CoN4O16	-7	2	1
cpd41191	C35H36MgN4O5	2	C35H33MgN4O5	-1	2	1
cpd41192	C35H34MgN4O5	2	C35H31MgN4O5	-1	2	1
cpd41193	C35H34MgN4O5	2	C35H31MgN4O5	-1	2	1
cpd41194	C35H33MgN4O6	1	C35H31MgN4O6	-1	2	1
cpd41195	C35H35MgN4O6	1	C35H33MgN4O6	-1	2	1
cpd41198	C35H38MgN4O5	2	C35H35MgN4O5	-1	2	1
cpd41199	C55H74MgN4O6	2	C55H72MgN4O6	0	2	1
cpd41342	CH3Co	2	CH3Co	2	2	1
cpd41433	C44H44CoN4O16	-4	C44H42CoN4O16	-6	2	1
cpd41706	C35H39MgN4O6	1	C35H37MgN4O6	-1	2	1
cpd41707	C35H37MgN4O6	1	C35H35MgN4O6	-1	2	1
cpd41709	C35H36MgN4O6	2	C35H33MgN4O6	-1	2	1
cpd41710	C35H38MgN4O6	2	C35H35MgN4O6	-1	2	1
cpd41728	C55H71MgN4O6	3	C55H68MgN4O6	0	2	1
cpd41730	C35H36MgN4O5	2	C35H33MgN4O5	-1	2	1
cpd41740	C33H33MgN4O3	1	C33H31MgN4O3	-1	2	1
cpd41741	C34H37MgN4O3	3	C34H33MgN4O3	-1	2	1
cpd41743	C35H37MgN4O3	1	C35H35MgN4O3	-1	2	1
cpd41744	C36H39MgN4O3	1	C36H37MgN4O3	-1	2	1
cpd43808	C49H58FeN4O6	2	C49H56FeN4O6	0	2	1
cpd43809	C49H57FeN4O6	3	C49H54FeN4O6	0	2	1
cpd44299	H16Fe8O22	28	H12Fe8O22	24	30	1
cpd44480	C42H47N6NiO13	-1	C42H46N6NiO13	-2	2	1
cpd46105	C54H65FeN4O6	1	C54H62FeN4O6	-2	2	1
cpd46381	C32H36FeN8O10	9	C32H30FeN8O10	3	3	2
cpd46384	C20H18FeN2O11	1	C20H15FeN2O11	-2	2	1
cpd46416	C32H38FeN2O21	1	C32H35FeN2O21	-2	2	1
cpd46418	C35H38FeN5O11	2	C35H33FeN5O11	-3	2	1
cpd46421	C48H55FeN3O30	1	C48H51FeN3O30	-3	2	1
cpd46445	C49H73CoN11O8	-1	C49H75CoN11O8	1	3	1
cpd46446	C49H70CoN12O8	-2	C49H72CoN12O8	0	3	1
cpd46448	C48H72CoN11O9	-1	C48H73CoN11O9	0	3	1
cpd46450	C49H72CoN12O9	-1	C49H73CoN12O9	0	4	1
cpd46454	C68H60Fe2N8O9	-4	C68H60Fe2N8O9	-4	5	1
cpd46455	C34H34FeN4O6	2	C34H32FeN4O6	0	2	1
cpd46456	C54H64FeN4O4	0	C54H62FeN4O4	-2	2	1
cpd46457	C49H56FeN4O4	0	C49H54FeN4O4	-2	2	1
cpd46458	C54H66FeN4O5	0	C54H64FeN4O5	-2	2	1
cpd46462	C39H58FeN6O15	1	C39H57FeN6O15	0	2	1
cpd46496	C55H72MgN4O6	2	C55H70MgN4O6	0	2	1
cpd46881	O3V	-1	O3V	-1	4	1
cpd46885	H2O4Sb	-1	H2O4Sb	-1	5	1
cpd47124	C12H17O17Sb2	-3	C12H18O17Sb2	-2	7	1
cpd47499	C10H10Fe	0	C10H10Fe	0	3	2
cpd47807	C6H6CuO24P6	-10	C6H6CuO24P6	-10	2	1
cpd47884	C10H10Fe	1	C10H10Fe	1	3	2
cpd48286	C28H42FeN9O13	-2	C28H44FeN9O13	0	2	1
cpd48381	C19H23MoN8O15P2S3	-2	C19H22MoN8O15P2S3	-3	5	1
cpd48383	C19H22MoN8O16P2S2	-3	C19H22MoN8O16P2S2	-3	5	1
cpd48385	C20H20N10O13P2S4W	-4	C20H20N10O13P2S4W	-4	4	1
