modelseed_rxn,name,ec,enzyme_name,equation_definition,equation_ids,tecrdb_reaction,n_measurements,match_tier,dGpredictor_modelseed_dG_kJ,tecrdb_dG_kJ,diff_kJ,abs_diff_kJ,dGpredictor_modelseed_dG_kcal,tecrdb_dG_kcal,diff_kcal,abs_diff_kcal,dGpredictor_modelseed_err_kJ,tecrdb_dG_sd_kJ,combined_err_kJ,significant,other_GroupContribution_dG_kJ,other_dGPredictor_original_dG_kJ,other_eQuilibrator_dG_kJ,tecrdb_dG_min_kJ,tecrdb_dG_max_kJ,pH_min,pH_max,T_min,T_max,ms_orientation_vs_canonical,reactants_smiles,products_smiles,reaction_smiles,reaction_smiles_complete
rxn33573,ATP:IDP phosphotransferase,2.7.4.6,nucleoside-diphosphate kinase,(1) ATP[0] + (1) IDP[0] <=> (1) ADP[0] + (1) ITP[0],(1) cpd00002[0] + (1) cpd00090[0] <=> (1) cpd00008[0] + (1) cpd00068[0],kegg:C00002 + kegg:C00104 = kegg:C00008 + kegg:C00081,1,stereo_exact,-1.533,-0.0,-1.533,1.533,-0.366,-0.0,-0.366,0.366,6.354,0.0,6.354,False,0.0,-1.548,-2.766,-0.0,-0.0,6.0,6.0,310.15,310.15,reversed,1 Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O; 1 O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O,1 Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]1O; 1 O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,True
rxn15345,"Propane-1,2-diol:NAD+ 1-oxidoreductase",1.1.1.55,lactaldehyde reductase (NADPH),"(1) NADP[0] + (1) (S)-Propane-1,2-diol[0] <=> (1) NADPH[0] + (1) H+[0] + (1) L-Lactaldehyde[0]",(1) cpd00006[0] + (1) cpd19024[0] <=> (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd00334[0],kegg:C00583 + kegg:C00006 = kegg:C00424 + kegg:C00005,4,skeleton,17.703,19.235,-1.531,1.531,4.231,4.597,-0.366,0.366,44.106,3.914,44.279,False,21.966,17.698,27.372,14.954,24.098,8.4,10.0,298.15,298.15,reversed,1 NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1; 1 C[C@H](O)CO,1 NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1; 1 [H+]; 1 C[C@H](O)C=O,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.C[C@H](O)CO>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].C[C@H](O)C=O,True
rxn32665,"Propane-1,2-diol:NADP+ oxidoreductase",1.1.1.55,lactaldehyde reductase (NADPH),"(1) NADP[0] + (1) (S)-Propane-1,2-diol[0] <=> (1) NADPH[0] + (1) H+[0] + (1) L-Lactaldehyde[0]",(1) cpd00006[0] + (1) cpd19024[0] <=> (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd00334[0],kegg:C00583 + kegg:C00006 = kegg:C00424 + kegg:C00005,4,skeleton,17.703,19.235,-1.531,1.531,4.231,4.597,-0.366,0.366,44.106,3.914,44.279,False,21.966,17.698,27.372,14.954,24.098,8.4,10.0,298.15,298.15,reversed,1 NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1; 1 C[C@H](O)CO,1 NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1; 1 [H+]; 1 C[C@H](O)C=O,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.C[C@H](O)CO>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].C[C@H](O)C=O,True
rxn00175,Acetate:CoA ligase (AMP-forming),6.2.1.1,acetate-CoA ligase,(1) ATP[0] + (1) CoA[0] + (1) Acetate[0] <=> (1) PPi[0] + (1) AMP[0] + (1) Acetyl-CoA[0] + (1) H+[0],(1) cpd00002[0] + (1) cpd00010[0] + (1) cpd00029[0] <=> (1) cpd00012[0] + (1) cpd00018[0] + (1) cpd00022[0] + (1) cpd00067[0],kegg:C00002 + kegg:C00033 + kegg:C00010 = kegg:C00020 + kegg:C00013 + kegg:C00024,39,stereo_exact,-7.401,-5.878,-1.523,1.523,-1.769,-1.405,-0.364,0.364,6.243,1.937,6.536,False,-83.596,-7.406,-5.05,-7.671,0.39,6.89,8.5,298.15,311.15,same,1 Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O; 1 CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS; 1 CC(=O)[O-],1 O=P([O-])([O-])OP(=O)([O-])O; 1 Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O; 1 CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]; 1 [H+],Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O.CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS.CC(=O)[O-]>>O=P([O-])([O-])OP(=O)([O-])O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H+],True
rxn27659,short chain fatty acyl-CoA synthetase,6.2.1.1,acetate-CoA ligase,(1) ATP[0] + (1) CoA[0] + (1) Acetate[0] <=> (1) PPi[0] + (1) AMP[0] + (1) Acetyl-CoA[0] + (1) H+[0],(1) cpd00002[0] + (1) cpd00010[0] + (1) cpd00029[0] <=> (1) cpd00012[0] + (1) cpd00018[0] + (1) cpd00022[0] + (1) cpd00067[0],kegg:C00002 + kegg:C00033 + kegg:C00010 = kegg:C00020 + kegg:C00013 + kegg:C00024,39,stereo_exact,-7.401,-5.878,-1.523,1.523,-1.769,-1.405,-0.364,0.364,6.243,1.937,6.536,False,-83.596,-7.406,-5.05,-7.671,0.39,6.89,8.5,298.15,311.15,same,1 Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O; 1 CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS; 1 CC(=O)[O-],1 O=P([O-])([O-])OP(=O)([O-])O; 1 Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O; 1 CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]; 1 [H+],Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O.CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS.CC(=O)[O-]>>O=P([O-])([O-])OP(=O)([O-])O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H+],True
rxn27660,Acyl-activating enzyme,6.2.1.1,acetate-CoA ligase,(1) ATP[0] + (1) CoA[0] + (1) Acetate[0] <=> (1) PPi[0] + (1) AMP[0] + (1) Acetyl-CoA[0] + (1) H+[0],(1) cpd00002[0] + (1) cpd00010[0] + (1) cpd00029[0] <=> (1) cpd00012[0] + (1) cpd00018[0] + (1) cpd00022[0] + (1) cpd00067[0],kegg:C00002 + kegg:C00033 + kegg:C00010 = kegg:C00020 + kegg:C00013 + kegg:C00024,39,stereo_exact,-7.401,-5.878,-1.523,1.523,-1.769,-1.405,-0.364,0.364,6.243,1.937,6.536,False,-83.596,-7.406,-5.05,-7.671,0.39,6.89,8.5,298.15,311.15,same,1 Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O; 1 CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS; 1 CC(=O)[O-],1 O=P([O-])([O-])OP(=O)([O-])O; 1 Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O; 1 CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]; 1 [H+],Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O.CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS.CC(=O)[O-]>>O=P([O-])([O-])OP(=O)([O-])O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H+],True
rxn30338,acetyl-CoA synthetase,6.2.1.1,acetate-CoA ligase,(1) ATP[0] + (1) CoA[0] + (1) Acetate[0] <=> (1) PPi[0] + (1) AMP[0] + (1) Acetyl-CoA[0] + (1) H+[0],(1) cpd00002[0] + (1) cpd00010[0] + (1) cpd00029[0] <=> (1) cpd00012[0] + (1) cpd00018[0] + (1) cpd00022[0] + (1) cpd00067[0],kegg:C00002 + kegg:C00033 + kegg:C00010 = kegg:C00020 + kegg:C00013 + kegg:C00024,39,stereo_exact,-7.401,-5.878,-1.523,1.523,-1.769,-1.405,-0.364,0.364,6.243,1.937,6.536,False,-83.596,-7.406,-5.05,-7.671,0.39,6.89,8.5,298.15,311.15,same,1 Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O; 1 CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS; 1 CC(=O)[O-],1 O=P([O-])([O-])OP(=O)([O-])O; 1 Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O; 1 CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]; 1 [H+],Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O.CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS.CC(=O)[O-]>>O=P([O-])([O-])OP(=O)([O-])O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H+],True
rxn33879,Acetate--CoA Ligase,6.2.1.1,acetate-CoA ligase,(1) ATP[0] + (1) CoA[0] + (1) Acetate[0] <=> (1) PPi[0] + (1) AMP[1] + (1) Acetyl-CoA[0] + (1) H+[0],(1) cpd00002[0] + (1) cpd00010[0] + (1) cpd00029[0] <=> (1) cpd00012[0] + (1) cpd00018[1] + (1) cpd00022[0] + (1) cpd00067[0],kegg:C00002 + kegg:C00033 + kegg:C00010 = kegg:C00020 + kegg:C00013 + kegg:C00024,39,stereo_exact,-7.401,-5.878,-1.523,1.523,-1.769,-1.405,-0.364,0.364,6.243,1.937,6.536,False,-83.596,-7.406,-5.05,-7.671,0.39,6.89,8.5,298.15,311.15,same,1 Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O; 1 CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS; 1 CC(=O)[O-],1 O=P([O-])([O-])OP(=O)([O-])O; 1 Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O; 1 CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]; 1 [H+],Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O.CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS.CC(=O)[O-]>>O=P([O-])([O-])OP(=O)([O-])O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H+],True
rxn21750,2-keto-3-deoxy-L-galactonate aldolase,4.1.2.a,2-oxo-3-deoxy-D-gluconate aldolase,(1) 2-keto-3-deoxy-L-galactonate[0] <=> (1) Pyruvate[0] + (1) L-Glycerose[0],(1) cpd23364[0] <=> (1) cpd00020[0] + (1) cpd01605[0],kegg:C00204 = kegg:C00022 + kegg:C00577,1,skeleton,19.838,18.318,1.52,1.52,4.742,4.378,0.363,0.363,41.316,0.0,41.316,False,3.138,19.832,12.686,18.318,18.318,8.0,8.0,313.15,313.15,reversed,1 O=C([O-])C(=O)C[C@H](O)[C@@H](O)CO,1 CC(=O)C(=O)[O-]; 1 O=C[C@@H](O)CO,O=C([O-])C(=O)C[C@H](O)[C@@H](O)CO>>CC(=O)C(=O)[O-].O=C[C@@H](O)CO,True
rxn16378,fatty acylamide amidohydrolase,3.5.1.a,anandamide amidohydrolase,(1) H2O[0] + (1) Anandamide[0] <=> (1) Aminoethanol[0] + (1) Arachidonate[0],(1) cpd00001[0] + (1) cpd08505[0] <=> (1) cpd00162[0] + (1) cpd00188[0],kegg:C11695 + kegg:C00001 = kegg:C00189 + kegg:C00219,3,stereo_exact,13.957,12.451,1.506,1.506,3.336,2.976,0.36,0.36,6.915,2.64,7.401,False,-1.925,13.975,12.196,9.042,14.238,6.0,9.0,310.15,310.15,reversed,1 O; 1 CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO,1 [NH3+]CCO; 1 CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-],O.CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO>>[NH3+]CCO.CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-],True
rxn26999,FAAH,3.5.1.a,anandamide amidohydrolase,(1) H2O[0] + (1) Anandamide[0] <=> (1) Aminoethanol[0] + (1) Arachidonate[0],(1) cpd00001[0] + (1) cpd08505[0] <=> (1) cpd00162[0] + (1) cpd00188[0],kegg:C11695 + kegg:C00001 = kegg:C00189 + kegg:C00219,3,stereo_exact,13.957,12.451,1.506,1.506,3.336,2.976,0.36,0.36,6.915,2.64,7.401,False,-1.925,13.975,12.196,9.042,14.238,6.0,9.0,310.15,310.15,reversed,1 O; 1 CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO,1 [NH3+]CCO; 1 CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-],O.CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO>>[NH3+]CCO.CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-],True
rxn01385,Xylitol:NAD+ 2-oxidoreductase (D-xylulose-forming),1.1.1.14;1.1.1.9,D-xylulose reductase;L-iditol 2-dehydrogenase;L-iditol dehydrogenase,(1) NAD[0] + (1) Xylitol[0] <=> (1) NADH[0] + (1) H+[0] + (1) D-Lyxulose[0],(1) cpd00003[0] + (1) cpd00306[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd00259[0],kegg:C00379 + kegg:C00003 = kegg:C00310 + kegg:C00004,7,stereo_exact,15.135,16.631,-1.496,1.496,3.617,3.975,-0.358,0.358,6.5,4.902,8.141,False,16.067,15.146,19.393,6.974,19.286,7.0,9.5,296.15,298.15,same,1 NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1; 1 OC[C@@H](O)[C@H](O)[C@@H](O)CO,1 NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1; 1 [H+]; 1 OCC1(O)OC[C@@H](O)[C@@H]1O,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.OC[C@@H](O)[C@H](O)[C@@H](O)CO>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].OCC1(O)OC[C@@H](O)[C@@H]1O,True
rxn37675,D-XYLULOSE-REDUCTASE-RXN.r,1.1.1.14;1.1.1.9,D-xylulose reductase;L-iditol 2-dehydrogenase;L-iditol dehydrogenase,(1) NAD[0] + (1) Xylitol[0] <=> (1) NADH[0] + (1) H+[0] + (1) D-Lyxulose[0],(1) cpd00003[0] + (1) cpd00306[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd00259[0],kegg:C00379 + kegg:C00003 = kegg:C00310 + kegg:C00004,7,stereo_exact,15.135,16.631,-1.496,1.496,3.617,3.975,-0.358,0.358,6.5,4.902,8.141,False,16.067,15.146,19.393,6.974,19.286,7.0,9.5,296.15,298.15,same,1 NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1; 1 OC[C@@H](O)[C@H](O)[C@@H](O)CO,1 NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1; 1 [H+]; 1 OCC1(O)OC[C@@H](O)[C@@H]1O,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.OC[C@@H](O)[C@H](O)[C@@H](O)CO>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].OCC1(O)OC[C@@H](O)[C@@H]1O,True
rxn01675,dTTP:alpha-D-glucose-1-phosphate thymidylyltransferase,2.7.7.24,glucose-1-phosphate thymidylyltransferase,(1) Glucose-1-phosphate[0] + (1) TTP[0] <=> (1) PPi[0] + (1) dTDPglucose[0],(1) cpd00089[0] + (1) cpd00357[0] <=> (1) cpd00012[0] + (1) cpd00626[0],kegg:C00459 + kegg:C00103 = kegg:C00842 + kegg:C00013,1,stereo_exact,2.477,0.993,1.484,1.484,0.592,0.237,0.355,0.355,6.266,0.0,6.266,False,4.477,2.469,2.887,0.993,0.993,8.0,8.0,298.15,298.15,same,1 O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O; 1 Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O2)c(=O)[nH]c1=O,1 O=P([O-])([O-])OP(=O)([O-])O; 1 Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)O2)c(=O)[nH]c1=O,O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O2)c(=O)[nH]c1=O>>O=P([O-])([O-])OP(=O)([O-])O.Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)O2)c(=O)[nH]c1=O,True
rxn01676,dTTP:alpha-D-galactose-1-phosphate thymidylyltransferase,2.7.7.24,glucose-1-phosphate thymidylyltransferase,(1) D-Galactose 1-phosphate[0] + (1) TTP[0] <=> (1) PPi[0] + (1) dTDP-galactose[0],(1) cpd00348[0] + (1) cpd00357[0] <=> (1) cpd00012[0] + (1) cpd01423[0],kegg:C00459 + kegg:C00103 = kegg:C00842 + kegg:C00013,1,skeleton,2.477,0.993,1.484,1.484,0.592,0.237,0.355,0.355,6.266,0.0,6.266,False,4.477,2.469,5.983,0.993,0.993,8.0,8.0,298.15,298.15,same,1 O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O; 1 Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O2)c(=O)[nH]c1=O,1 O=P([O-])([O-])OP(=O)([O-])O; 1 Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)O2)c(=O)[nH]c1=O,O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O.Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O2)c(=O)[nH]c1=O>>O=P([O-])([O-])OP(=O)([O-])O.Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)O2)c(=O)[nH]c1=O,True
