rxn	name	ec	status	is_transport	n_src	birge	struct_zero	dg_GC	grade_GC	dg_EQ	grade_EQ	dg_DGPMS	grade_DGPMS	dg_TECRDB	grade_TECRDB	best_grade	best_source
rxn00062	ATP phosphohydrolase	3.6.1.15;3.6.1.3;3.6.1.5;3.6.1.8;3.6.3.1;3.6.3.10;3.6.3.11;3.6.3.12;3.6.3.14;3.6.3.15;3.6.3.16;3.6.3.17;3.6.3.18;3.6.3.19;3.6.3.2;3.6.3.20;3.6.3.21;3.6.3.22;3.6.3.23;3.6.3.24;3.6.3.25;3.6.3.26;3.6.3.27;3.6.3.28;3.6.3.29;3.6.3.3;3.6.3.30;3.6.3.31;3.6.3.32;3.6.3.33;3.6.3.34;3.6.3.35;3.6.3.36;3.6.3.37;3.6.3.38;3.6.3.39;3.6.3.4;3.6.3.40;3.6.3.41;3.6.3.42;3.6.3.43;3.6.3.44;3.6.3.46;3.6.3.47;3.6.3.48;3.6.3.49;3.6.3.5;3.6.3.50;3.6.3.51;3.6.3.52;3.6.3.53;3.6.3.54;3.6.3.55;3.6.3.6;3.6.3.7;3.6.3.8;3.6.3.9;3.6.4.1;3.6.4.10;3.6.4.11;3.6.4.12;3.6.4.13;3.6.4.2;3.6.4.3;3.6.4.4;3.6.4.5;3.6.4.6;3.6.4.7;3.6.4.8;3.6.4.9;5.6.1.c;5.6.1.d;5.6.1.f;5.6.1.g;7.3.2.a;7.3.2.f;7.5.2.h;7.5.2.j;7.5.2.l;7.6.2.c;7.6.2.f	OK	0	3	0.7784	False	-6.7800	GOLD	-6.0910	GOLD	-7.0700	GOLD	-6.2151	GOLD	GOLD	TECRDB
rxn00063	ATP diphosphohydrolase (diphosphate-forming)	3.6.1.8	OK	0	3	3.4903	False	-27.2400	BRONZE	-8.1380	GOLD	-9.9600	GOLD			GOLD	EQ
rxn00064	ATP aminohydrolase	3.5.4.18	OK	0	3	1.7234	False	-8.5100	BRONZE	-12.7170	BRONZE	-6.3000	SILVER			SILVER	DGPMS
rxn00065	ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming)	4.6.1.1	OK	0	3	1.8718	False	-8.4500	BRONZE	1.9190	GOLD	2.0400	GOLD	1.6195	GOLD	GOLD	TECRDB
rxn00066	NADH:hydrogen-peroxide oxidoreductase	1.11.1.1	OK	0	3	1.6476	False	-77.0900	BRONZE	-76.2800	BRONZE	-68.5900	BRONZE			BRONZE	GC
rxn00067	CoA:NAD+ oxidoreductase	1.8.1.14;1.8.1.M1	OK	0	3	1.1169	False	2.9400	BRONZE	-3.5020	SILVER	-18.8900	SILVER			SILVER	EQ
rxn00068	Fe2+:NAD+ oxidoreductase	1.16.1.7	OK	0	2	0.5114	False			45.6700	SILVER	47.6000	SILVER			SILVER	EQ
rxn00069	L-glutamate:NAD+ oxidoreductase (transaminating)	1.4.1.14	OK	0	3	0.3378	False	13.4400	SILVER	11.8400	GOLD	11.5900	SILVER			GOLD	EQ
rxn00070	glutathione:NAD+ oxidoreductase	1.8.1.7	CI:-2	0	3	1.8064	False	-4.9400	BRONZE	0.9950	BRONZE	3.2200	SILVER	4.2988	GOLD	GOLD	TECRDB
rxn00071	NADH:monodehydroascorbate oxidoreductase	1.6.5.4	CI:2	0	2	3.2194	False	-19.9100	BRONZE			48.6200	BRONZE			BRONZE	GC
