rxn	name	ec	source	dg	sigma	operator	ehat	p_ok	z	birge	n_src	struct_zero	grade	reason	n_anchor	n_proxy
rxn13129	Transport of rhamnose, extracellular		Group contribution	0.0000	4.2400	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13130	Formate dehydrogenase		Group contribution	-133.3300	12.6400	>	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13134	5'-nucleotidase	3.1.3.5	Group contribution	7.2200	8.4900	=	3.6853	0.5594	2.8513	2.0704	3	False	BRONZE	uncorroborated	802	11318
rxn13139	Nucleoside triphosphatase		Group contribution	-15.8500	8.3400	>	3.6853	0.5594	0.4170	0.3241	3	False	SILVER	corroborated	802	11318
rxn13140	Nucleoside triphosphatase		Group contribution	-15.8500	8.1800	>	3.6853	0.5594	0.5113	0.8623	3	False	SILVER	corroborated	802	11318
rxn13141	Glucosamine-6-phosphate deaminase		Group contribution	1.5800	3.9500	>	3.5584	0.5594	0.4521	0.5603	3	False	SILVER	corroborated	802	11318
rxn13142	Mannitol-1-phosphate 5-dehydrogenase		Group contribution	-45.1500	12.6100	>	3.6853	0.5594	3.3515	3.4739	2	False	BRONZE	outvoted	802	11318
rxn13143	Threonine dehydrogenase		Group contribution	-8.7200	12.2800	=	3.6853	0.5594	0.7494	2.9491	3	False	BRONZE	uncorroborated	802	11318
rxn13146	Polyamine oxidase		Group contribution	-8.8600	1.8100	>	2.0964	0.6581	0.6035	2.8562	2	False	BRONZE	uncorroborated	802	11318
rxn13147	Hypothetical enzyme		Group contribution	-0.9200	1.7000	>	2.0964	0.6581	4.1159	3.2471	3	False	BRONZE	outvoted	802	11318
rxn13149	Hypothetical enzyme		Group contribution	185.5100	26.3400	<	3.6940	0.5594	0.8361	1.4986	3	False	SILVER	corroborated	802	11318
rxn13150	5-formyltetrahydrofolate cyclo-ligase		Group contribution	96.8900	12.0300	<	3.6853	0.5594	1.4026	4.7016	3	False	BRONZE	uncorroborated	802	11318
rxn13159	TRANS-RXNAVI-26408.ce.brachyexp.CPD-3617_CPD-3617		Group contribution	0.0000	2.0400	=	2.0964	0.6581	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13160	TRANS-RXNAVI-26408.ce.brachyexp.DODECANOATE_DODECANOATE		Group contribution	0.0000	2.5200	=	2.6883	0.6225	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13171	Kynurenine 3-monooxygenase	1.14.13.9	Group contribution	-95.8600	12.5500	>	3.6853	0.5594	2.4628	3.4682	3	False	BRONZE	uncorroborated	802	11318
rxn13178	TRANS-RXNBWI-115380.cm		Group contribution	0.0000	1.4100	=	2.0964	0.6581	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13182	3-HYDROXY-KYNURENINASE-RXN.c	3.7.1.3	Group contribution	-12.7800	3.2900	>	2.6883	0.6225	0.1521	1.5893	3	False	BRONZE	uncorroborated	802	11318
rxn13185	RXN-12057.c	3.1.4.37	Group contribution	-17.2300	9.7100	>	3.6853	0.5594	2.4304	2.0883	3	False	BRONZE	uncorroborated	802	11318
rxn13186	S-adenosyl-L-methionine:2-hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone 3-O-methyltransferase	2.1.1.114	Group contribution	-3.5300	14.3100	=	3.6940	0.5594	0.0000		1	False	BRONZE	uncorroborated	802	11318
rxn13187	2-hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone monooxygenase, mitochondrial		Group contribution	-41.0200	10.2500	>	3.6853	0.5594	0.2538	0.4453	2	False	SILVER	corroborated	802	11318
rxn13189	2-Methylbutanal transport (extracellular)		Group contribution	0.0000	0.9200	=	0.6133	0.9730	0.0000		1	True	GOLD	self-certain	802	11318
rxn13190	2-Methylbutanal transport (mitochondrial)		Group contribution	0.0000	0.9200	=	0.6133	0.9730	0.0000		1	True	GOLD	self-certain	802	11318
rxn13195	2obut transporter (mitochondrial)		Group contribution	0.0000	0.8900	=	0.6133	0.9730	0.0000		1	True	GOLD	self-certain	802	11318
rxn13196	2-phenylethanol reversible transport		Group contribution	0.0000	2.2800	=	2.6883	0.6225	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13197	2-phenylethanol reversible transport, mitochondrial		Group contribution	0.0000	2.2800	=	2.6883	0.6225	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13198	2-Isopropylmalate transport, diffusion		Group contribution	0.0000	1.3600	=	2.0964	0.6581	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13199	3-Hexaprenyl-4,5-dihydroxybenzoate transport, mitochondrial		Group contribution	0.0000	9.3800	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13201	3-methylbutanal transport (extracellular)		Group contribution	0.0000	0.9200	=	0.6133	0.9730	0.0000		1	True	GOLD	self-certain	802	11318
rxn13202	3-methylbutanal transport (mitochondrial)		Group contribution	0.0000	0.9200	=	0.6133	0.9730	0.0000		1	True	GOLD	self-certain	802	11318
rxn13204	3-Hexaprenyl-4,5-dihydroxybenzoate hydroxylase, mitochondrial		Group contribution	-41.4400	9.2400	>	3.6853	0.5594	2.5066	2.7408	3	False	BRONZE	uncorroborated	802	11318
rxn13205	3-Octaprenyl-4-hydroxybenzoate mitochondrial transport		Group contribution	0.0000	9.1100	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13206	4-Aminobenzoate mitochondrial transport via diffusion		Group contribution	0.0000	2.6700	=	2.6883	0.6225	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13209	RXN-7692.c	4.1.1.1	Group contribution	-4.1200	1.0200	>	1.1118	0.8382	0.5678	1.4482	3	False	SILVER	self-confident	802	11318
rxn13211	Acetaldehyde condensation		Group contribution	-5.3200	2.1200	=	2.0964	0.6581	1.1801	1.2730	3	False	BRONZE	uncorroborated	802	11318
rxn13212	acetaldehyde mitochondrial diffusion		Group contribution	0.0000	1.4100	=	2.0964	0.6581	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13213	acetyl-CoA transport, nuclear		Group contribution	0.0000	10.0000	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13215	Isoamyl acetate-hydrolyzing esterase	3.1.1.M7	Group contribution	-3.6500	1.6800	=	2.0964	0.6581	1.2982	1.0289	3	False	BRONZE	uncorroborated	802	11318
rxn13220	AKG transporter, peroxisome		Group contribution	0.0000	1.0700	=	1.1118	0.8382	0.0000		1	True	SILVER	self-confident	802	11318
rxn13221	Alanine transport from mitochondia to cytoplasm		Group contribution	0.0000	0.8300	=	0.6133	0.9730	0.0000		1	True	GOLD	self-certain	802	11318
rxn13226	phenylacetaldehyde reductase	1.1.1.-	Group contribution	-5.2500	12.3800	=	3.6853	0.5594	0.0723	0.3073	3	False	SILVER	corroborated	802	11318
rxn13227	AMP transport via diffusion (cytosol to nucleus)		Group contribution	0.0000	8.5800	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13228	L-arginine transport in via proton antiport (vacuolar)		Group contribution	0.0000	4.4300	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13229	L-asparagine transport in via proton antiport (vacuolar)		Group contribution	0.0000	1.6500	=	2.0964	0.6581	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13230	L-asparagine transport out via proton symport, vacuolar		Group contribution	0.0000	1.6500	=	2.0964	0.6581	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13231	Aspartate-glutamate transporter		Group contribution	0.0000	1.4400	=	2.0964	0.6581	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13232	L-aspartate nuclear transport via diffusion		Group contribution	0.0000	0.9800	=	0.6900	0.9730	0.0000		1	True	GOLD	self-certain	802	11318
rxn13233	L-aspartate transport out via proton symport, vacuolar		Group contribution	0.0000	0.9800	=	0.6900	0.9730	0.0000		1	True	GOLD	self-certain	802	11318
rxn13234	C-22 sterol desaturase (NAD)		Group contribution	-95.5200	22.9200	>	3.6940	0.5594	0.2063	0.2351	3	False	SILVER	corroborated	802	11318
rxn13243	coenzyme A transport (Mitochondrial)		Group contribution	0.0000	9.7600	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13244	coenzyme A transport, nuclear		Group contribution	0.0000	9.7600	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13245	CTP/CMP antiport		Group contribution	0.0000	7.6900	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13247	D-lactate/pyruvate antiport, mitochondrial		Group contribution	0.0000	1.1000	=	1.1118	0.8382	0.0000		1	True	SILVER	self-confident	802	11318
rxn13251	Fumarate dependent DHORD	1.3.98.1	Group contribution	-3.1300	4.1400	=	3.6853	0.5594	1.1702	6.0286	3	False	BRONZE	uncorroborated	802	11318
rxn13290	farnesyl diphosphate transport (mitochondrial)		Group contribution	0.0000	4.3300	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13291	glycero-3-phosphocholine transport (extracellular to cytosol)		Group contribution	0.0000	5.8300	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13292	glycero-3-phospho-1-inositol transport (extracellular to cytosol)		Group contribution	0.0000	4.6500	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13296	GDP-mannose antiport		Group contribution	0.0000	13.0200	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13297	glucan 1,4-alpha-glucosidase, vacuole		Group contribution	532.1300	12.4600	<	3.6853	0.5594	27.4858	48.2315	2	False	BRONZE	outvoted	802	11318
rxn13298	Glycogen vacuolar 'transport' via autophagy		Group contribution	0.0000	17.0700	=	3.6940	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13299	glycogen phosphorylase	2.4.1.1	Group contribution	524.9100	12.4800	<	3.6853	0.5594	26.4345	46.3868	2	False	BRONZE	outvoted	802	11318
rxn13300	glycogen synthase (UDPGlc)		Group contribution	-546.4400	14.1000	>	3.6940	0.5594	28.0456	49.1356	2	False	BRONZE	outvoted	802	11318
rxn13301	L-glutamine transport in via proton antiport (vacuolar)		Group contribution	0.0000	1.7100	=	2.0964	0.6581	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13302	L-glutamine transport out via proton symport, vacuolar		Group contribution	0.0000	1.7100	=	2.0964	0.6581	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13303	L-glutamate transport out via proton symport, vacuolar		Group contribution	0.0000	1.0600	=	1.1118	0.8382	0.0000		1	True	SILVER	self-confident	802	11318
rxn13304	TRANS-RXN-232.cm		Group contribution	0.0000	1.0600	=	1.1118	0.8382	0.0000		1	True	SILVER	self-confident	802	11318
rxn13305	TRANS-RXNAVI-26408.ce.brachyexp.GLYOX_GLYOX		Group contribution	0.0000	0.7600	=	0.6133	0.9730	0.0000		1	True	GOLD	self-certain	802	11318
rxn13306	Reduced glutathione via ABC system (vacuolar)	7.4.2.i	Group contribution	-6.7800	12.4800	>	3.6853	0.5594	0.0139	0.5469	3	True	BRONZE	uncorroborated	802	11318
rxn13307	GTP/GDP translocase, mitochondrial (electroneutral)		Group contribution	0.0000	10.9900	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13308	hydrogen peroxide nuclear transport		Group contribution	0.0000	0.0000	=	0.0000	1.0000	0.0000		1	True	GOLD	self-certain	802	11318
rxn13310	bicarbonate nuclear transport via diffusion		Group contribution	0.0000	0.0000	=	0.0000	1.0000	0.0000		1	True	GOLD	self-certain	802	11318
rxn13313	all-trans-hexaprenyl diphosphate transport, mitochondrial		Group contribution	0.0000	8.6000	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13314	L-histidine transport in via proton antiport (vacuolar)		Group contribution	0.0000	3.2000	=	2.6883	0.6225	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13315	Isoamyl acetate transport (extracellular)		Group contribution	0.0000	1.6400	=	2.0964	0.6581	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13316	isoamyl alcohol transport (extracellular)		Group contribution	0.0000	0.9800	=	0.6900	0.9730	0.0000		1	True	GOLD	self-certain	802	11318
rxn13317	isoamyl alcohol transport (mitochondrial)		Group contribution	0.0000	0.9800	=	0.6900	0.9730	0.0000		1	True	GOLD	self-certain	802	11318
rxn13319	isobutyl alcohol transport (extracellular)		Group contribution	0.0000	0.8600	=	0.6133	0.9730	0.0000		1	True	GOLD	self-certain	802	11318
rxn13320	isobutyl alcohol transport (mitochondrial)		Group contribution	0.0000	0.8600	=	0.6133	0.9730	0.0000		1	True	GOLD	self-certain	802	11318
rxn13321	L-isoleucine transport in via proton antiport (vacuolar)		Group contribution	0.0000	1.2600	=	1.9775	0.6581	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13322	L-isoleucine transport out via proton symport, vacuolar		Group contribution	0.0000	1.2600	=	1.9775	0.6581	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13323	Isoleucine transport from mitochondria to cytosol		Group contribution	0.0000	1.2600	=	1.9775	0.6581	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13324	Tryptophol transport (extracellular		Group contribution	0.0000	4.4400	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13325	Tryptophol transport (mitochondrial)		Group contribution	0.0000	4.4400	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13332	Isopentenyl diphosphate transport, mitochondrial		Group contribution	0.0000	1.6400	=	2.0964	0.6581	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13334	L-lactate transport, mitochondrial		Group contribution	0.0000	0.7100	=	0.6133	0.9730	0.0000		1	True	GOLD	self-certain	802	11318
rxn13338	L-cystine transport via proton symport (vacuolar)		Group contribution	0.0000	5.4600	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13339	L-leucine transport in via proton antiport (vacuolar)		Group contribution	0.0000	1.2600	=	1.9775	0.6581	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13340	L-leucine transport out via proton symport, vacuolar		Group contribution	0.0000	1.2600	=	1.9775	0.6581	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13343	L-lysine transport in via proton antiport (vacuolar)		Group contribution	0.0000	1.5800	=	2.0964	0.6581	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13344	inositol-1,3,4,5-triphosphate 6-kinase, nucleus	2.7.1.151	Group contribution	-14.0000	9.5800	=	3.6853	0.5594	1.8242	1.6707	3	False	BRONZE	uncorroborated	802	11318
rxn13345	1D-myo-Inositol 1,4,5-trisphosphate nuclear transport via diffusion		Group contribution	0.0000	4.0400	=	3.5584	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13346	inositol hexakisphosphate nuclear transport (diffusion)		Group contribution	0.0000	4.5500	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13360	NADP transporter		Group contribution	0.0000	12.2900	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13361	NAD(+) transport (Peroxisomal membrane)		Group contribution	0.0000	12.3200	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13364	ammonia nuclear transport		Group contribution	0.0000	0.0000	=	0.0000	1.0000	0.0000		1	True	GOLD	self-certain	802	11318
rxn13365	Oxaloacetate transport		Group contribution	0.0000	0.9900	=	1.1118	0.9730	0.0000		1	True	GOLD	self-certain	802	11318
rxn13368	Alcohol Acetyltransferase (isoamyl alcohol)		Group contribution	-3.6100	9.9700	>	3.6853	0.5594	0.6945	0.6409	3	False	SILVER	corroborated	802	11318
rxn13371	phenylethanol acetyltransferase	2.3.1.224;2.3.1.84	Group contribution	-3.6100	10.1700	>	3.6853	0.5594	0.7356	0.6120	3	False	SILVER	corroborated	802	11318
rxn13373	Phenylacetaldehyde transport (extracellular)		Group contribution	0.0000	2.2600	=	2.6883	0.6225	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13374	Phenylacetaldehyde transport (mitochondrial)		Group contribution	0.0000	2.2600	=	2.6883	0.6225	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13376	all-trans-Pentaprenyl diphosphate transport, mitochondrial		Group contribution	0.0000	7.1700	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13377	Phenethyl acetate transport (extracellular)		Group contribution	0.0000	2.5600	=	2.6883	0.6225	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13385	ATP:1D-myo-inositol-hexakisphosphate 5-phosphotransferase	2.7.4.21	Group contribution	9.5000	9.7300	=	3.6853	0.5594	2.0199	1.5521	3	False	BRONZE	uncorroborated	802	11318
rxn13388	spermidine:oxygen oxidoreductase (spermidine-forming)	1.5.3.16;1.5.3.17	Group contribution	-23.5000	4.7300	>	3.6853	0.5594	0.7864	3.5698	3	False	BRONZE	uncorroborated	802	11318
rxn13392	putrescine transport in via proton antiport, irreversible		Group contribution	0.0000	1.4800	=	2.0964	0.6581	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13393	putrescine excretion (cytosol to extracellular)		Group contribution	0.0000	1.4800	=	2.0964	0.6581	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13394	pyruvate decarboxylase (acetoin-forming)		Group contribution	-8.7900	1.3600	>	2.0964	0.6581	0.9678	1.1624	3	False	SILVER	corroborated	802	11318
rxn13396	sphinganine 1-phosphate endoplasmic reticular transport		Group contribution	0.0000	3.9200	=	3.5584	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13397	spermidine excretion (cytosol to extracellular)		Group contribution	0.0000	3.2800	=	2.6883	0.6225	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13398	spermine transport via proton antiport irreversible		Group contribution	0.0000	5.7700	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13399	Squalene epoxidase, endoplasmic reticular (NAD)		Group contribution	-98.7500	15.1700	>	3.6940	0.5594	0.3087	0.8429	3	False	SILVER	corroborated	802	11318
rxn13400	3-(4-hydroxyphenyl)lactate hydro-lyase (4-coumarate-forming)	4.2.1.-	Group contribution	-2.6600	2.8500	=	2.6883	0.6225	0.8557	0.8633	3	False	SILVER	corroborated	802	11318
rxn13402	taurine transport		Group contribution	0.0000	2.2200	=	2.1161	0.6581	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13403	Taurcholate via ABC system (vacuolar)		Group contribution	-6.7800	22.0800	>	3.6940	0.5594	0.0138	0.5469	3	True	BRONZE	uncorroborated	802	11318
rxn13409	fatty acid intracellular transport		Group contribution	0.0000	12.0900	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13411	L-tyrosine transport in via proton antiport (vacuolar)		Group contribution	0.0000	2.5500	=	2.6883	0.6225	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13412	L-tyrosine transport out via proton symport, vacuolar	2.A.3.1.-	Group contribution	0.0000	2.5500	=	2.6883	0.6225	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13413	TRANS-RXNBWI-115630.cg.maizeexp.UDP-GALACTOSE_UDP-GALACTOSE		Group contribution	0.0000	8.8200	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13414	ATP diphosphohydrolase (phosphate-forming)	3.6.1.5	Group contribution	-23.0700	5.7100	>	3.6853	0.5594	2.6537	1.9201	3	False	BRONZE	uncorroborated	802	11318
rxn13415	UTP/UMP antiport		Group contribution	0.0000	7.5700	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13428	biotin-synthase--ala-L-producing		Group contribution	-31.7600	20.7600	=	3.6940	0.5594	0.1426	0.8351	2	False	SILVER	corroborated	802	11318
rxn13477	(2E,6E)-farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase (adding 3 isopentenyl units)	2.5.1.83	Group contribution	-67.5000	8.2100	>	3.6853	0.5594	3.0696	2.3723	3	False	BRONZE	outvoted	802	11318
rxn13638	Fructose-6-phosphate transport via phosphate antiport (periplasm)		Group contribution	0.0000	3.7100	=	2.9031	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13639	formate dehydrogenase (quinone-8) (periplasm)	1.2.2.1	Group contribution	-20.5600	13.0800	>	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13640	Formate Dehydrogenase (menaquinone-8) (periplasm)	1.2.2.1	Group contribution	-24.6500	13.0300	>	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13641	Glucose-6-phosphate transport via phosphate antiport (periplasm)		Group contribution	0.0000	4.2600	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13642	D-Glucosamine 6-phosphate transport via phosphate antiport (periplasm)		Group contribution	0.0000	4.1900	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13643	glycogen synthase (ADPGlc)		Group contribution	-546.4400	15.6300	>	3.6940	0.5594	28.2696	49.5280	2	False	BRONZE	outvoted	802	11318
rxn13644	Mannose-6-phosphate transport via phosphate antiport (periplasm)		Group contribution	0.0000	4.2600	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13645	murein polymerizing transglycosylase		Group contribution	-6.5100	45.5100	=	3.6940	0.5594	0.1680	0.9843	2	True	BRONZE	uncorroborated	802	11318
rxn13646	sodium proton antiporter (H:NA is 1.5) (periplasm)		Group contribution	0.0000	0.0000	=	0.0000	1.0000	0.0000		1	True	GOLD	self-certain	802	11318
rxn13647	nitrite Reductase (Ubiquinole-8, periplasm)		Group contribution	-48.8400	39.1500	>	3.6940	0.5594	10.9666	11.2207	2	False	BRONZE	outvoted	802	11318
rxn13648	nitrite Reductase (Menaquinole-8, periplasm)		Group contribution	-36.5700	38.9900	>	3.6940	0.5594	12.6939	12.9881	2	False	BRONZE	outvoted	802	11318
rxn13659	acyl-CoA dehydrogenase (isovaleryl-CoA)	1.3.99.10	Group contribution	16.0200	15.8500	=	3.6940	0.5594	0.6783	2.5473	3	False	BRONZE	uncorroborated	802	11318
rxn13697	Fatty acid oxidation (tetradecanoate:ubiquinone)		Group contribution	-59.4600	127.8500	=	3.6940	0.5594	12.7327	13.0277	2	False	BRONZE	outvoted	802	11318
rxn13698	Fatty acid oxidation (hexadecanoate:ubiquinone)		Group contribution	-65.7800	148.1800	=	3.6940	0.5594	15.6004	15.9619	2	False	BRONZE	outvoted	802	11318
rxn13699	Fatty acid oxidation (octadecanoate:ubiquinone)		Group contribution	-72.1000	168.5300	=	3.6940	0.5594	18.5095	18.9384	2	False	BRONZE	outvoted	802	11318
rxn13708	F or mamide efflux		Group contribution	0.0000	1.0500	=	1.1118	0.8382	0.0000		1	True	SILVER	self-confident	802	11318
rxn13710	1,4-alpha-glucan branching enzyme	2.4.1.18	Group contribution	-538.9100	15.1700	>	3.6940	0.5594	27.4829	48.1498	2	False	BRONZE	outvoted	802	11318
rxn13711	D-glycerate transp or t (proton symp or t)		Group contribution	0.0000	0.9200	=	0.6133	0.9730	0.0000		1	True	GOLD	self-certain	802	11318
rxn13712	Glutathione export via ABC system	3.6.3.M9	Group contribution	-6.7800	12.4800	>	3.6853	0.5594	0.0139	0.5469	3	True	BRONZE	uncorroborated	802	11318
rxn13713	4-hydroxybutyrate CoA transferase		Group contribution	0.0000	10.1400	=	3.6853	0.5594	1.5108	1.5460	2	False	BRONZE	uncorroborated	802	11318
rxn13726	NADH-DEHYDROG-A-RXN.ce.cornexp.CPD-9956_UBIQUINONE-8	1.6.5.3	Group contribution	-17.4700	17.8600	=	3.6940	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13741	proline oxidase	1.5.1.2	Group contribution	-27.9300	13.2900	>	3.6940	0.5594	2.8625	2.9289	2	False	BRONZE	uncorroborated	802	11318
rxn13747	L-threonine transp or t out via proton antip or t		Group contribution	0.0000	1.1700	=	1.9775	0.6581	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13748	Trimethylamine N-oxide reductase (ubiquinol 8)		Group contribution	-38.5900	13.9600	>	3.6940	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13758	L-ascorbate transport via PEP:Pyr PTS		Group contribution	-9.1100	3.1700	=	2.6883	0.6225	0.0994	0.2650	2	True	BRONZE	uncorroborated	802	11318
rxn13765	Isoprene diffusion		Group contribution	0.0000	3.5100	=	2.9031	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13766	ATP synthase (three protons for one ATP)	3.6.3.14	Group contribution	6.7800	8.6600	=	3.6853	0.5594	0.0139	0.5469	3	True	BRONZE	uncorroborated	802	11318
rxn13770	rxn13770		Group contribution	10.1900	12.3600	=	3.6853	0.5594	5.4412	6.9367	2	False	BRONZE	outvoted	802	11318
rxn13771	rxn13771	1.6.3.2;1.6.3.4	Group contribution	-108.8300	24.4000	>	3.6940	0.5594	0.1168	2.2737	3	False	BRONZE	uncorroborated	802	11318
rxn13772	5-diphosphomevalonate carboxylyase	4.1.1.33	Group contribution	46.1700	1.4800	<	2.0964	0.6581	0.8472	3.8312	2	False	BRONZE	uncorroborated	802	11318
rxn13773	Isopentenyl phosphate isomerase	5.3.3.2	Group contribution	0.6600	1.5600	=	2.0964	0.6581	0.6304	0.5936	3	False	SILVER	corroborated	802	11318
rxn13774	Isoprene synthase	4.2.3.27	Group contribution	6.6600	2.8800	=	2.6883	0.6225	3.4637	2.5576	3	False	BRONZE	outvoted	802	11318
rxn13778	S-Adenosyl-L-homocysteine transporter		Group contribution	0.0000	4.3700	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13779	3,4-Dihydroxy-2-butanone 4-phosphate transporter		Group contribution	0.0000	0.9600	=	0.6516	0.9730	0.0000		1	True	GOLD	self-certain	802	11318
rxn13781	Dephospho-CoA transporter		Group contribution	0.0000	9.7900	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13787	1-hydroxyphenazine synthase	1.14.13.218	Group contribution	-95.9900	14.7100	>	3.6940	0.5594	2.8943	4.1756	3	False	BRONZE	uncorroborated	802	11318
rxn13788	1-pyrroline dehydrogenase	1.2.1.19	Group contribution	2.4800	12.3700	=	3.6853	0.5594	1.7919	3.9855	3	False	BRONZE	uncorroborated	802	11318
rxn13790	2-dehydro-D-gluconate reductase extracellular (NADPH) (irreversible)		Group contribution	6.2500	12.3900	=	3.6853	0.5594	0.7056	0.7190	2	True	BRONZE	uncorroborated	802	11318
rxn13791	2-dehydro-D-gluconate transport (irreversible)		Group contribution	0.0000	2.0900	=	2.0964	0.6581	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13794	4-Aminobutyrate transport via ABC system		Group contribution	-6.7800	8.7100	>	3.6853	0.5594	0.0139	0.5469	3	True	BRONZE	uncorroborated	802	11318
rxn13799	5mta transport irreversible, extracellular		Group contribution	0.0000	8.8200	=	3.6853	0.5594	0.0000		1	True	BRONZE	uncorroborated	802	11318
rxn13800	Aerobactin transport via ABC system		Group contribution	-6.7800	12.4400	>	3.6853	0.5594	0.0139	0.5469	3	True	BRONZE	uncorroborated	802	11318
rxn13801	(2S)-2-amino-4-deoxychorismate:L-glutamate aminotransferase	2.6.1.86	Group contribution	-7.1900	4.2300	=	3.6853	0.5594	0.7485	0.5432	3	False	SILVER	corroborated	802	11318
