rxn	name	ec	status	is_transport	n_src	birge	struct_zero	dg_GC	dg_EQ	dg_DGP	dg_openTECR	best_grade	best_source
rxn00119	ATP:UMP phosphotransferase	2.7.4.14;2.7.4.22;2.7.4.4	OK	0	3	1.764414956273013	False	9.5	-0.17	-0.48		GOLD	DGP
rxn00120	UTP phosphohydrolase	3.6.1.15;3.6.1.39;3.6.1.5	OK	0	3	0.15058441173181933	False	-6.78	-6.47	-6.7		GOLD	DGP
rxn00121	FAD nucleotidohydrolase	3.6.1.18;3.6.1.9	OK	0	3	3.5520095599304318	False	-28.31	-3.76	-10.39		SILVER	DGP
rxn00122	ATP:FMN adenylyltransferase	2.7.7.2	OK	0	3	1.1257830947517216	False	1.07	-4.76	0.43		SILVER	EQ
rxn00123	pyridoxal-5'-phosphate phosphohydrolase	3.1.3.74	OK	0	3	1.727201997452673	False	7.22	-2.58	-5.59		SILVER	EQ
rxn00124	ATP:pyridoxal 5'-phosphotransferase	2.7.1.35	OK	0	3	1.810875779600248	False	-14.0	-3.71	-1.47		SILVER	EQ
rxn00125	S-Adenosyl-L-methionine hydrolase	3.3.1.2	OK	0	2	2.325306684971377	False	-7.44	21.81	15.84		BRONZE	DGP
rxn00126	ATP:L-methionine S-adenosyltransferase	2.5.1.6	OK	0	2	0.862001576086898	False	-12.58	-28.51	-21.21		SILVER	DGP
rxn00127	S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium-forming]	4.1.1.50	OK	0	3	1.5726922577937918	False	-3.12	-6.24	-17.53		SILVER	EQ
rxn00128	S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming)	4.4.1.14	OK	0	2	0.1907790278477375	False	-3.02	4.46	-4.93		SILVER	DGP
rxn00129	S-Adenosyl-L-methionine alkyltransferase (cyclizing)	2.5.1.4	OK	0	2	0.14383340319410579	False	1.85	22.68	3.29		SILVER	DGP
rxn00130	AMP aminohydrolase	3.5.4.17;3.5.4.6	OK	0	3	1.029271896655881	False	-8.51	-7.92	-5.85		SILVER	EQ
rxn00131	AMP phosphoribohydrolase	3.2.2.4	OK	0	3	0.5997041754187272	False	-0.73	-3.94	-4.18	-3.093929254302103	GOLD	openTECR
rxn00132	Adenosine 5'-monophosphate phosphohydrolase	3.1.3.5	OK	0	3	1.8993601286016557	False	7.22	-3.53	-3.27	-3.1512906309751436	GOLD	openTECR
rxn00133	P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase	3.6.1.17;3.6.1.61	OK	0	3	1.5292378389171448	False	-18.81	-8.12	-6.51		SILVER	EQ
