CHEBI_132067	KTJVOVFOUDDZLQ-UDZUBBEJSA-M
CHEBI_132068	LUBTVGBPYONJJZ-ZYWZSPIWSA-M
CHEBI_132070	URDQSJSEGRMOIT-FDMWOPBLSA-M
CHEBI_132071	ZECSOKFEQQDUCP-GDYZQIPQSA-M
CHEBI_132072	JKUDIEXTAYKJNX-DOFZRALJSA-M
CHEBI_132073	NZGFEPPUQFZWCS-DJNHXDDZSA-M
CHEBI_132074	HEDNIHSKHKFUON-RTYQQCFVSA-M
CHEBI_132075	OFKDGLASQWCAIZ-YLIHFPLRSA-M
CHEBI_132076	BBMKNIXRDCQCME-RQYADBJFSA-M
CHEBI_132077	PYTWJSOUEZSBDS-KWECEVBASA-M
CHEBI_132078	MGNPEOZYWFYMNH-ORLNMRMGSA-M
CHEBI_132079	OIWTWACQMDFHJG-CCFUIAGSSA-M
CHEBI_132080	LUPPRXHPUZNWES-BZRROHBCSA-M
CHEBI_132081	UKRCOMRGFCFHQM-VPHBCXEASA-M
CHEBI_132083	LRWYBGFSVUBWMO-OKIFYYRFSA-M
CHEBI_132087	WLKCSMCLEKGITB-DBVSHIMFSA-M
CHEBI_132091	JIOJPWROWDJRKM-SFHVADPASA-M
CHEBI_132111	JMSVCTWVEWCHDZ-UHFFFAOYSA-M
CHEBI_132114	ITVFJXYJMFKBES-ACMLXWNCSA-K
CHEBI_132115	LPADIYKTUSHKJJ-ACMLXWNCSA-J
CHEBI_132127	SGTUOBURCVMACZ-SEVPPISGSA-M
CHEBI_132129	SGTUOBURCVMACZ-JQGBYENFSA-M
CHEBI_132139	OWHGXOODGNBQRG-SSDOTTSWSA-M
CHEBI_132149	ANOICLBSJIMQTA-WXGBOJPQSA-M
CHEBI_132151	DLGJWSVWTWEWBJ-ZDLRKIOHSA-M
CHEBI_132173	XEMSPUZLYVPKPX-SHGBQBHBSA-N
CHEBI_132174	UUCCUHBMBRNBLG-RDRPKIEGSA-L
CHEBI_132183	OTEACGAEDCIMBS-NOTSHUFBSA-I
CHEBI_132200	JHBHHPKTNQAMGQ-MHUJEVIJSA-L
CHEBI_132201	WLMZMBKVRPUYIG-CHDPIHKSSA-M
CHEBI_132210	CALMUTCFVFZDOC-BHUBDZAQSA-L
CHEBI_132211	VALAJJHDWQFMQN-YLMGTMOPSA-K
CHEBI_132218	JIOJPWROWDJRKM-NNQKPOSRSA-M
CHEBI_132219	ZPAJZAMPZXISSE-SIPVSCHGSA-M
CHEBI_132246	XWCYDHJOKKGVHC-OVSJKPMPSA-N
CHEBI_132255	QJDNHGXNNRLIGA-DOFZRALJSA-N
CHEBI_132256	NTJHTZJPDOWXMN-DOFZRALJSA-N
CHEBI_132259	IOELQUUUYMBPSA-RMWYGNQTSA-N
CHEBI_132278	UURNKRUZAWHJOR-SDHSZQHLSA-N
CHEBI_132280	UURNKRUZAWHJOR-DSNGMDLFSA-N
CHEBI_132285	LXMIXPWDURHZGB-SQRAKKIQSA-N
CHEBI_132286	AWUQKIQOTXHCGE-VVBBKONWSA-N
CHEBI_132296	KWGRBVOPPLSCSI-WCBMZHEXSA-O
CHEBI_132358	LUWKGSHFDJJDAJ-LOVVWNRFSA-N
CHEBI_132450	NJDYXCXZPKNDPR-ABMRICDRSA-N
CHEBI_132727	FWVRSACGGAUWNP-BWOONYPSSA-N
CHEBI_132734	WBDQDVXPSGTJAV-UHFFFAOYSA-M
CHEBI_132737	OJQSYBOSDDVFNO-LXGOIASLSA-M
CHEBI_132749	PQECCKIOFCWGRJ-HNNXBMFYSA-N
CHEBI_132750	MSXVEPNJUHWQHW-UHFFFAOYSA-N
CHEBI_132752	HNVRRHSXBLFLIG-UHFFFAOYSA-N
CHEBI_132946	ITRSBJZNLOYNNR-WZZMXTMRSA-I
CHEBI_132977	KJGXHAKCKWIECY-FMNMLSRDSA-J
CHEBI_132978	XXRCPHNWDYEHBJ-UCJRQDITSA-J
CHEBI_132987	XUHLIQGRKRUKPH-DYEAUMGKSA-N
CHEBI_133000	DIJBBUIOWGGQOP-QGVNFLHTSA-M
CHEBI_133003	ZMITXKRGXGRMKS-HLUDHZFRSA-M
CHEBI_133011	IWVCMVBTMGNXQD-PXOLEDIWSA-N
CHEBI_133012	ROBBXUWFDJWPEM-VIWJHOEESA-N
CHEBI_133039	ZJDQJGJPYGJSGW-UHFFFAOYSA-N
CHEBI_133069	VCEHWDBVPZFHAG-POFDKVPJSA-O
CHEBI_133084	QXCRWNZYEVOQMB-CDIPTNKSSA-M
CHEBI_133105	KWYNDVHEQWYGIL-KHOSGYARSA-M
CHEBI_133132	CBOMORHDRONZRN-QLOYDKTKSA-M
CHEBI_133133	LRRNKTJTXRCNJX-SAMSIYEGSA-M
CHEBI_133134	PVTQTOGPOPGQGE-SAMSIYEGSA-M
CHEBI_133309	SJVWVCVZWMJXOK-NOJHDUNKSA-M
CHEBI_133319	AHHXLFNPCWCNQF-WWIKSGRJSA-M
CHEBI_133345	ZUOCVLADVGGUGH-OVMCANAPSA-M
CHEBI_133346	CZWPUWRHQBAXJS-RBQYXHKQSA-M
CHEBI_133367	IKFAUGXNBOBQDM-XFMPMKITSA-M
CHEBI_133368	KPRHYAOSTOHNQA-NNQKPOSRSA-M
CHEBI_133370	MYHXHCUNDDAEOZ-FOSBLDSVSA-M
CHEBI_133374	VKTIONYPMSCHQI-XAGFEHLVSA-M
CHEBI_133391	PRFXRIUZNKLRHM-HKVRTXJWSA-M
CHEBI_133392	CMBOTAQMTNMTBD-KLASNZEFSA-M
CHEBI_133393	YBHMPNRDOVPQIN-VSOYFRJCSA-M
