cpd02720	C9H16N4O9P	C9H15N4O9P
cpd02721	C6H9O9P	C6H8O9P
cpd02730	C8H13O11P	C8H12O11P
cpd02740	C10H13N5O20P5	C10H12N5O20P5
cpd02760	C12H22O14P	C12H21O14P
cpd02762	C35H33N4O4Mg	C35H33N4O4.Mg
cpd02775	C6H9N3O4P	C6H8N3O4P
cpd02791	C6H12O7PS	C6H11O7PS
cpd02817	C11H20NO7PS	C11H20NO6PS
cpd02826	C8H16N3O8P	C8H15N3O8P
cpd02843	C6H10N2O6P	C6H9N2O6P
cpd02851	C9H14N4O8P	C9H13N4O8P
cpd02857	C7H11O10P	C7H10O10P
cpd02884	C10H14N4O9P	C10H13N4O9P
cpd02893	C9H13N3O9P	C9H12N3O9P
cpd02904	C14H18N2O7P	C14H17N2O7P
cpd02921	C13H16N4O12P	C12H18N5O9P
cpd02930	C34H65NO12P	C34H64NO12P
cpd02935	C13H23NO10PS3	C13H22NO10PS3
cpd02979	C15H23N5O15P2	C15H21N5O15P2
cpd02991	C15H23N5O15P2	C15H22N5O15P2
cpd02993	C68H128N2O23P2	C68H126N2O23P2
cpd03002	C68H128N2O20P	C68H127N2O20P
cpd03078	HO3PSe	H2O3PSe
cpd03113	C37H63N7O18P3S	C37H62N7O18P3S
cpd03114	C37H61N7O18P3S	C37H60N7O18P3S
cpd03115	C35H59N7O18P3S	C35H58N7O18P3S
cpd03116	C33H55N7O18P3S	C33H54N7O18P3S
cpd03117	C33H53N7O18P3S	C33H52N7O18P3S
cpd03118	C31H51N7O18P3S	C31H50N7O18P3S
cpd03119	C31H49N7O18P3S	C31H48N7O18P3S
cpd03120	C29H47N7O18P3S	C29H46N7O18P3S
cpd03121	C29H45N7O18P3S	C29H44N7O18P3S
cpd03122	C27H43N7O18P3S	C27H42N7O18P3S
cpd03123	C27H41N7O18P3S	C27H40N7O18P3S
cpd03124	C27H43N7O17P3S	C27H42N7O17P3S
cpd03125	C27H41N7O17P3S	C27H40N7O17P3S
cpd03126	C37H61N7O17P3S	C37H60N7O17P3S
cpd03127	C35H57N7O17P3S	C35H56N7O17P3S
cpd03128	C31H51N7O17P3S	C31H50N7O17P3S
cpd03129	C31H49N7O17P3S	C31H48N7O17P3S
cpd03130	C29H45N7O17P3S	C29H44N7O17P3S
cpd03148	C55H71N4O5Mg	C55H72N4O5.Mg
cpd03194	C12H22O14P	C12H21O14P
cpd03420	C43H44N4O16	C43H43N4O16
cpd03421	C45H53CoN4O14	C45H55N4O14.Co
cpd03422	C48H73CoN11O8	C48H75N11O8.Co
cpd03424	C61H86CoN13O14PR	C62H88CoN13O14PR
cpd03449	C48H71O4	C48H72O4
cpd03454	C9H13N3O8P	C9H12N3O8P
cpd03521	C9H13N5O7P	C9H12N5O7P
cpd03527	C6H14N4O3	C6H15N4O3
cpd03572	C25H39N7O18P3S	C25H38N7O18P3S
cpd03583	C6H12O9P	C6H11O9P
cpd03585	C76H139N2O30P2	C76H137N2O30P2
cpd03586	C84H150N2O37P2	C84H148N2O37P2
cpd03587	C110H198N2O39P2	C110H196N2O39P2
cpd03606	C4H5O8P	C4H4O8P
cpd03607	C4H9NO7P	C4H8NO7P
cpd03671	C6H14NO8P	C6H13NO8P
cpd03697	C12H16O10P	C12H15O10P
cpd03698	C13H18O10P	C13H17O10P
cpd03701	C10H13N5O8P	C10H12N5O8P
cpd03704	C10H12N4O7P	C10H11N4O7P
cpd03724	C27H45FeN9O12	C27H42N9O12.Fe
cpd03725	C12H22FeO14	C12H10FeO14
cpd03736	C96H172N2O38P2	C96H170N2O38P2
cpd03752	C6H14O9P	C6H13O9P
cpd03832	C45H54N4O14	C45H56N4O14
cpd03861	C5H10O8P	C5H9O8P
cpd03913	C45H58N6O12	C45H60N6O12
cpd03914	C45H57CoN6O12	C45H59N6O12.Co
cpd03915	C45H57CoN6O12	C45H59N6O12.Co
cpd03916	C55H69CoN11O15	C45H59N6O12.C10H12N5O3.Co
cpd03917	C55H77CoN15O11	C45H67N10O8.C10H12N5O3.Co
cpd03918	C58H85CoN16O11	C48H75N11O8.C10H12N5O3.Co
cpd03919	C58H84CoN16O14P	C48H74N11O11P.C10H12N5O3.Co
cpd03920	C68H96CoN21O21P2	C58H85N16O18P2.C10H12N5O3.Co
cpd04097	Pb	Pb.H2
cpd04098	H3O3As	AsH2O3
cpd04539	C4H7NO7P	C4H6NO7P
cpd04918	C7H14O10P	C7H13O10P
cpd04920	C7H14O10P	C7H13O10P
cpd06227	C24H27N8O9	C19H23N7O6(C5H7NO3)n
cpd07946	C25H39N7O18P3S	C25H38N7O18P3S
cpd08286	C5H12O7P	C5H11O7P
cpd08288	C14H23N3O17P3	C14H22N3O17P3
cpd08289	C5H10O7P	C5H9O7P
cpd08316	C7H14O13P2	C7H12O13P2
cpd08366	C3H4O9PS	C3H3O9PS
cpd08368	C42H40CoN4O16	C42H36N4O16.Co
cpd08369	C43H42CoN4O16	C43H41N4O16.Co
cpd08370	C44H44CoN4O16	C44H44N4O16.Co
cpd08371	C45H47CoN4O16	C45H46N4O16.Co
cpd08372	C44H46CoN4O16	C44H46N4O16.Co
cpd08373	C44H48CoN4O16	C44H48N4O16.Co
cpd08375	C45H53CoN4O14	C45H53N4O14.Co
cpd08449	C3H8NO5P	C3H7NO5P
cpd08629	C35H33N4O5Mg	C35H33N4O5.Mg
cpd08630	C35H31N4O5Mg	C35H31N4O5.Mg
cpd08631	C35H28N4O5Mg	C35H28N4O5.Mg
cpd08632	C35H31N4O5Mg	C35H30N4O5.Mg
cpd08928	C4H9NO6P	C4H8NO6P
cpd09350	C8H12NO8P	C8H11NO8P
cpd09444	C4H12NO4P	C4H11NO4P
cpd09819	C36H44N7O19P3S	C36H43N7O19P3S
cpd09844	C27H40N7O20P3S	C27H39N7O20P3S
cpd10596	C6H9O10P	C6H8O10P
cpd11217	C32H39N7O19P3S	C32H38N7O19P3S
cpd11225	C4H8O6P	C4H7O6P
cpd11255	C6H9O3S	C6H10O3S
cpd11295	C6H10O6PS	C6H9O6PS
cpd11313	C49H56FeN4O5	C49H56N4O5.Fe
cpd11420	C6H7NO2R2S2	C10H12N4O4R4S2
cpd11421	C6H9NO2R2S2	C10H14N4O4R4S2
cpd11430	C14H27O2	unknown
cpd11431	C17H33O2	unknown
cpd11433	C17H33O2	unknown
cpd11436	C15H29O2	unknown
cpd11438	C15H29O2	unknown
cpd11440	C16H31O2	unknown
cpd11451	C46H66O2	C16H16O2(C5H8)n
cpd11459	C420H692N30O391P30	unknown
cpd11464	C15H27N2O8PRS	C4H7ORS
