cpd14818		C50H81N14O14S
cpd09616	C19H19N5	C19H20N5
cpd17131	C32H64O3	C32H63O3
cpd12266	C6H11NO5*2	(C6H11NO5)n
cpd17133	C16H28O2	C16H27O2
cpd17132	C19H38O2	C19H37O2
cpd17135	C42H40O19	C42H39O19
cpd09615	C7H10O2Br	C7H10BrO2
cpd17136	C42H40O19	C42H39O19
cpd09203	C10H17NO2	C10H18NO2
cpd07427	C16H10O7	C16H9O7
cpd17421	C12H22O5S	C12H20O5S
cpd10739	C15H14NCl	C15H14ClN
cpd05420	C18H19NO4	C18H20NO4
cpd07428	C20H18O5	C20H17O5
cpd15817	C45H94NO7P	C45H94O7N1P1
cpd17429	C8H9NO2S	C8H8NO2S
cpd18027	C21H32O5S	C21H31O5S
cpd07208	C20H31NO7	C20H32NO7
cpd02509	C59H86CoN13O15P	C60H87N13O15P.Co
cpd09758	C17H15N7O8S4	C17H15N7Na2O8S4
cpd12931	C11H28N5OCl	((C8H23N5)mon.(C3H5ClO)mon)co
cpd16392	C23H26NO9	C23H27NO9
cpd07751	C9H15NO	C9H16NO
cpd07752	C8H13NO2	C8H14NO2
cpd16391	C24H28NO9	C24H29NO9
cpd07754	C13H21NO2	C13H22NO2
cpd07755	C13H23NO3	C13H24NO3
cpd09762	C15H14N2O6S2	C15H14N2Na2O6S2
cpd00849	C15H8O13S2	C15H7O13S2
cpd04911	C15H14N3O3F	C15H14FN3O3
cpd02140	C8H14N3O7P	C8H13N3O7P
cpd03055	C5H5N2O3	C5H4N2O3
cpd02147	C4H7O8P	C4H6O8P
cpd06336	C40H46N2O8	C40H47N2O8
cpd06339	C21H23NO5	C21H24NO5
cpd02148	C4H8O7P	C4H7O7P
cpd09754	Na	C8H10NNaO5S
cpd08997	C2FeN2	C2N2.Fe
cpd13384	C11H16O19P3R2	C11H19O19P3R2
cpd13385	C11H16O16P2R2	C11H18O16P2R2
cpd12899	C15H21N5O13P2*2	(C15H21N5O13P2)n
cpd13383	C11H16O19P3R2	C11H19O19P3R2
cpd13380	C4H6O2*2	(C4H6O2)n
cpd13381	C4H6O2*2	(C4H6O2)x
cpd08948	C17H19NO3	C17H20NO3
cpd12894		noformula
cpd12897	C32H42O14	C32H41O14
cpd12723		C5H5O5
