ID	AraCyc	EcoCyc	KEGG	MetaCyc	PlantCyc
rxn00117	Biosynthesis|Nucleotide-Biosynthesis|PWY-5687|PWY0-162|PYR-NUC-SYN|Pyrimid-Ribonucleot-De-Novo-Biosyn|Pyrimidine-De-Novo-Biosyn	Biosynthesis|Nucleotide-Biosynthesis|PWY-5687-1|PYR-NUC-SYN	rn00240	Biosynthesis|Nucleotide-Biosynthesis|PRPP-PWY|PWY-5687|PWY0-162|PYR-NUC-SYN|Pyrimidine-De-Novo-Biosyn	Biosynthesis|Nucleotide-Biosynthesis|PWY-5687|PWY0-162|PYR-NUC-SYN|Pyrimidine-De-Novo-Biosyn
rxn00118	null	null	rn00240	null	null
rxn00119	Biosynthesis|Nucleotide-Biosynthesis|PWY-5687|PWY0-162|PYR-NUC-SYN|Pyrimid-Ribonucleot-De-Novo-Biosyn|Pyrimidine-De-Novo-Biosyn	Biosynthesis|Nucleotide-Biosynthesis|PWY-5687-1|PYR-NUC-SYN	rn00240	Biosynthesis|Metabolic-Clusters|Nucleotide-Biosynthesis|P1-PWY|PRPP-PWY|PUR-NUC-SYN|PWY-5687|PWY0-162|PYR-NUC-SYN|Purine-Nucleotides-Salvage|Pyrimidine-De-Novo-Biosyn	Biosynthesis|Nucleotide-Biosynthesis|PWY-5687|PWY0-162|PYR-NUC-SYN|Pyrimidine-De-Novo-Biosyn
rxn00120	Biosynthesis|Nucleotide-Biosynthesis|PWY-5687|PWY0-162|PYR-NUC-SYN|Pyrimid-Ribonucleot-De-Novo-Biosyn|Pyrimidine-De-Novo-Biosyn	null	rn00240	Biosynthesis|Nucleotide-Biosynthesis|PRPP-PWY|PWY-5687|PWY0-162|PYR-NUC-SYN|Pyrimidine-De-Novo-Biosyn	Biosynthesis|Nucleotide-Biosynthesis|PWY-5687|PWY0-162|PYR-NUC-SYN|Pyrimidine-De-Novo-Biosyn
rxn00121	null	null	rn00740	null	null
rxn00122	Biosynthesis|Cofactor-Biosynthesis|Flavin-Biosynthesis|RIBOSYN2-PWY|Vitamin-Biosynthesis	Biosynthesis|Cofactor-Biosynthesis|Flavin-Biosynthesis|RIBOSYN2-PWY|Vitamin-Biosynthesis	rn00740	Biosynthesis|Cofactor-Biosynthesis|Flavin-Biosynthesis|PWY-6167|PWY-6168|PWY66-366|RIBOSYN2-PWY|Vitamin-Biosynthesis	Biosynthesis|Cofactor-Biosynthesis|Flavin-Biosynthesis|RIBOSYN2-PWY|Vitamin-Biosynthesis
rxn00123	null	null	rn00750	null	null
rxn00124	Biosynthesis|Cofactor-Biosynthesis|PLPSAL-PWY|Vitamin-B6-Biosynthesis|Vitamin-Biosynthesis	Biosynthesis|Cofactor-Biosynthesis|PLPSAL-PWY|PWY0-845|Vitamin-B6-Biosynthesis|Vitamin-Biosynthesis	rn00750	Biosynthesis|Cofactor-Biosynthesis|PLPSAL-PWY|PWY0-845|Vitamin-B6-Biosynthesis|Vitamin-Biosynthesis	Biosynthesis|Cofactor-Biosynthesis|PLPSAL-PWY|Vitamin-B6-Biosynthesis|Vitamin-Biosynthesis
rxn00126	Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Cofactor-Biosynthesis|Degradation|ETHYL-PWY|Ethylene-Biosynthesis|HORMONE-SYN|IND-AMINO-ACID-SYN|METHIONINE-DEG|METHIONINE-DEG1-PWY|METHIONINE-SYN|PWY-5041|Plant-Hormone-Biosynthesis|S-adenosyl-L-methionine-cycle|SAM-PWY	Amino-Acid-Biosynthesis|Biosynthesis|Cofactor-Biosynthesis|IND-AMINO-ACID-SYN|MET-SAM-PWY|METHIONINE-SYN|PWY-6151|PWY0-781|S-adenosyl-L-methionine-cycle|SAM-PWY	rn00270	Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|CYSTEINE-SYN|Cofactor-Biosynthesis|Degradation|ETHYL-PWY|Ethylene-Biosynthesis|HORMONE-SYN|IND-AMINO-ACID-SYN|MET-SAM-PWY|METHIONINE-DEG|METHIONINE-DEG1-PWY|METHIONINE-SYN|PWY-5041|PWY-5328|PWY-5912|PWY-6151|PWY-6292|PWY0-781|Plant-Hormone-Biosynthesis|S-adenosyl-L-methionine-cycle|SAM-PWY|Siderophores-Biosynthesis	Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Cofactor-Biosynthesis|Degradation|ETHYL-PWY|Ethylene-Biosynthesis|HORMONE-SYN|IND-AMINO-ACID-SYN|METHIONINE-DEG|METHIONINE-DEG1-PWY|METHIONINE-SYN|PWY-4361-ARA|PWY-5041|PWY-5912|Plant-Hormone-Biosynthesis|S-adenosyl-L-methionine-cycle|SAM-PWY|Siderophores-Biosynthesis
rxn00127	ARGSPECAT-PWY|BSUBPOLYAMSYN-PWY|Biosynthesis|POLYAMINSYN3-PWY|PWYQT-94|Polyamine-Biosynthesis|Spermidine-Biosynthesis	ARG+POLYAMINE-SYN|BSUBPOLYAMSYN-PWY|Biosynthesis|POLYAMSYN-PWY|Polyamine-Biosynthesis|Spermidine-Biosynthesis	rn00270|rn00330	ARG+POLYAMINE-SYN|ARGSPECAT-PWY|BSUBPOLYAMSYN-PWY|Biosynthesis|POLYAMINSYN3-PWY|POLYAMSYN-PWY|PWY-6834|Polyamine-Biosynthesis|Spermidine-Biosynthesis	ARGSPECAT-PWY|BSUBPOLYAMSYN-PWY|Biosynthesis|POLYAMINSYN3-PWY|PWYQT-94|Polyamine-Biosynthesis|Spermidine-Biosynthesis
