id	formula_src	charge_src	inchikey_src	smiles_src	pka_src	pkb_src	deltag_method	deltag_used_src	deltag_gc_src	deltag_eq_src
cpd37788	ChEBI:138052	ChEBI:138052		ChEBI:138052						
cpd37789	ChEBI:138053	ChEBI:138053		ChEBI:138053						
cpd37790	ChEBI:138056	ChEBI:138056	ChEBI:138056	ChEBI:138056						
cpd37791	ChEBI:138057	ChEBI:138057		ChEBI:138057						
cpd37792	ChEBI:138058	ChEBI:138058		ChEBI:138058						
cpd37793	ChEBI:138061	ChEBI:138061		ChEBI:138061						
cpd37794	ChEBI:138062	ChEBI:138062		ChEBI:138062						
cpd37795	ChEBI:138063	ChEBI:138063	ChEBI:138063	ChEBI:138063						
cpd37796	ChEBI:138067@Charged	ChEBI:138067@Charged		ChEBI:138067@Charged						
cpd37797	ChEBI:138075	ChEBI:138075		ChEBI:138075						
cpd37798	ChEBI:138078@Charged	ChEBI:138078@Charged		ChEBI:138078@Charged						
cpd37799	ChEBI:138079@Charged	ChEBI:138079@Charged		ChEBI:138079@Charged						
cpd37800	ChEBI:138087	ChEBI:138087		ChEBI:138087						
cpd37801	ChEBI:138098	ChEBI:138098	ChEBI:138098	ChEBI:138098						
cpd37802	ChEBI:138099	ChEBI:138099	ChEBI:138099	ChEBI:138099						
cpd37803	ChEBI:138100	ChEBI:138100	ChEBI:138100	ChEBI:138100						
cpd37804	ChEBI:138101	ChEBI:138101	ChEBI:138101	ChEBI:138101						
cpd37805	ChEBI:138102@Charged	ChEBI:138102@Charged		ChEBI:138102@Charged						
cpd37806	MetaCyc:HIF-alpha-subunit-3S-OH-ASN@Charged;ChEBI:138107@Charged	MetaCyc:HIF-alpha-subunit-3S-OH-ASN@Charged;ChEBI:138107@Charged		MetaCyc:HIF-alpha-subunit-3S-OH-ASN@Charged;ChEBI:138107@Charged	MetaCyc:HIF-alpha-subunit-3S-OH-ASN	MetaCyc:HIF-alpha-subunit-3S-OH-ASN				
cpd37807	ChEBI:138111@Charged	ChEBI:138111@Charged		ChEBI:138111@Charged						
cpd37808	MetaCyc:Protein-threonine-adenylate@Charged;ChEBI:138113@Charged	MetaCyc:Protein-threonine-adenylate@Charged;ChEBI:138113@Charged		MetaCyc:Protein-threonine-adenylate@Charged;ChEBI:138113@Charged	MetaCyc:Protein-threonine-adenylate	MetaCyc:Protein-threonine-adenylate				
cpd37809	ChEBI:138114@Charged	ChEBI:138114@Charged		ChEBI:138114@Charged						
cpd37810	ChEBI:138141	ChEBI:138141	ChEBI:138141	ChEBI:138141						
cpd37811	ChEBI:138142	ChEBI:138142	ChEBI:138142	ChEBI:138142						
cpd37812	ChEBI:138147	ChEBI:138147		ChEBI:138147						
cpd37813	ChEBI:138148	ChEBI:138148		ChEBI:138148						
cpd37814	ChEBI:138150	ChEBI:138150	ChEBI:138150	ChEBI:138150						
cpd37815	ChEBI:138175@Charged	ChEBI:138175@Charged		ChEBI:138175@Charged						
cpd37816	ChEBI:138178@Charged	ChEBI:138178@Charged		ChEBI:138178@Charged						
cpd37817	ChEBI:138191	ChEBI:138191		ChEBI:138191						
cpd37818	ChEBI:138194	ChEBI:138194	ChEBI:138194	ChEBI:138194						
cpd37819	ChEBI:138195	ChEBI:138195	ChEBI:138195	ChEBI:138195						
cpd37820	ChEBI:138197	ChEBI:138197	ChEBI:138197	ChEBI:138197						
cpd37821	ChEBI:138198	ChEBI:138198	ChEBI:138198	ChEBI:138198						
cpd37822	ChEBI:138199	ChEBI:138199	ChEBI:138199	ChEBI:138199						
cpd37823	ChEBI:138200	ChEBI:138200	ChEBI:138200	ChEBI:138200						
cpd37824	ChEBI:138211	ChEBI:138211	ChEBI:138211	ChEBI:138211						
cpd37825	ChEBI:138212	ChEBI:138212	ChEBI:138212	ChEBI:138212						
cpd37826	ChEBI:138213	ChEBI:138213	ChEBI:138213	ChEBI:138213						
cpd37827	ChEBI:138214	ChEBI:138214	ChEBI:138214	ChEBI:138214						
cpd37828	ChEBI:138215	ChEBI:138215	ChEBI:138215	ChEBI:138215						
