id	names	formula	mass	charge	inchikey	smiles
CPD-16822	<i>N</i>-(3-phenylpropanoyl)glycine|2-(3-phenylpropanamido)acetate|phenylpropionylglycine	C11H12NO3	206.221	10000000	YEIQSAXUPKPPBN-UHFFFAOYSA-M	O=C([O-])CNC(=O)CCc1ccccc1
CPD-15332	9H-purine-2,6,8-triol|urate|uric acid	C5H4N4O3	168.112	10000000	LEHOTFFKMJEONL-UHFFFAOYSA-M	O=c1[n-]c(=O)c2[nH]c(=O)[nH]c2[nH]1
CPD-13687	1-naphthol 6'-O-malonylglucoside	C19H19O9	391.354	10000000	QNRFNDGWEROWPJ-LQDZTQBFSA-M	O=C([O-])CC(=O)OC[C@H]1O[C@@H](Oc2cccc3ccccc23)[C@H](O)[C@@H](O)[C@@H]1O
CPD-12476	2'-aminobiphenyl-2,3-diol	C12H11NO2	201.224	10000000	WPDDFIBFWKUENN-UHFFFAOYSA-N	Nc1ccccc1-c1cccc(O)c1O
CPD-18494	(6Z,9Z,12Z,15Z,18Z)-3-oxotetracosapentaenoyl-CoA|(6Z,9Z,12Z,15Z,18Z)-3-oxotetracosa-6,9,12,15,18-pentaenoyl-CoA	C45H66N7O18P3S	1118.034	10000000	UIAGUJIMVQPSDP-QOJZHLSOSA-J	CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
CPD-10484	dehypoxanthine futalosine|dehypoxanthinylfutalosine|DHFL	C14H15O7	295.268	10000000	XWPBBHHZDYSYMS-HKUMRIAESA-M	O=C([O-])c1cccc(C(=O)CC[C@H]2O[C@@H](O)[C@H](O)[C@@H]2O)c1
CIS-DIHYDRODIOL-DERIV-PHEAC	2-[(1R,6S)-1,6-dihydroxycyclohexa-2,4-dien-1-yl]acetyl-coA|<i>cis</i>-dihydrodiol derivative of phenylacetyl-CoA	C29H40N7O19P3S	915.652	10000000	FGLOXTAZEAOLJK-LEHNLPACSA-J	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@]1(O)C=CC=C[C@@H]1O
2INDANONE	2-indanone	C9H8O	132.162	10000000	UMJJFEIKYGFCAT-UHFFFAOYSA-N	O=C1Cc2ccccc2C1
S-BENZYLSUCCINYL-COA	(<i>S</i>)-benzylsuccinyl-CoA	C32H41N7O19P3S	952.693	10000000	KIRGTNPWUTXDFF-PNPVFPMQSA-I	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[C@H](CC(=O)[O-])Cc1ccccc1
CPD-25938	17-alpha-hydroxypregnenolone sulfate	C21H31O6S	411.532	10000000	OMOKWYAQVYBHMG-TVWVXWENSA-M	CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4C[C@@H](OS(=O)(=O)[O-])CC[C@]4(C)[C@H]3CC[C@@]21C
CPD-9169	2-hydroxylaminobenzoate|<i>o</i>-hydroxylaminobenzoate|2-hydroxylaminobenzoic acid|<i>o</i>-hydroxylaminobenzoic acid	C7H6NO3	152.129	10000000	JKRIWPXSEMPTNP-UHFFFAOYSA-M	O=C([O-])c1ccccc1NO
CPD-7403	<i>N</i>-cyclopropylmelamine|cypromazine|larvadex|vetrazin|vetrazine|azimethiphos|cyromazine	C6H10N6	166.185	10000000	LVQDKIWDGQRHTE-UHFFFAOYSA-O	Nc1nc(N)[nH+]c(NC2CC2)n1
CPD-22756	(2-naphtyl)methanol|2-naphthalenemethanol|2-naphtylmethanol|2-hydroxymethylnaphthalene	C11H10O	158.199	10000000	MFGWMAAZYZSWMY-UHFFFAOYSA-N	OCc1ccc2ccccc2c1
CPD-19118	2-(hydroxylamino)benzoylacetate|3-[2-(hydroxyamino)phenyl]-3-oxopropanoate	C9H8NO4	194.166	10000000	UIBMKCRZKGGRIZ-UHFFFAOYSA-M	O=C([O-])CC(=O)c1ccccc1NO
CPD-21809	pregnenolone sulfate|(3beta)-20-oxopregn-5-en-3-yl sulfate	C21H31O5S	395.533	10000000	DIJBBUIOWGGQOP-QGVNFLHTSA-M	CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OS(=O)(=O)[O-])CC[C@]4(C)[C@H]3CC[C@]12C
CPD-16721	gentisyl alcohol|2,5-dihydroxybenzyl alcohol|2-(hydroxymethyl)-1,4-benzenediol|2-(hydroxymethyl)benzene-1,4-diol	C7H8O3	140.138	10000000	PUZSUVGRVHEUQO-UHFFFAOYSA-N	OCc1cc(O)ccc1O
CPD-13683	2-naphthol glucoside|beta-naphthol glucoside	C16H18O6	306.315	10000000	MWHKPYATGMFFPI-IBEHDNSVSA-N	OC[C@H]1O[C@@H](Oc2ccc3ccccc3c2)[C@H](O)[C@@H](O)[C@@H]1O
CPD-11880	(2<i>R</i>)-2-(glutathion-<i>S</i>-yl)-3-hydroxy-1-(4-hydroxy-3-methoxyphenyl)propan-1-one|GS-HPV II|alpha-(glutathion-S-yl)-beta-hydroxypropiovanillone II	C20H26N3O10S	500.499	10000000	JVCNUEGHNWPYGP-SLEUVZQESA-M	COc1cc(C(=O)[C@@H](CO)SC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])ccc1O
CPD-10458	4-hydroxylamino-2,6-dinitrotoluene 3C-glucoside|4-HADNT C-glucoside	C13H17N3O10	375.291	10000000	PQZHEDVVKNTFII-DDSNRORXSA-N	Cc1c([N+](=O)[O-])cc(NO)c(C2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1[N+](=O)[O-]
CPD-21812	androsterone sulfate|17-oxo-5alpha-androstan-3a-yl sulfate	C19H29O5S	369.495	10000000	ZMITXKRGXGRMKS-HLUDHZFRSA-M	C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](OS(=O)(=O)[O-])CC[C@@]43C)[C@@H]1CCC2=O
BENZYLSUCCINYL-COA	(<i>R</i>)-benzylsuccinyl-CoA|benzylsuccinyl-CoA|(<i>R</i>)-2-benzylsuccinyl-CoA	C32H41N7O19P3S	952.693	10000000	KIRGTNPWUTXDFF-PDQACDDGSA-I	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[C@@H](CC(=O)[O-])Cc1ccccc1
1OXO2YLIDENE	2-hydroxy-4-(1-oxo-1,3-dihydro-2H-inden-2-ylidene) but-2-enoate|2-Hydroxy-4-(1-oxo-1,3-dihydro-2H-inden-2-ylidene) but-2-enoic acid	C13H9O4	229.212	10000000	CMOHXYLDQGLWNN-UHFFFAOYSA-M	O=C([O-])C(=O)C=CC1Cc2ccccc2C1=O
NAPHTHALENE	naphthalene	C10H8	128.173	10000000	UFWIBTONFRDIAS-UHFFFAOYSA-N	c1ccc2ccccc2c1
CPD-9146	4-hydroxylaminotoluene	C7H9NO	123.154	10000000	AGJOAIMUXIQLCN-UHFFFAOYSA-N	Cc1ccc(NO)cc1
BETA-HYDROXYANDROST-5-EN-17-ONE-3-SULFAT	3-beta-hydroxyandrost-5-en-17-one 3-sulfate	C19H27O5S	367.479	10000000	CZWCKYRVOZZJNM-USOAJAOKSA-M	C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](OS(=O)(=O)[O-])CC[C@@]43C)[C@@H]1CCC2=O
CPD-704	4-nitrobenzoate|4NBZate|4-nitrobenzoic acid|<i>p</i>-nitrobenzoic acid	C7H4NO4	166.113	10000000	OTLNPYWUJOZPPA-UHFFFAOYSA-M	O=C([O-])c1ccc([N+](=O)[O-])cc1
CPD-22636	3,5-dinitrobenzamide	C7H5N3O5	211.134	10000000	UUKWKUSGGZNXGA-UHFFFAOYSA-N	NC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
CPD-19114	(2-aminobenzoyl)acetate	C9H8NO3	178.167	10000000	POAXUNDIOGWQOC-UHFFFAOYSA-M	Nc1ccccc1C(=O)CC(=O)[O-]
CPD-16659	6-linalyl-2-O,3-dimethylflaviolin|6-(3,7-dimethylocta-1,6-dien-3-yl)-5,7-dihydroxy-2-methoxy-3-methylnaphthalene-1,4-dione	C22H26O5	370.444	10000000	VOXTWWMONIHUIK-UHFFFAOYSA-M	C=CC(C)(CCC=C(C)C)c1c([O-])cc2c(c1O)C(=O)C(C)=C(OC)C2=O
CPD-21813	testosterone sulfate|testosterone-17beta-sulfate|(17beta)-3-oxoandrost-4-en-17-yl hydrogen sulfate	C19H27O5S	367.479	10000000	WAQBISPOEAOCOG-DYKIIFRCSA-M	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2OS(=O)(=O)[O-]
CPD-1422	1,4-dimethylbenzene|<i>para</i>-xylene|<i>p</i>-xylene	C8H10	106.167	10000000	URLKBWYHVLBVBO-UHFFFAOYSA-N	Cc1ccc(C)cc1
CPD-13324	6-amino-6-deoxyfutalosine|aminodeoxyfutalosinate	C19H18N5O6	412.381	10000000	JSTYUEOJPRFLHR-SCFUHWHPSA-M	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CCC(=O)c2cccc(C(=O)[O-])c2)[C@@H](O)[C@H]1O
CPD-11419	cyclic dehypoxanthine futalosine|cyclic dehypoxanthinylfutalosine|cyclic DHFL	C14H13O7	293.252	10000000	BAUPPZJHTWBQAS-ZZWXXDIBSA-M	O=C([O-])c1ccc2c(c1)C(=O)CC[C@@]21OC(O)[C@H](O)[C@@H]1O
CPD-10455	4-amino-2,6-dinitrotoluene	C7H8N3O4	198.158	10000000	KQRJATLINVYHEZ-UHFFFAOYSA-N	Cc1c([N+](=O)[O-])cc(N)cc1[N+](=O)[O-]
CPD-21802	cholesterol sulfate|cholesteryl sulfate|cholesterol 3-sulfate|cholesteryl 3-sulfate|cholest-5-en-3beta-yl hydrogen sulfate	C27H45O4S	465.71	10000000	BHYOQNUELFTYRT-DPAQBDIFSA-M	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OS(=O)(=O)[O-])CC[C@]4(C)[C@H]3CC[C@@]21C
BENZENE	benzene|benzol|benzole	C6H6	78.113	10000000	UHOVQNZJYSORNB-UHFFFAOYSA-N	c1ccccc1
1-INDANONE	indan-1-one|1-indanone|hydrindone|1H-Inden-1-one, 2,3-dihydro-|indanone	C9H8O	132.162	10000000	QNXSIUBBGPHDDE-UHFFFAOYSA-N	O=C1CCc2ccccc21
ISOMETHYLEUGENOL	isomethyleugenol	C11H14O2	178.23	10000000	NNWHUJCUHAELCL-SNAWJCMRSA-N	C/C=C/c1ccc(OC)c(OC)c1
CPD-9138	2,4,6-trinitrotoluene|TNT	C7H5N3O6	227.133	10000000	SPSSULHKWOKEEL-UHFFFAOYSA-N	Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-]
CPD2G6Z-4	lipid A-core oligosaccharide (<i>Vibrio cholerae</i> serogroup O1)	C150H266N3O78P3	3452.646	10000000	VLOMCFAMPXAZTQ-ZHNZPHDHSA-H	CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)N[C@H]1[C@H](OC[C@H]2O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCC)[C@@H]2O)O[C@H](CO[C@]2(C(=O)[O-])C[C@@H](OP(=O)([O-])[O-])[C@@H](O[C@H]3O[C@H]([C@H](CO)O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H](O[C@@H]4O[C@H](CO[C@]5(CO)O[C@H](CO)[C@@H](O)[C@@H]5O)[C@@H](O)[C@H](O)[C@H]4O)[C@H](O[C@@H]4O[C@H]([C@@H](CO)O[C@@H]5O[C@@H]([C@H](O)CO)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)C[C@@H]4O[C@H]4O[C@H]([C@@H](O)COC5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5[NH3+])[C@@H](O)[C@H](O)[C@@H]4O)[C@@H]3O)[C@@H]([C@H](O)CO)O2)[C@@H](OP(=O)([O-])[O-])[C@@H]1OC(=O)C[C@@H](CCCCCCCCC)OC(=O)C[C@H](O)CCCCCCCCC
CPD-6421	methylcinnamate	C10H10O2	162.188	10000000	CCRCUPLGCSFEDV-BQYQJAHWSA-N	COC(=O)/C=C/c1ccccc1
CPD-21839	1,3,5-trimethylbenzene|mesitylene	C9H12	120.194	10000000	AUHZEENZYGFFBQ-UHFFFAOYSA-N	Cc1cc(C)cc(C)c1
CPD-18110	3,4-dinitrotoluene|3,4-DNT	C7H6N2O4	182.135	10000000	INYDMNPNDHRJQJ-UHFFFAOYSA-N	Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1
CPD-16656	3-linalylflaviolin|2,5,7-trihydroxy-3-(3,7-dimethylocta-1,6-dien-3-yl)naphthalene-1,4-dione	C20H22O5	342.391	10000000	YLXGIQYXMIHMOL-UHFFFAOYSA-M	C=CC(C)(CCC=C(C)C)C1=C([O-])C(=O)c2cc(O)cc(O)c2C1=O
CPD0-1151	lipid A-core 1-diphosphate	C162H282N2O92P5	3884.837	10000000	IZUALNRLWYNVNR-UUAFBPCQSA-D	CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)([O-])[O-])[C@@H](CO[C@]2(C(=O)[O-])C[C@@H](O[C@]3(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](O[C@H]3O[C@H]([C@@H](O)CO)[C@@H](OP(=O)([O-])[O-])[C@H](O[C@@H]4O[C@H]([C@H](O)CO[C@H]5O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]5O)[C@@H](OP(=O)([O-])[O-])[C@H](O[C@H]5O[C@H](CO[C@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)[C@@H](O)[C@H](O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@H]6O[C@H](CO[C@H]7O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]7O)[C@@H](O)[C@H](O)[C@H]6O)[C@H]5O)[C@@H]4O)[C@@H]3O)[C@@H]([C@H](O)CO)O2)O[C@@H](OC[C@H]2O[C@H](OP(=O)([O-])OP(=O)([O-])O)[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC
CPD-14171	2-<i>sec</i>-butylphenol|2-(1-methylpropyl)phenol|2-(2-butyl)phenol|2-(butan-2-yl)phenol|<i>o-sec</i>-butylphenol	C10H14O	150.22	10000000	NGFPWHGISWUQOI-UHFFFAOYSA-N	CCC(C)c1ccccc1O
CPD-13173	salicortin|beta-D-glucopyranoside, 2-[[[(1-hydroxy-6-oxo-2-cyclohexen-1-yl)carbonyl]oxy]methyl]phenyl	C20H24O10	424.404	10000000	CZDNLUMNELLDDD-QZFWYPLZSA-N	O=C1CCC=CC1(O)C(=O)OCc1ccccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
CPD-10680	3,3'-biflaviolin|3,3',6,6',8,8'-hexahydroxy-2,2'-binaphthalene-1,1',4,4'-tetraone	C20H8O10	408.277	10000000	BOTAUFAPLHBVEQ-UHFFFAOYSA-K	O=C1C(=O)c2cc([O-])cc(O)c2C(=O)C1=C1C(=O)c2c(O)cc([O-])cc2C([O-])=C1O
4H9FLUORENONE	4-hydroxy-9-fluorenone	C13H8O2	196.205	10000000	OZLKIIAMQWXVKQ-UHFFFAOYSA-N	O=C1c2ccccc2-c2c(O)cccc21
CPD-21537	lipid A-core oligosaccharide (<i>Salmonella typhimurium</i>)|core oligosaccharide-lipid A (<i>Salmonella typhimurium</i>)	C163H283N3O88P4	3816.891	10000000	IVXQMJFHNMCXLB-JVFDMLFBSA-D	CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)([O-])[O-])[C@@H](CO[C@]2(C(=O)[O-])C[C@@H](O[C@]3(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](O[C@H]3O[C@H]([C@@H](O)CO)[C@@H](OP(=O)([O-])[O-])[C@H](O[C@@H]4O[C@H]([C@H](O)CO[C@H]5O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]5O)[C@@H](OP(=O)([O-])[O-])[C@H](O[C@H]5O[C@H](CO[C@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)[C@@H](O)[C@H](O[C@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O[C@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6NC(C)=O)[C@H]5O)[C@@H]4O)[C@@H]3O)[C@@H]([C@H](O)CO)O2)O[C@@H](OC[C@H]2O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC
ETHYLBENZENE	ethylbenzene	C8H10	106.167	10000000	YNQLUTRBYVCPMQ-UHFFFAOYSA-N	CCc1ccccc1
CPD-9132	2,4-dinitrotoluene|2,4-DNT	C7H6N2O4	182.135	10000000	RMBFBMJGBANMMK-UHFFFAOYSA-N	Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
CPD-25038	hematommoyl aldehyde|haematommoyl aldehyde	C9H7O5	195.151	10000000	KCOOTJRKKIDHTM-UHFFFAOYSA-M	Cc1cc(O)c(C=O)c(O)c1C(=O)[O-]
CPD-21054	<i>N</i>-acetyl-5-aminosalicylate|5-acetamido-2-hydroxybenzoate|<i>N</i>-acetyl-5-aminosalicylic acid|5-acetamido-2-hydroxybenzoic acid|<i>N</i>-acetylmesalazine	C9H8NO4	194.166	10000000	GEFDRROBUCULOD-UHFFFAOYSA-M	CC(=O)Nc1ccc(O)c(C(=O)[O-])c1
CPD-21356	lipid A-core oligosaccharide (<i>E. coli</i> R3 core type)|core oligosaccharide-lipid A (<i>E. coli</i> R3 core type)	C163H283N3O88P4	3816.891	10000000	ODFIORWVKWLISI-FOYAPYCFSA-D	CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)([O-])[O-])[C@@H](CO[C@]2(C(=O)[O-])C[C@@H](O[C@]3(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](O[C@H]3O[C@H]([C@@H](O)CO)[C@@H](OP(=O)([O-])[O-])[C@H](O[C@@H]4O[C@H]([C@H](O)CO[C@H]5O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]5O)[C@@H](OP(=O)([O-])[O-])[C@H](O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O[C@H]6O[C@H](CO)[C@H](O)[C@H](O[C@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7NC(C)=O)[C@H]6O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H]5O)[C@@H]4O)[C@@H]3O)[C@@H]([C@H](O)CO)O2)O[C@@H](OC[C@H]2O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC
CPD-17569	4-hydroxy-2-nitrophenol	C6H4NO4	154.102	10000000	VIIYYMZOGKODQG-UHFFFAOYSA-N	O=[N+]([O-])c1cc(O)ccc1O
CPD-15753	2-(3,5-dihydroxyphenyl)-2-oxoacetate|(3,5-dihydroxyphenyl)(oxo)acetate|(3,5-dihydroxyphenyl)glyoxylate	C8H5O5	181.124	10000000	IXVSXZQERGYQTA-UHFFFAOYSA-M	O=C([O-])C(=O)c1cc(O)cc(O)c1
CPD-14147	2-propylphenol|<i>o</i>-propylphenol|2-n-propylphenol|1-hydroxy-2-n-propylbenzene|1-(2-hydroxyphenyl)propane	C9H12O	136.193	10000000	LCHYEKKJCUJAKN-UHFFFAOYSA-N	CCCc1ccccc1O
CPD-12812	3,3',5,5'-tetramethylbenzidine|TMB	C16H20N2	240.347	10000000	UAIUNKRWKOVEES-UHFFFAOYSA-N	Cc1cc(-c2cc(C)c(N)c(C)c2)cc(C)c1N
CPD-15242	lipid A-core oligosaccharide pyrophosphoethanolamine	C164H289N3O92P5	3929.921	10000000	XXKCSBHBCFUNLE-AUDZSQHPSA-E	CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)([O-])OP(=O)([O-])OCC[NH3+])[C@@H](CO[C@]2(C(=O)[O-])C[C@@H](O[C@]3(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](O[C@H]3O[C@H]([C@@H](O)CO)[C@@H](OP(=O)([O-])[O-])[C@H](O[C@@H]4O[C@H]([C@H](O)CO[C@H]5O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]5O)[C@@H](OP(=O)([O-])[O-])[C@H](O[C@H]5O[C@H](CO[C@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)[C@@H](O)[C@H](O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@H]6O[C@H](CO[C@H]7O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]7O)[C@@H](O)[C@H](O)[C@H]6O)[C@H]5O)[C@@H]4O)[C@@H]3O)[C@@H]([C@H](O)CO)O2)O[C@@H](OC[C@H]2O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC
CPD-10599	4-hydroxybenzoyl-acetate|<i>p</i>-hydroxybenzoyl-acetate	C9H7O4	179.152	10000000	HRXAQVGNCWFWTL-UHFFFAOYSA-M	O=C([O-])CC(=O)c1ccc(O)cc1
CPD-10448	2-hydroxylamino-4,6-dinitrotoluene-O-glucoside|2-HADNT O-glucoside	C13H17N3O10	375.291	10000000	FDHKZWGRIMCNIS-HENWMNBSSA-N	Cc1c(NOC2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc([N+](=O)[O-])cc1[N+](=O)[O-]
3-4DHFLUORENE	3,4-dihydroxyfluorene	C13H10O2	198.221	10000000	OOGFPMKHMOAMMY-UHFFFAOYSA-N	Oc1ccc2c(c1O)-c1ccccc1C2
CPD3O-4151	4-tyrosol|p-hydroxyphenylethanol|2-(4-hydroxyphenyl)ethanol	C8H10O2	138.166	10000000	YCCILVSKPBXVIP-UHFFFAOYSA-N	OCCc1ccc(O)cc1
CPD0-939	lipid A-core oligosaccharide (<i>E. coli</i> K-12 core type with D-GlcNAc)|core oligosaccharide lipid A|core oligosaccharide-lipid A (<i>E. coli</i> K-12 core type with D-GlcNAc)|core oligosaccharide-lipid A (<i>E. coli</i> K-12)|lipid A-core (<i>E. coli</i> K-12)	C170H295N3O94P4	4009.059	10000000	VRDYWCICTHFHJX-QFKNHEPOSA-D	CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)([O-])[O-])[C@@H](CO[C@]2(C(=O)[O-])C[C@@H](O[C@]3(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](O[C@H]3O[C@H]([C@@H](O)CO)[C@@H](OP(=O)([O-])[O-])[C@H](O[C@@H]4O[C@H]([C@H](O)CO[C@H]5O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]5O)[C@@H](OP(=O)([O-])[O-])[C@H](O[C@H]5O[C@H](CO[C@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)[C@@H](O)[C@H](O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@H]6O[C@H](CO[C@H]7O[C@H]([C@@H](O)CO[C@H]8O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]8NC(C)=O)[C@@H](O)[C@H](O)[C@@H]7O)[C@@H](O)[C@H](O)[C@H]6O)[C@H]5O)[C@@H]4O)[C@@H]3O)[C@@H]([C@H](O)CO)O2)O[C@@H](OC[C@H]2O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC
CPD-9016	6,8-dihydroxypurine	C5H4N4O2	152.112	10000000	BYUOBSUZYQAFJM-UHFFFAOYSA-N	O=c1[n-]c2c(=O)[nH+]c[nH]c2[nH]1
CPD-23545	2-tetralone|1,2,3,4-Tetrahydro-2-naphthalenone|beta-tetralone	C10H10O	146.188	10000000	KCKZIWSINLBROE-UHFFFAOYSA-N	O=C1CCc2ccccc2C1
CPD-19230	3-nitrobenzoate	C7H4NO4	166.113	10000000	AFPHTEQTJZKQAQ-UHFFFAOYSA-M	O=C([O-])c1cccc([N+](=O)[O-])c1
CPD-16823	2-[(3-oxo-3-phenylpropyl)amino]acetate	C11H12NO3	206.221	10000000	XHSURMJJKAFELI-UHFFFAOYSA-N	O=C([O-])C[NH2+]CCC(=O)c1ccccc1
