seed_id	reactions_blocked
cpd38188	2
cpd38191	2
cpd38239	2
cpd42835	2
cpd38265	2
cpd38266	2
cpd38267	2
cpd38264	2
cpd38263	2
cpd42842	2
cpd38271	2
cpd38274	2
cpd42851	2
cpd39795	2
cpd38198	2
cpd38326	2
cpd38330	2
cpd38337	2
cpd38339	2
cpd38634	2
cpd42861	2
cpd38358	2
cpd38357	2
cpd38356	2
cpd38368	2
cpd39625	2
cpd38364	2
cpd38369	2
cpd38370	2
cpd38374	2
cpd38375	2
cpd38382	2
cpd38383	2
cpd38384	2
cpd38385	2
cpd38386	2
cpd38414	2
cpd38418	2
cpd38430	2
cpd38435	2
cpd42898	2
cpd42894	2
cpd42893	2
cpd42891	2
cpd42892	2
cpd42900	2
cpd42904	2
cpd42908	2
cpd42909	2
cpd38453	2
cpd38454	2
cpd38477	2
cpd38490	2
cpd38491	2
cpd42926	2
cpd42927	2
cpd42936	2
cpd42939	2
cpd38516	2
cpd42183	2
cpd38548	2
cpd38564	2
cpd42963	2
cpd38582	2
cpd38604	2
cpd38608	2
cpd38632	2
cpd38663	2
cpd38662	2
cpd38741	2
cpd38745	2
cpd38774	2
cpd38775	2
cpd38778	2
cpd38787	2
cpd38789	2
cpd43042	2
cpd38887	2
cpd38886	2
cpd38888	2
cpd38898	2
cpd43048	2
cpd43050	2
cpd43054	2
cpd38964	2
cpd38930	2
cpd38970	2
cpd42967	2
cpd43056	2
cpd43059	2
cpd39016	2
cpd39027	2
cpd39060	2
cpd39061	2
cpd39019	2
cpd39021	2
cpd39022	2
cpd40249	2
cpd39083	2
cpd39084	2
cpd39094	2
cpd39096	2
cpd39097	2
cpd39098	2
cpd43078	2
cpd43137	2
cpd39140	2
cpd39163	2
cpd39181	2
cpd39194	2
cpd43100	2
cpd39246	2
cpd39243	2
cpd39247	2
cpd39233	2
cpd39296	2
cpd39302	2
cpd39322	2
cpd39323	2
cpd39326	2
cpd39337	2
cpd39114	2
cpd43139	2
cpd43144	2
cpd39364	2
cpd39367	2
cpd39394	2
cpd39418	2
cpd43147	2
cpd43148	2
cpd43151	2
cpd43153	2
cpd37751	2
cpd39513	2
cpd39512	2
cpd39514	2
cpd43476	2
cpd39556	2
cpd39565	2
cpd39455	2
cpd39621	2
cpd39624	2
cpd39626	2
cpd42512	2
cpd39631	2
cpd39651	2
cpd39678	2
cpd39679	2
cpd43224	2
cpd43225	2
cpd39698	2
cpd39700	2
cpd39702	2
cpd39704	2
cpd39734	2
cpd39737	2
cpd39743	2
cpd39776	2
cpd39783	2
cpd39785	2
cpd46183	2
cpd48748	2
cpd45938	2
cpd44159	2
cpd43623	2
cpd45180	2
cpd48929	2
cpd44887	2
cpd48065	2
cpd45865	2
cpd45358	2
cpd45307	2
cpd45784	2
cpd45760	2
cpd45936	2
cpd44156	2
cpd45257	2
cpd45911	2
cpd47278	2
cpd44910	2
cpd48357	2
cpd45770	2
cpd44833	2
cpd48532	2
cpd48385	2
cpd34292	2
cpd47241	2
cpd46798	2
cpd46437	2
cpd48887	2
cpd37093	2
cpd48931	2
cpd48993	2
cpd44916	2
cpd47010	2
cpd44060	2
cpd45362	2
cpd46802	2
cpd48662	2
cpd48588	2
cpd48768	2
cpd48476	2
cpd48470	2
cpd48634	2
cpd48351	2
cpd45269	2
cpd48645	2
cpd48764	2
cpd44702	2
cpd48751	2
cpd48910	2
cpd48911	2
