# cache=data/cache_win/compounds.sqlite params=data/cc_params_win.npz p_h=7.0 ionic_strength=0.25M p_mg=3.0 T=298.15K
reaction_id	name	status	dg_prime_kJ_per_mol	uncertainty_kJ_per_mol	dg_prime_kcal_per_mol	uncertainty_kcal_per_mol	formula
rxn00037	omega-3 fatty acid desaturase, chloroplast (FAD7) (FADD)	ok	-426.182	8.497	-101.860	2.031	seed:cpd00007 + 2 seed:cpd00067 + 2 seed:cpd00752 = 2 seed:cpd00011 + 2 seed:cpd00778
rxn00038	(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase	ok	-45.659	5.252	-10.913	1.255	seed:cpd00001 + seed:cpd02767 = seed:cpd00067 + 2 seed:cpd00797
rxn00039	1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase	ok	-7.129	1.561	-1.704	0.373	2 seed:cpd00852 = seed:cpd00027 + seed:cpd02532
rxn00040	digallate acylhydrolase	ok	-46.501	3.079	-11.114	0.736	seed:cpd00001 + seed:cpd01108 = seed:cpd00067 + 2 seed:cpd01020
rxn00041	orsellinate-depside hydrolase	ok	-42.130	3.079	-10.069	0.736	seed:cpd00001 + seed:cpd01843 = seed:cpd00067 + 2 seed:cpd01265
rxn00042	inosine:oxygen 5'-oxidoreductase	ok	-424.542	7.606	-101.468	1.818	seed:cpd00007 + 2 seed:cpd00246 = 2 seed:cpd00001 + 2 seed:cpd01365
rxn00043	catechol:oxygen oxidoreductase	ok	-301.347	16.165	-72.024	3.863	seed:cpd00007 + 2 seed:cpd00077 = 2 seed:cpd00001 + 2 seed:cpd01569
rxn00044	N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase	ok	2.941	1.797	0.703	0.429	seed:cpd00001 + seed:cpd00921 = 2 seed:cpd01588
rxn00045	bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase	ok	0.035	0.000	0.008	0.000	2 seed:cpd02141 = seed:cpd00376 + seed:cpd03428
rxn00046	1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase	ok	-3.846	4.310	-0.919	1.030	2 seed:cpd00865 = seed:cpd00027 + seed:cpd02622
rxn00047	R_4__4_Deoxy_beta_D_gluc_4_enuronosyl__D_galacturonate_lyase	ok	-70.113	2.894	-16.757	0.692	seed:cpd02883 = 2 seed:cpd02508
rxn00048	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase	ok	-75.498	7.778	-18.044	1.859	2 seed:cpd02656 = seed:cpd00220 + seed:cpd02882
rxn00050	rxn00050	ok	529.983	10.920	126.669	2.610	2 seed:cpd03299 = seed:cpd00007 + 2 seed:cpd02311
rxn00051	D-urobilinogen:oxygen oxidoreductase	ok	-484.347	15.706	-115.762	3.754	seed:cpd00007 + 2 seed:cpd03431 = 2 seed:cpd00001 + 2 seed:cpd03434
rxn00052	thiamine-aldehyde:oxygen 5-oxidoreductase	ok	-168.538	4.640	-40.282	1.109	seed:cpd00001 + seed:cpd00007 + seed:cpd03484 = seed:cpd00025 + seed:cpd00067 + seed:cpd01852
rxn00053	Prostaglandin H2:oxygen oxidoreductase	undecomposable: 1226					seed:cpd00007 + 2 seed:cpd00336 = 2 seed:cpd03545
rxn00054	2-aminophenol:oxygen oxidoreductase (dimerizing)	ok	-1009.192	200023.632	-241.203	47806.795	3 seed:cpd00007 + 4 seed:cpd01360 = 6 seed:cpd00001 + 2 seed:cpd01462
rxn00055	S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase	ok	82.037	300017.745	19.607	71705.962	3 seed:cpd00017 = 3 seed:cpd00067 + 3 seed:cpd00147 + seed:cpd03158
rxn00056	Fe(II):oxygen oxidoreductase	ok	-67.870	18.249	-16.221	4.362	seed:cpd00007 + 4 seed:cpd00067 + 4 seed:cpd10515 = 2 seed:cpd00001 + 4 seed:cpd10516
rxn00057	Catechol:oxygen oxidoreductase (dimerizing)	ok	-668.382	400025.718	-159.747	95608.441	3 seed:cpd00007 + 4 seed:cpd00077 = 6 seed:cpd00001 + 2 seed:cpd02409
rxn00058	Ferrocytochrome-c:oxygen oxidoreductase	compound not in cache: seed:cpd00110					seed:cpd00007 + 4 seed:cpd00067 + 4 seed:cpd00110 = 2 seed:cpd00001 + 4 seed:cpd00109
rxn00059	Benzenediol:oxygen oxidoreductase	compound not in cache: seed:cpd01232					seed:cpd00007 + 4 seed:cpd00067 + 4 seed:cpd01232 = 2 seed:cpd00001 + 4 seed:cpd00415
rxn00060	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	ok	-187.917	8.943	-44.913	2.137	seed:cpd00001 + 4 seed:cpd00689 = 4 seed:cpd00013 + seed:cpd00755
rxn00061	ATP diphosphohydrolase (phosphate-forming)	ok	-50.721	0.648	-12.123	0.155	2 seed:cpd00001 + seed:cpd00002 = 2 seed:cpd00009 + seed:cpd00018 + 3 seed:cpd00067
rxn00062	ATP phosphohydrolase	ok	-25.486	0.330	-6.091	0.079	seed:cpd00001 + seed:cpd00002 = seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn00063	ATP diphosphohydrolase (diphosphate-forming)	ok	-34.051	0.622	-8.138	0.149	seed:cpd00001 + seed:cpd00002 = seed:cpd00012 + seed:cpd00018 + 2 seed:cpd00067
rxn00064	ATP aminohydrolase	ok	-53.207	3.782	-12.717	0.904	seed:cpd00001 + seed:cpd00002 + seed:cpd00067 = seed:cpd00013 + seed:cpd00068
rxn00065	ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming)	ok	8.029	1.056	1.919	0.252	seed:cpd00002 = seed:cpd00012 + seed:cpd00067 + seed:cpd00446
rxn00066	NADH:hydrogen-peroxide oxidoreductase	ok	-319.156	3.534	-76.280	0.845	seed:cpd00004 + seed:cpd00025 + seed:cpd00067 = 2 seed:cpd00001 + seed:cpd00003
rxn00067	CoA:NAD+ oxidoreductase	ok	-14.652	3.627	-3.502	0.867	seed:cpd00003 + 2 seed:cpd00010 = seed:cpd00004 + seed:cpd00067 + seed:cpd01378
rxn00068	Fe2+:NAD+ oxidoreductase	ok	191.083	9.056	45.670	2.164	seed:cpd00003 + seed:cpd00067 + 2 seed:cpd10515 = seed:cpd00004 + 2 seed:cpd10516
rxn00069	L-glutamate:NAD+ oxidoreductase (transaminating)	ok	49.538	0.964	11.840	0.230	seed:cpd00003 + 2 seed:cpd00023 = seed:cpd00004 + seed:cpd00024 + seed:cpd00053 + seed:cpd00067
rxn00070	glutathione:NAD+ oxidoreductase	ok	4.161	1.919	0.995	0.459	seed:cpd00003 + 2 seed:cpd00042 + seed:cpd00067 = seed:cpd00004 + seed:cpd00111
rxn00071	NADH:monodehydroascorbate oxidoreductase	compound not in cache: seed:cpd00766					seed:cpd00003 + 2 seed:cpd00059 = seed:cpd00004 + 5 seed:cpd00067 + 2 seed:cpd00766
rxn00072	NADH:cob(III)alamine oxidoreductase	compound not in cache: seed:cpd00423					2 seed:cpd00001 + seed:cpd00003 + seed:cpd00067 + 2 seed:cpd00423 = seed:cpd00004 + 2 seed:cpd00730
rxn00073	rxn00073	compound not in cache: seed:cpd00423					seed:cpd00003 + seed:cpd00067 + 2 seed:cpd00423 = seed:cpd00004 + 2 seed:cpd03424
rxn00074	cob(I)alamin:NAD+ oxidoreductase	compound not in cache: seed:cpd00635					seed:cpd00003 + seed:cpd00067 + 2 seed:cpd00635 = seed:cpd00004 + 2 seed:cpd00423
rxn00075	NAD nucleosidase, mitochondrial	ok	-35.096	3.606	-8.388	0.862	seed:cpd00001 + seed:cpd00003 = seed:cpd00067 + seed:cpd00133 + seed:cpd00251
rxn00076	NAD+ phosphohydrolase	ok	-33.495	3.187	-8.005	0.762	seed:cpd00001 + seed:cpd00003 = seed:cpd00018 + 2 seed:cpd00067 + seed:cpd00355
rxn00077	ATP:NAD+ 2'-phosphotransferase	ok	-10.022	3.126	-2.395	0.747	seed:cpd00002 + seed:cpd00003 = seed:cpd00006 + seed:cpd00008 + seed:cpd00067
rxn00078	ATP:NADH 2'-phosphotransferase	ok	-10.048	3.146	-2.402	0.752	seed:cpd00002 + seed:cpd00004 = seed:cpd00005 + seed:cpd00008 + seed:cpd00067
rxn00079	NADPH:ferricytochrome oxidoreductase	compound not in cache: seed:cpd00685					seed:cpd00005 + 2 seed:cpd00685 = seed:cpd00006 + seed:cpd00067 + 2 seed:cpd00686
rxn00080	cob(II)alamin:NADP+ oxidoreductase	compound not in cache: seed:cpd00730					seed:cpd00005 + 2 seed:cpd00730 = 2 seed:cpd00001 + seed:cpd00006 + seed:cpd00067 + 2 seed:cpd00423
rxn00081	rxn00081	compound not in cache: seed:cpd03424					seed:cpd00005 + 2 seed:cpd03424 = seed:cpd00006 + seed:cpd00067 + 2 seed:cpd00423
rxn00082	N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase	ok	152.215	233563.016	36.380	55822.900	seed:cpd00005 + seed:cpd00007 + 2 seed:cpd03527 = seed:cpd00006 + 5 seed:cpd00067 + 2 seed:cpd00274 + 2 seed:cpd00418
rxn00083	NADPH:NAD+ oxidoreductase	ok	0.026	0.358	0.006	0.086	seed:cpd00003 + seed:cpd00005 = seed:cpd00004 + seed:cpd00006
rxn00084	NADPH:hydrogen-peroxide oxidoreductase	ok	-319.130	3.536	-76.274	0.845	seed:cpd00005 + seed:cpd00025 + seed:cpd00067 = 2 seed:cpd00001 + seed:cpd00006
rxn00085	L-Glutamate:NADP+ oxidoreductase (transaminating)	ok	49.512	1.007	11.834	0.241	seed:cpd00006 + 2 seed:cpd00023 = seed:cpd00005 + seed:cpd00024 + seed:cpd00053 + seed:cpd00067
rxn00086	glutathione:NADP+ oxidoreductase	ok	4.135	1.882	0.988	0.450	seed:cpd00006 + 2 seed:cpd00042 + seed:cpd00067 = seed:cpd00005 + seed:cpd00111
rxn00087	NADPH:CoA-glutathione oxidoreductase	ok	-19.642	7.261	-4.695	1.735	seed:cpd00006 + seed:cpd00067 + 2 seed:cpd00084 = seed:cpd00005 + seed:cpd00381
rxn00088	NADP+ 2'-phosphohydrolase	ok	-15.464	3.143	-3.696	0.751	seed:cpd00001 + seed:cpd00006 = seed:cpd00003 + seed:cpd00009
rxn00089	NADP+ glycohydrolase	ok	-35.472	3.585	-8.478	0.857	seed:cpd00001 + seed:cpd00006 = seed:cpd00067 + seed:cpd00133 + seed:cpd02079
rxn00090	glutathione:oxygen oxidoreductase	ok	-126.720	4.790	-30.287	1.145	seed:cpd00007 + 2 seed:cpd00042 + 2 seed:cpd00067 = seed:cpd00025 + seed:cpd00111
rxn00091	rxn00091	ok	-298.062	5.483	-71.239	1.311	seed:cpd00001 + seed:cpd00007 + 2 seed:cpd00074 = seed:cpd00081 + seed:cpd00239
rxn00092	ADP phosphohydrolase	ok	-25.235	0.340	-6.031	0.081	seed:cpd00001 + seed:cpd00008 = seed:cpd00009 + seed:cpd00018 + 2 seed:cpd00067
rxn00093	ADP aminohydrolase	ok	-50.441	4.071	-12.056	0.973	seed:cpd00001 + seed:cpd00008 + seed:cpd00067 = seed:cpd00013 + seed:cpd00090
rxn00095	P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase	ok	-40.562	8.536	-9.695	2.040	seed:cpd00001 + seed:cpd00924 = 2 seed:cpd00008
rxn00096	ADP:ATP adenylyltransferase	ok	15.076	8.532	3.603	2.039	seed:cpd00002 + seed:cpd00008 = seed:cpd00009 + seed:cpd00067 + seed:cpd00924
rxn00097	ATP:AMP phosphotransferase	ok	-0.252	0.170	-0.060	0.041	seed:cpd00002 + seed:cpd00018 + seed:cpd00067 = 2 seed:cpd00008
rxn00098	Adenosine-tetraphosphate phosphohydrolase	ok	-33.629	3.144	-8.038	0.751	seed:cpd00001 + seed:cpd02198 = seed:cpd00002 + seed:cpd00009 + seed:cpd00067
rxn00099	(6S)-6-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine-dinucleotide hydro-lyase (ATP-hydrolysing)	ok	-53.839	3.664	-12.868	0.876	seed:cpd00002 + seed:cpd02951 = seed:cpd00004 + seed:cpd00008 + seed:cpd00009 + seed:cpd00067
rxn00100	ATP:dephospho-CoA 3'-phosphotransferase	ok	5.416	3.126	1.294	0.747	seed:cpd00002 + seed:cpd00655 = seed:cpd00008 + seed:cpd00010 + seed:cpd00067
rxn00101	Urea amidohydrolase	ok	-36.101	4.982	-8.628	1.191	seed:cpd00001 + 2 seed:cpd00067 + seed:cpd00073 = seed:cpd00011 + 2 seed:cpd00013
rxn00102	carbonate hydro-lyase (carbon-dioxide-forming)	ok	-0.346	3.413	-0.083	0.816	seed:cpd00067 + seed:cpd00242 = seed:cpd00001 + seed:cpd00011
rxn00103	formate:NADP+ oxidoreductase	ok	-19.661	3.588	-4.699	0.857	seed:cpd00006 + seed:cpd00047 = seed:cpd00005 + seed:cpd00011
rxn00104	polyphosphate kinase	undecomposable: 75056					seed:cpd00002 + seed:cpd00012 = seed:cpd00008 + seed:cpd00421
rxn00105	ATP:nicotinamide-nucleotide adenylyltransferase	ok	-0.556	3.126	-0.133	0.747	seed:cpd00002 + seed:cpd00355 = seed:cpd00003 + seed:cpd00012
rxn00106	Triphosphate phosphohydrolase	undecomposable: 75056					seed:cpd00001 + seed:cpd00421 = seed:cpd00009 + seed:cpd00012 + seed:cpd00067
rxn00107	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase	ok	6.475	1.538	1.547	0.368	seed:cpd00002 + seed:cpd07923 = seed:cpd00008 + seed:cpd07924
rxn00108	ATP:5-hydroxymethyldeoxycytidylate phosphotransferase	ok	-5.237	2.821	-1.252	0.674	seed:cpd00008 + seed:cpd07923 = seed:cpd00002 + seed:cpd00067 + seed:cpd02480
rxn00109	ammonia:NAD+ oxidoreductase	undecomposable: 412					seed:cpd00001 + seed:cpd00003 + seed:cpd00013 = seed:cpd00004 + 2 seed:cpd00067 + seed:cpd00165
rxn00110	Nitrogenous compounds,NADH:oxygen oxidoreductase (3-hydroxylating,	compound not in cache: seed:cpd03612					seed:cpd00004 + seed:cpd00007 + seed:cpd03612 = seed:cpd00003 + seed:cpd00013 + seed:cpd00049
rxn00111	Nitrogenous compounds,NADPH:oxygen oxidoreductase (3-hydroxylating,	compound not in cache: seed:cpd03612					seed:cpd00005 + seed:cpd00007 + seed:cpd03612 = seed:cpd00006 + seed:cpd00013 + seed:cpd00049
rxn00112	rxn00112	undecomposable: 412					seed:cpd00007 + seed:cpd00013 + seed:cpd00067 = seed:cpd00001 + seed:cpd00165
rxn00113	Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)	ok	8.518	4.318	2.036	1.032	seed:cpd00001 + 2 seed:cpd00002 + seed:cpd00011 + seed:cpd00013 = 2 seed:cpd00008 + seed:cpd00009 + 3 seed:cpd00067 + seed:cpd00146
rxn00114	ATP:carbamate phosphotransferase	ok	34.004	4.300	8.127	1.028	seed:cpd00002 + seed:cpd00011 + seed:cpd00013 = seed:cpd00008 + 2 seed:cpd00067 + seed:cpd00146
rxn00115	R00152	compound not in cache: seed:cpd00150					seed:cpd00011 + seed:cpd00013 = seed:cpd00150
rxn00116	UDP phosphohydrolase	ok	-25.071	3.402	-5.992	0.813	seed:cpd00001 + seed:cpd00014 = seed:cpd00009 + 2 seed:cpd00067 + seed:cpd00091
rxn00117	ATP:UDP phosphotransferase	ok	1.026	1.347	0.245	0.322	seed:cpd00002 + seed:cpd00014 = seed:cpd00008 + seed:cpd00062
rxn00118	Uridine triphosphate:AMP phosphotransferase	ok	-1.278	1.352	-0.305	0.323	seed:cpd00018 + seed:cpd00062 + seed:cpd00067 = seed:cpd00008 + seed:cpd00014
rxn00119	ATP:UMP phosphotransferase	ok	-0.415	3.404	-0.099	0.814	seed:cpd00002 + seed:cpd00067 + seed:cpd00091 = seed:cpd00008 + seed:cpd00014
rxn00120	UTP phosphohydrolase	ok	-26.513	1.342	-6.337	0.321	seed:cpd00001 + seed:cpd00062 = seed:cpd00009 + seed:cpd00014 + seed:cpd00067
rxn00121	FAD nucleotidohydrolase	ok	-19.313	4.383	-4.616	1.048	seed:cpd00001 + seed:cpd00015 = seed:cpd00018 + seed:cpd00050 + 2 seed:cpd00067
rxn00122	ATP:FMN adenylyltransferase	ok	-14.738	4.378	-3.523	1.046	seed:cpd00002 + seed:cpd00050 = seed:cpd00012 + seed:cpd00015
rxn00123	pyridoxal-5'-phosphate phosphohydrolase	ok	-12.759	2.148	-3.049	0.513	seed:cpd00001 + seed:cpd00016 = seed:cpd00009 + seed:cpd00215
rxn00124	ATP:pyridoxal 5'-phosphotransferase	ok	-12.728	2.159	-3.042	0.516	seed:cpd00002 + seed:cpd00215 = seed:cpd00008 + seed:cpd00016 + seed:cpd00067
