inchikey	dG0_prime_kcal	uncertainty_kcal	source_cpd	match_type
MNCVVTFLNVITRD-RLFCDOPRSA-O	282.1908903056368	23900.57361376673	cpd02650	connectivity
KCWZGJVSDFYRIX-YFKPBYRVSA-O	108.85781334644598	23902.285190210954	cpd02660	connectivity
WJOBFSVTSCWIDG-NGPGYTDTSA-N	74.84455288895843	15793.933506912661	cpd02665	connectivity
LLENXGNWVNSBQG-VFTFQOQOSA-N	-423.206169756419	4.8075538697935905	cpd02671	connectivity
VDXLUNDMVKSKHO-XVFCMESISA-L	-274.8140135407658	1.3257609941845918	cpd02678	connectivity
NVOIXARBSSLBAS-CRKDRTNXSA-L	-132.47271198314317	0.5872040857841136	cpd02680	connectivity
DWIHCEZUWCRUES-IRXDYDNUSA-M	92.28098191009533	2.188493844706147	cpd02696	connectivity
RDQUQBHPMYFYMX-PEBGCTIMSA-K	-249.17431733353274	0.9906560148087658	cpd02709	connectivity
ODTDYYZJDQGKQT-IHWYPQMZSA-K	-220.43535423598618	0.6879177003998319	cpd02717	connectivity
WBYIPZVSBSKNQR-FMDGEEDCSA-J	-489.5148578776754	0.6989083245030235	cpd02723	connectivity
WADQQVAMGZIDFQ-IKGTUSEWSA-L	646.5169897799246	6.56424263024146	cpd02745	connectivity
FSCYHDCTHRVSKN-UNOAJODNSA-L	600.1793479199004	5.83927549553363	cpd02746	connectivity
WGRXVKRHIMUTPD-HRNNJVHXSA-N	48.42446631521489	1.3847592228279675	cpd02792	connectivity
FUUMLYWEEZBCQR-ZNSWQWQUSA-M	-410.6197831806842	1.5374102801416647	cpd02819	connectivity
SBYLHTNKEWSLBA-CPRJDYHCSA-J	-234.0607183620652	56449.98373925917	cpd02830	connectivity
BGKHCLZFGPIKKU-XBUWFATQSA-M	202.38848276249806	2.294553874257105	cpd02853	connectivity
RLNOPSGEZLGFAH-OCMBHFTRSA-K	-473.2703141099663	2.4741237367350655	cpd02861	connectivity
MNYDLIUNNOCPHG-LLKMTTQRSA-J	-274.588738660313	56449.8633571931	cpd02898	connectivity
BHYDXVJSMVVTCR-AONGSCPPSA-M	-102.77371868178858	32838.65590514153	cpd02919	connectivity
DWEXIFLNCXYYAA-AQTSNUJDSA-N	296.631223081717	56449.14703737401	cpd02924	connectivity
WPLPEZUSILBTGP-ADMPAMIKSA-M	206.91118192277955	1.479253968331193	cpd02940	connectivity
NNISLDGFPWIBDF-LKTSHGCLSA-N	-189.2183607179495	1.089434097244335	cpd02944	connectivity
BJRIMGIVIIHCDH-LSTIIZKUSA-K	-421.04516729016893	3.6171657389947183	cpd02977	connectivity
BLHSZJFFDPSTHR-FZNRESIQSA-L	-132.91300948884012	3.0058540493993338	cpd02984	connectivity
KXNPVXPOPUZYGB-VSVYTNTFSA-N	343.1371378235126	23902.84726557572	cpd03001	connectivity
PMATZTZNYRCHOR-IMVLJIQESA-N	890.9718923870544	18.844580488001682	cpd03033	connectivity
GRUFZTGABLSDFG-PHMHICHTSA-L	-441.23774037678754	16172.490701966433	cpd03057	connectivity
REAZZDPREXHWNV-FNYQTHNFSA-N	467.4250200236713	23900.57361376673	cpd03066	connectivity
MJQUEDHRCUIRLF-YCVQJEHTSA-N	45.878769442400504	30025.286491452516	cpd03067	connectivity
XWORXFNMQCQKKK-UHFFFAOYSA-N	-72.75606290953175	50464.90460350841	cpd03109	connectivity
PNHLMHWWFOPQLK-CCAKUQLUSA-L	-497.20783332885134	16172.576449564162	cpd03171	connectivity
ZWUKRGPVMMTMAF-UHFFFAOYSA-L	-275.97245055897395	23902.61537086979	cpd03189	connectivity
LQEBEXMHBLQMDB-CUMUYSSISA-L	-481.7657744906845	16172.504271314096	cpd03192	connectivity
SERLAGPUMNYUCK-GFRRCQKTSA-N	-153.93350199267388	0.5522666037100711	cpd03195	connectivity
DLRVVLDZNNYCBX-NNDSTVLFSA-N	-162.19996668600874	0.5454417445654817	cpd03196	connectivity
