# eQuilibrator estimates as stored in ModelSEED before the 2026-08 regeneration
# units: kcal/mol   source key: thermodynamics['eQuilibrator']
# provenance: Scripts/Thermodynamics/Retrieve_eQuilibrator_Reactions_Energies.py (MetaNetX InChIKey ladder)
id	name	deltag_kcal_per_mol	deltagerr_kcal_per_mol	reversibility
cpd00212	L-Sorbose	-102.35	0.43	
cpd00213	Lipoamide	125.22	1.75	
cpd00214	Palmitate	239.7	0.7	
cpd00215	Pyridoxal	9.97	0.92	
cpd00216	Chorismate	-107.38	1.83	
cpd00217	Brachiose	-164.43	0.33	
cpd00218	Niacin	-7.56	0.94	
cpd00219	Prephenate	-119.01	2.45	
cpd00220	Riboflavin	70.2	2.25	
cpd00221	D-Lactate	-73.33	0.53	
cpd00222	GLCN	-162.74	0.7	
cpd00223	Glycerate	-110.8	0.24	
cpd00224	L-Arabinose	-84.72	0.33	
cpd00225	Benzaldehyde	59.49	0.62	
cpd00226	HYXN	60.26	0.43	
cpd00227	L-Homoserine	-29.48	0.99	
cpd00228	Dithiothreitol	27.09	1.66	
cpd00229	Glycolaldehyde	-31.87	0.17	
cpd00231	Dihydrobiopterin	126.23	23900.57	
cpd00232	Neu5Ac	-150.34	0.57	
cpd00233	Tetrahydrobiopterin	23.56	16173.16	
cpd00234	5-Dehydro-D-fructose	-112.43	0.4	
cpd00235	D-mannose-6-phosphate	-313.47	0.29	
cpd00236	D-Erythrose4-phosphate	-277.01	0.41	
cpd00237	Androstenedione	50.68	56448.66	
cpd00238	Sedoheptulose7-phosphate	-331.2	0.45	
cpd00239	H2S	9.54	23900.57	
cpd00240	EDTA	-175.21	23902.45	
cpd00241	dGTP	-628.81	16172.48	
cpd00242	H2CO3	-130.94	0.29	
cpd00243	Fibrin	10000000.0	10000000.0	
cpd00244	Ni2+	-0.98	23900.57	
cpd00245	Aniline	99.83	0.79	
cpd00246	Inosine	18.82	0.38	
cpd00248	Quinate	-136.19	1.56	
cpd00249	Uridine	-57.76	0.93	
cpd00250	Creatine	25.69	0.7	
cpd00251	ADPribose	-383.33	0.82	
cpd00254	Mg	-109.58	0.7	
cpd00255	Bradykinin	530.63	6.18	
cpd00256	CDPcholine	-272.02	23902.69	
cpd00257	Canavanine	-41.0	14325.43	
cpd00259	D-Lyxulose	-84.53	0.39	
cpd00260	Isocitrate	-229.3	0.27	
cpd00262	Oxalyl-CoA	-551.97	1.94	
cpd00263	Pyridoxol	18.84	0.96	
cpd00264	Spermidine	208.13	1.51	
cpd00265	Amylopectin	-349.41	1.61	
cpd00266	Carnitine	34.79	23902.54	
cpd00267	Sphingoid	330.77	1.32	
cpd00268	H2S2O3	9.44	23900.57	
cpd00269	2-Oxoadipate	-130.32	0.41	
cpd00270	Caffeoyl-CoA	-446.07	2.29	
cpd00272	GDP-L-fucose	-481.77	16172.5	
cpd00273	Glycoprotein	10000000.0	10000000.0	
cpd00274	Citrulline	10.19	1.06	
cpd00275	L-Kynurenine	40.46	0.84	
cpd00276	GLUM	-47.14	0.43	
cpd00277	Deoxyguanosine	-0.16	16172.37	
cpd00278	Indolepyruvate	17.53	1.08	
cpd00279	Acetoacetyl-CoA	-452.32	1.89	
cpd00280	D-Galacturonate	-173.44	0.38	
cpd00281	GABA	-1.2	0.39	
cpd00282	S-Dihydroorotate	-97.7	1.19	
cpd00283	Geranyldiphosphate	-237.35	1.23	
cpd00284	6-Phospho-D-gluconate	-374.17	0.29	
cpd00285	Phosphoethanolamine	-181.23	0.52	
cpd00286	Undecaprenylphosphate	912.92	6.38	
cpd00287	3-Oxo-2-methylpropanoate	-60.88	0.32	
cpd00288	D-Glucosamine phosphate	-258.17	0.56	
cpd00289	Geranylgeranyl diphosphate	-27.96	2.35	
cpd00290	D-fructose-1,6-bisphosphate	-527.15	0.26	
cpd00291	L-Dopa	-42.54	1.03	
cpd00292	HMG-CoA	-507.73	1.93	
cpd00293	N-Acetyl-D-glucosamine 6-phosphate	-277.86	0.66	
cpd00294	dAMP	-91.96	0.68	
cpd00295	dGDP	-420.23	16172.42	
cpd00296	dGMP	-212.29	16172.42	
cpd00297	dTDP	-421.21	1.12	
cpd00298	dTMP	-211.83	1.12	
cpd00299	dUMP	-231.45	1.06	
cpd00300	Urate	-46.58	0.7	
cpd00301	Sterol	2.08	45033.25	
cpd00302	Zeatin	194.92	1.05	
cpd00304	Retinal	345.58	2.78	
cpd00305	Thiamin	208.19	23902.37	
cpd00306	Xylitol	-70.5	0.41	
cpd00307	Cytosine	45.76	0.9	
cpd00308	Malonate	-144.84	0.32	
cpd00309	XAN	11.41	0.85	
cpd00310	Carnosine	60.88	1.16	
cpd00311	Guanosine	-38.12	16172.58	
cpd00312	Histamine	131.15	0.98	
cpd00313	Quercetin	-177.29	28226.42	
cpd00314	D-Mannitol	-89.16	0.34	
cpd00315	GDP-glucose	-520.16	16172.57	
cpd00316	Pyrimidine	82.77	1.12	
cpd00317	Tobramycin	104.58	2.59	
cpd00318	Tryptamine	173.62	1.06	
cpd00319	L-Menthol	166.13	1.76	
cpd00320	D-Aspartate	-107.36	0.37	
cpd00321	Feruloyl-CoA	-422.81	2.35	
cpd00322	L-Isoleucine	44.41	0.7	
cpd00323	L-Pipecolate	30.86	2.11	
cpd00324	MTTL	36.03	0.85	
cpd00325	Progesterone	98.53	56448.75	
cpd00326	Sinapoyl-CoA	-448.94	2.78	
cpd00327	strcoa	-103.88	2.62	
cpd00328	Streptomycin	57.14	3.68	
cpd00329	Cyclohexanone	68.51	1.73	
cpd00330	Dihydrofolate	1.94	16173.19	
cpd00331	cis-Aconitate	-191.47	0.37	
cpd00332	Mevalonic acid	-47.64	0.31	
cpd00333	(E)-Cinnamate	37.57	0.76	
cpd00334	L-Lactaldehyde	-10.35	0.33	
cpd00336	Prostaglandin H2	96.76	28225.55	
cpd00337	Hydrouracil	-3.61	0.8	
cpd00338	5-Aminolevulinate	-26.65	0.35	
cpd00339	5-Aminopentanoate	22.57	0.41	
cpd00340	2,5-Dioxopentanoate	-89.37	0.36	
cpd00341	N-Carbamoylputrescine	101.9	0.94	
cpd00342	N-Acetylornithine	19.68	0.93	
cpd00343	N-Carbamoyl-L-aspartate	-136.2	1.09	
cpd00344	N-Formimino-L-glutamate	-53.02	11522.83	
cpd00345	5-Methyltetrahydrofolate	37.13	16173.32	
cpd00346	L-Aspartate4-semialdehyde	-39.28	0.88	
cpd00347	5-10-Methenyltetrahydrofolate	19.3	16173.2	
cpd00348	D-Galactose 1-phosphate	-312.59	0.3	
cpd00349	Sedoheptulose 1,7-bisphosphate	-543.56	0.49	
cpd00350	Farnesyldiphosphate	-132.65	1.78	
cpd00351	Saccharopine	-47.27	0.93	
cpd00352	delta1-Piperideine-6-L-carboxylate	27.58	1.26	
cpd00353	D-threo-Isocitric acid	-229.1	0.49	
cpd00355	Nicotinamide ribonucleotide	-202.19	1.71	
cpd00356	dCTP	-585.87	1.23	
cpd00357	TTP	-630.23	1.29	
cpd00358	dUTP	-649.63	1.26	
cpd00359	indol	121.12	0.52	
cpd00360	Purine	110.85	0.93	
cpd00361	ACTN	7.93	0.3	
cpd00362	Estrone	50.67	32838.59	
cpd00363	Ethanol	15.62	0.34	
cpd00364	Chinone	-7.38	2.38	
cpd00365	Retinol	355.11	2.55	
cpd00366	Ribitol	-73.14	0.33	
cpd00367	Cytidine	2.54	0.95	
cpd00368	D-Lyxose	-81.72	0.48	
cpd00369	Ecdysone	118.11	52841.25	
cpd00371	Propanal	26.62	0.2	
cpd00372	Pyrazole	38.95	23900.57	
cpd00373	Sinapate	-62.71	1.95	
cpd00374	Tyramine	93.91	0.71	
cpd00376	Bilirubin	247.46	4.96	
cpd00378	Formamide	-10.05	1.77	
cpd00379	Glutarate	-102.43	0.36	
cpd00380	Itaconate	-103.06	0.38	
cpd00381	L-Cystine	-42.47	0.7	
cpd00382	Melitose	-223.93	0.9	
cpd00383	Shikimate	-98.46	1.5	
