# cache=data/modelseed_cache_msd/compounds.sqlite params=data/cc_params_msd.npz p_h=7.0 ionic_strength=0.25M p_mg=3.0 T=298.15K
compound_id	name	formula	status	dgf_prime_kJ_per_mol	uncertainty_kJ_per_mol	dgf_prime_kcal_per_mol	uncertainty_kcal_per_mol
cpd45352	a [protein]-ultra-long-chain omega-hydroxyceramide-L-glutamine	C31H58N2O6R4	compound not in cache				
cpd45353	a UDP-4(<i>R</i>)-amino-4-deoxy sugar	C14H19N3O13P2R3	compound not in cache				
cpd45354	a UDP-4(<i>S</i>)-amino-4-deoxy sugar	C14H19N3O13P2R3	compound not in cache				
cpd45355	a [elongation-Factor-P]-N6-(beta-lysyl)-L-lysine	C12H27N4O2R2	compound not in cache				
cpd45356	<i>S</i>-glutathionyl-thiarsahydroxy-[arsenate reductase]	C13H19AsN4O9R2S2	compound not in cache				
cpd45357	a modified protein L-cysteine	null	compound not in cache				
cpd45358	a [hydroxymethylbilane synthase] ES<sub>2</sub> intermediate	C43H42N5O17R2S	compound not in cache				
cpd45359	an <i>O</i>-linked mannose glycan	null	compound not in cache				
cpd45360	a [protein]-3-<i>O</i>-ubiquitinyl-L-threonine	C6H11N2O3R3	compound not in cache				
cpd45361	a [protein]-3-O-alpha-L-fucosy-(L-serine/L-threonine)	C9H15NO6R3	compound not in cache				
cpd45362	[ClbG aminomalonyltransferase]-aminomalonyl-L-serine	C6H8N2O5R2	compound not in cache				
cpd45363	a [protein]-L-histidine-flavin-N5-oxide	C33H37N12O17P2R2	compound not in cache				
cpd45364	an <i>N</i>-peptidyl-[lipoprotein]-(<i>S</i>-diacyl-<i>sn</i>-glyceryl)-L-cysteine	C12H15N3O7R5S	compound not in cache				
cpd45365	an <i>N</i>-acetyl-[lipoprotein]-(<i>S</i>-diacyl-<i>sn</i>-glyceryl)-L-cysteine	C10H12NO6R3S	compound not in cache				
cpd45366	a [methyl coenzyme-M reductase]-(5<i>S</i>)-<i>C</i>-methyl-L-arginine	C7H16N4OR2	compound not in cache				
cpd45367	a [hydroxymethylbilane synthase] ES<sub>3</sub> intermediate	C53H51N6O21R2S	compound not in cache				
cpd45368	a [protein with EGF-like domain]-3-O-[alpha-D-xylosyl-(1->3)-alpha-D-xylosyl-(1->3)-beta-D-glucosyl]-L-serine	C19H32NO15R2	compound not in cache				
cpd45369	a <i>holo</i>-[hydroxymethylbilane synthase]	C23H24N3O9R2S	compound not in cache				
cpd45370	an ADP-ribose	null	compound not in cache				
cpd45371	a CMP-sugar	null	compound not in cache				
cpd45372	a pyrimidine 2'-deoxyribonucleoside 5'-tetraphosphate	C5H9O15P4R	compound not in cache				
cpd45373	a purine 2'-deoxyribonucleotide	null	compound not in cache				
cpd45374	a pyrimidine ribonucleoside 5'-tetraphosphate	C5H9O15P4R	compound not in cache				
cpd45375	a [protein]-L-ornithine	C5H12N2OR2	compound not in cache				
cpd45376	a [protein]-L-valine	C5H10NOR2	compound not in cache				
cpd45377	a modified uridine in RNA	null	compound not in cache				
cpd45378	a modified nucleoside in mRNA	null	compound not in cache				
cpd45379	a modified adenosine in RNA	null	compound not in cache				
cpd45380	a modified nucleoside in rRNA	null	compound not in cache				
cpd45381	a modified cytidine in RNA	null	compound not in cache				
cpd45382	a [protein]-L-phenylalanine	C9H10NOR2	compound not in cache				
cpd45383	a modified nucleoside in tRNA	null	compound not in cache				
cpd45384	a modified guanosine in RNA	null	compound not in cache				
cpd45385	a [protein]-L-leucine	C6H12NOR2	compound not in cache				
cpd45386	a modified nucleoside in RNA	null	compound not in cache				
cpd45387	a modified nucleoside in DNA	null	compound not in cache				
cpd45388	a bottromycin	null	compound not in cache				
cpd45389	a [protein]-3-<i>O</i>-(L-glutamyl)-L-serine	C8H13N2O5R2	compound not in cache				
cpd45390	an phallotoxin	null	compound not in cache				
cpd45391	a linear azol(in)e-containing RiPP	null	compound not in cache				
cpd45392	a cyanobactin	null	compound not in cache				
cpd45393	a thiopeptide	null	compound not in cache				
cpd45394	a lanthipeptide	null	compound not in cache				
cpd45395	an amatoxin	null	compound not in cache				
cpd45396	a [protein]-3-<i>O</i>-(L-glutamyl)-L-threonine	C9H15N2O5R2	compound not in cache				
cpd45397	a lasso peptide	null	compound not in cache				
cpd45398	a modified amino acid within a protein	null	compound not in cache				
cpd45399	a [protein]-D-amino acid	C2H3NOR3	compound not in cache				
cpd45400	a cyclic dipeptide	C4H4N2O2R2	compound not in cache				
cpd45401	a dipetide with an N-terminal L-alanine	C5H9N2O3R	compound not in cache				
cpd45402	a dipeptide with a C-terminal glycine	C4H7N2O3R	compound not in cache				
cpd45403	a dipeptide of D-amino acids	C4H6N2O3R2	compound not in cache				
cpd45404	a dipeptide of L-amino acids	C4H6N2O3R2	compound not in cache				
cpd45405	pentan-2-ol	C5H12O	ok	327.467	1.577	78.266	0.377
cpd45406	a threitol	null	compound not in cache				
cpd45407	an efrapeptin	null	compound not in cache				
cpd45408	a non-ribosomal peptide	null	compound not in cache				
cpd45409	a cyclic peptide	null	compound not in cache				
cpd45410	an angiotensin	null	compound not in cache				
cpd45411	a pentapeptide	C10H12N5O6R5	compound not in cache				
cpd45412	a glycosyl alditol	null	compound not in cache				
cpd45413	a peptide containing 2-oxo-beta-amino acid-Gly	C5H6N2O3R3	compound not in cache				
cpd45414	a peptide containing Xaa-Tyr-Gly motif	C13H15N3O4R3	compound not in cache				
cpd45415	an antigen peptide	null	compound not in cache				
cpd45416	a modified uridine	null	compound not in cache				
cpd45417	a [protein]-X-Ser	C5H8N2O3R3	compound not in cache				
cpd45418	a peptide containing lysine or arginine	C9H13N3O3R5	compound not in cache				
cpd45419	a modified nucleoside in nucleic acid	null	compound not in cache				
cpd45420	a [protein]-oxyoxazolidine intermediate	C5H8N2O3R3	compound not in cache				
cpd45421	a peptide with lysine or arginine at the C-terminal	C7H11N2O3R3	compound not in cache				
cpd45422	a modified peptide	null	compound not in cache				
cpd45423	an iridoid monoterpenoid	null	compound not in cache				
cpd45424	3-carene	C10H16	ok	627.735	17.456	150.032	4.172
cpd45425	a carvone	C10H14O	ok	544.554	6.377	130.151	1.524
cpd45426	an <i>N</i><sup>1</sup>-methylguanine in DNA	C11H13N5O10P2R2	compound not in cache				
cpd45427	a 2,3-butanediol	C4H10O2	ok	79.318	1.401	18.958	0.335
cpd45428	an <i>N</i><sup>3</sup>-methylthymine in DNA	C11H14N2O11P2R2	compound not in cache				
cpd45429	a pyranuronate	C6H9O7	ok	-727.258	1.231	-173.819	0.294
cpd45430	a deoxyinosine-[DNA]-3'-hydroxyl	C20H25N4O17P3R3	compound not in cache				
cpd45431	a 5,6-unsaturated pyranuronate	C6H7O6	ok	-621.591	2.983	-148.564	0.713
cpd45432	a deoxyinosine in DNA	C25H31N4O25P5R5	compound not in cache				
cpd45433	a hexuronate	C6H9O7	ok	-719.040	1.407	-171.855	0.336
cpd45434	a ketoaldonate	null	compound not in cache				
cpd45435	an N<sup>7</sup>-methylguanine in DNA	C21H28N5O20P4R4	compound not in cache				
cpd45436	a D-tetrose	null	compound not in cache				
cpd45437	an L-tetrose	null	compound not in cache				
cpd45438	a D-heptose	null	compound not in cache				
cpd45439	an L-heptose	null	compound not in cache				
cpd45440	an L-pentose	null	compound not in cache				
cpd45441	a D-pentose	null	compound not in cache				
cpd45442	an aflatoxin	null	compound not in cache				
cpd45443	L-fucofuranose	C6H12O5	ok	-265.599	1.387	-63.480	0.332
cpd45444	L-mannopyranose	C6H12O6	ok	-425.201	1.129	-101.625	0.270
cpd45445	L-fructopyranose	C6H12O6	ok	-427.994	1.482	-102.293	0.354
cpd45446	D-rhamnofuranose	C6H12O5	ok	-265.599	1.387	-63.480	0.332
cpd45447	D-gulose	null	compound not in cache				
cpd45448	D-digitalose	C7H14O5	ok	-126.897	2.294	-30.329	0.548
cpd45449	D-altrose	null	compound not in cache				
cpd45450	a D-aldopentose	null	compound not in cache				
cpd45451	D-rhamnose	C6H12O5	ok	-269.170	1.087	-64.333	0.260
cpd45452	D-fucofuranose	C6H12O5	ok	-265.599	1.387	-63.480	0.332
cpd45453	D-mannofuranose	C6H12O6	ok	-421.629	1.373	-100.772	0.328
cpd45454	D-idofuranose	C6H12O6	ok	-421.629	1.373	-100.772	0.328
cpd45455	an organic salt	null	compound not in cache				
cpd45456	D-glucofuranose	C6H12O6	ok	-421.629	1.373	-100.772	0.328
cpd45457	2,8-dimethyladenine<sup>2503</sup> in 23S rRNA	C12H15N5O10P2R2	compound not in cache				
cpd45458	an arabinopyranose	C5H10O5	ok	-353.997	1.251	-84.607	0.299
cpd45459	a D-aldopyranose	null	compound not in cache				
cpd45460	an L-aldopyranose	null	compound not in cache				
cpd45461	tagatose	null	compound not in cache				
cpd45462	<i>trans</i>-stilbene oxide	null	compound not in cache				
cpd45463	psicose	null	compound not in cache				
cpd45464	stilbene oxide	C14H12O	ok	663.976	5.762	158.694	1.377
cpd45465	2-<i>O</i>-sulfonatolactate	C3H4O6S	ok	-1065.733	70714.380	-254.716	16901.143
cpd45466	6-<i>O</i>-sulfo-D-glucosamine	C6H13NO8S	ok	-958.339	70714.427	-229.048	16901.154
cpd45467	D-digitoxopyranose	C6H12O4	ok	-101.264	1.414	-24.203	0.338
cpd45468	a D-ketohexose	null	compound not in cache				
cpd45469	an indole-diterpene	null	compound not in cache				
cpd45470	a benzoxazinoid	null	compound not in cache				
cpd45471	L-digitoxopyranose	C6H12O4	ok	-101.264	1.414	-24.203	0.338
cpd45472	L-talose	C6H12O6	ok	-416.983	1.285	-99.661	0.307
cpd45473	L-glucose	C6H12O6	ok	-416.983	1.285	-99.661	0.307
cpd45474	L-allose	C6H12O6	ok	-416.983	1.285	-99.661	0.307
cpd45475	L-idose	C6H12O6	ok	-416.983	1.285	-99.661	0.307
cpd45476	L-altrose	C6H12O6	ok	-416.983	1.285	-99.661	0.307
cpd45477	an indole derivative	null	compound not in cache				
cpd45478	an indole-containing compound	null	compound not in cache				
cpd45479	altrose	null	compound not in cache				
cpd45480	quinovose	null	compound not in cache				
cpd45481	rhamnose	null	compound not in cache				
cpd45482	mannose	null	compound not in cache				
cpd45483	gulose	null	compound not in cache				
cpd45484	a myxoxanthophyll	C40H55O3R	compound not in cache				
cpd45485	allose	null	compound not in cache				
cpd45486	an indolic glucosinolate	null	compound not in cache				
cpd45487	talose	null	compound not in cache				
cpd45488	idose	null	compound not in cache				
cpd45489	galactose	null	compound not in cache				
cpd45490	an L-aldopentose	null	compound not in cache				
cpd45491	an L-aldohexose	null	compound not in cache				
cpd45492	an aldotriose	null	compound not in cache				
cpd45493	an aldopentose	null	compound not in cache				
cpd45494	an abscisic acid derivative	null	compound not in cache				
cpd45495	an abscisic acid conjugate	null	compound not in cache				
cpd45496	an aldodiose	null	compound not in cache				
cpd45497	an omega-(methylsulfonyl)alkyl-glucosinolate	C10H18NO11RS3	compound not in cache				
cpd45498	an aldotetraose	null	compound not in cache				
cpd45499	a 5-hydroxycytosine in 23S rRNA	C9H11N3O12P2R2	compound not in cache				
cpd45500	an aromatic glucosinolate	null	compound not in cache				
cpd45501	L-gulose	null	compound not in cache				
cpd45502	an L-ketohexose	null	compound not in cache				
cpd45503	a 5-hydroxycytosine<sup>2501</sup> in 23S rRNA	C9H11N3O12P2R2	compound not in cache				
cpd45504	a hexosaminide	C6H13NO5R	compound not in cache				
cpd45505	D-perosamine	null	compound not in cache				
cpd45506	mycosamine	C6H14NO4	ok	-41.540	1.827	-9.928	0.437
cpd45507	<i>N</i>-formyl-D-perosamine	C7H13NO5	ok	-178.797	5.289	-42.734	1.264
cpd45508	a 2,8- dimethyladenine in rRNA	C12H15N5O10P2R2	compound not in cache				
cpd45509	mycaminose	C8H18NO4	ok	174.431	100004.147	41.690	23901.565
cpd45510	D-allosamine	C6H14NO5	ok	-197.669	1.824	-47.244	0.436
cpd45511	astaxanthin	C40H52O4	ok	2410.174	21.694	576.045	5.185
cpd45512	a ketopentose	null	compound not in cache				
cpd45513	L-<i>glycero</i>-L-galacto-octuluronate	C8H13O9	ok	-863.225	1.785	-206.316	0.427
cpd45514	an L-ketose	null	compound not in cache				
cpd45515	a D-ketose	null	compound not in cache				
cpd45516	15-HpEPE	C20H29O4	undecomposable				
cpd45517	a hexosamine	C6H14NO5	ok	-197.669	1.824	-47.244	0.436
cpd45518	D-rhamnopyranose	C6H12O5	ok	-269.170	1.087	-64.333	0.260
cpd45519	javose	C7H14O5	ok	-132.803	1.878	-31.741	0.449
cpd45520	3-deoxy-3-formamido-D-fucopyranose	C7H13NO5	ok	-178.797	5.289	-42.734	1.264
cpd45521	an L-hexose	null	compound not in cache				
cpd45522	a ketohexose	null	compound not in cache				
cpd45523	an <i>N</i><sup>3</sup>-ethylcytosine in DNA	C11H15N3O10P2R2	compound not in cache				
cpd45524	an aldohexose	null	compound not in cache				
cpd45525	a 1,<i>N</i><sup>2</sup>-ethenoguanine in DNA	C12H11N5O10P2R2	compound not in cache				
cpd45526	a 5-carboxycytosine in DNA	C10H10N3O12P2R2	compound not in cache				
cpd45527	a 2,6-diamino-4-oxo-5-formamidopyrimidine in DNA	C10H13N5O11P2R2	compound not in cache				
cpd45528	alpha-L-Fuc-(1->4)-2/3-O-Ac-alpha-L-Fuc-(1->3)-alpha-D-Glc-PP-Und	C75H122O21P2	ok	2457.992	29.762	587.474	7.113
cpd45529	a 9-apo-carotenone	null	compound not in cache				
cpd45530	a 5-formylcytosine in DNA	C10H11N3O11P2R2	compound not in cache				
cpd45531	alpha-D-Fucf-(1->3)-[beta-D-Fucf-(1->3)-beta-6DManHep-(1->3)]n-alpha-D-GlcNAc-PP-undecaprenol	C108H179NO44P2R	compound not in cache				
cpd45532	a thymine glycol in DNA	C20H28N2O23P4R4	compound not in cache				
cpd45533	alpha-D-Gal-(1->3)-alpha-L-Fuc-(1->4)-2/3-O-Ac-alpha-L-Fuc-(1->3)-alpha-D-Glc-PP-Und	C81H132O26P2	ok	2200.570	30.475	525.949	7.284
cpd45534	[beta-D-Fucf-(1->3)-beta-6DManHep-(1->3)]n-alpha-D-GlcNAc-PP-undecaprenol	C102H168NO39P2R	compound not in cache				
cpd45535	a 3,<i>N</i><sup>4</sup>-ethenocytosine in DNA	C11H11N3O10P2R2	compound not in cache				
cpd45536	2-O-Ac-alpha-D-Gal-(1->3)-alpha-L-Fuc-(1->4)-2/3-O-Ac-alpha-L-Fuc-(1->3)-alpha-D-Glc-PP-Und	C83H134O27P2	ok	2146.857	31.242	513.111	7.467
cpd45537	2/3-O-Ac-alpha-L-Fuc-(1->3)-alpha-D-Glc-PP-Und	C69H112O17P2	ok	2559.384	28.735	611.707	6.868
cpd45538	an organic thioarsenocal compound	null	compound not in cache				
cpd45539	an arsine	AsR3	compound not in cache				
cpd45540	digitoxose	null	compound not in cache				
cpd45541	a modified 2'-deoxyribonucleoside	null	compound not in cache				
cpd45542	a tetrose	null	compound not in cache				
cpd45543	mycinose	null	compound not in cache				
cpd45544	a heptose	null	compound not in cache				
cpd45545	a triose	null	compound not in cache				
cpd45546	an octose	null	compound not in cache				
cpd45547	a pentose	null	compound not in cache				
cpd45548	a ketose	null	compound not in cache				
cpd45549	an amino sugar	null	compound not in cache				
cpd45550	a 2-methylthiocytosine<sup>32</sup> in tRNA	C10H13N3O10P2R2S	compound not in cache				
cpd45551	a tRNA containing 2'-<i>O</i>-methylcytosine or 2'-<i>O</i>-methyluridine	null	compound not in cache				
cpd45552	a modified guanine within RNA	null	compound not in cache				
cpd45553	a modified nucleobase within rRNA	null	compound not in cache				
cpd45554	a modified adenine within RNA	null	compound not in cache				
cpd45555	a modified uracil within RNA	null	compound not in cache				
cpd45556	a carotene	null	compound not in cache				
cpd45557	a modified nucleobase within a tRNA	null	compound not in cache				
cpd45558	a ketocarotenoid	null	compound not in cache				
cpd45559	<i>N</i>-acetyl-D-mannosaminouronate	C8H12NO7	ok	-581.678	2.174	-139.024	0.519
cpd45560	an apocarotenoid	null	compound not in cache				
cpd45561	a xanthophyll	null	compound not in cache				
cpd45562	a 3,6-dideoxyhexose	null	compound not in cache				
cpd45563	oscillaxanthin	C52H76O14	ok	2378.866	23.327	568.563	5.575
cpd45564	a trimethylated arsenoriboside	C8H17AsO4R	compound not in cache				
cpd45565	a modified nucleobase within mRNA	null	compound not in cache				
cpd45566	an arsenosugar	C7H14AsO5R	compound not in cache				
cpd45567	a 6-deoxypyranose	null	compound not in cache				
cpd45568	a dimethylated thio-arsenoriboside	C7H14AsO4RS	compound not in cache				
cpd45569	a 2,6-dideoxyhexose	null	compound not in cache				
cpd45570	a carotenoid	null	compound not in cache				
cpd45571	a 5'-hydroxy-oligo-ribonucleotide	null	compound not in cache				
cpd45572	an oxyluciferin	null	compound not in cache				
cpd45573	a tetritol	null	compound not in cache				
cpd45574	a heptitol	C7H16O7	ok	-445.748	1.749	-106.536	0.418
cpd45575	a hexitol	C6H14O6	ok	-374.746	1.535	-89.567	0.367
cpd45576	a pentitol	C5H12O5	ok	-303.744	1.348	-72.597	0.322
cpd45577	an alditol derivative	null	compound not in cache				
cpd45578	a modified sugar	null	compound not in cache				
cpd45579	an ultra-long-chain fatty alcohol	C27H55OR	compound not in cache				
cpd45580	a short-chain fatty alcohol	C3H7OR	compound not in cache				
cpd45581	a cyclitol	null	compound not in cache				
cpd45582	<i>N</i>-arachidonoyl-L-threonine	C24H38NO4	ok	1345.595	8.207	321.605	1.962
cpd45583	dihydroosmaronin	C11H19NO6	ok	-77.850	100003.991	-18.607	23901.527
cpd45584	HDM<sub>2</sub>BOA-glucoside	C17H23NO11	ok	-518.726	10.070	-123.978	2.407
cpd45585	<i>N</i>-arachidonoyl-L-lysine	C26H44N2O3	ok	1747.445	8.978	417.649	2.146
cpd45586	nhatrangin A	C21H31O8	ok	203.663	5.336	48.677	1.275
cpd45587	<i>N</i>-pyruvoyl-L-glutamate	C8H9NO6	ok	-562.430	2.291	-134.424	0.548
cpd45588	<i>N</i>-palmitoyl-L-tryptophan	C27H41N2O3	ok	1514.196	6.828	361.902	1.632
cpd45589	epidermin	C11H19NO6	ok	-76.910	100005.659	-18.382	23901.926
cpd45590	epiheterodendrin	C11H19NO6	ok	-75.577	100004.152	-18.063	23901.566
cpd45591	<i>N</i>-arachidonoyl-L-glutamine	C25H39N2O4	ok	1386.459	8.599	331.372	2.055
cpd45592	TRIMBOA-beta-D-glucoside	C15H19NO11	ok	-612.783	100007.064	-146.459	23902.262
cpd45593	1,2-dipalmitoyl-3-O-[beta-D-glucopyranosyl-(1->6)-O-beta-D-glucopyranosyl]-sn-glycerol	C47H88O15	ok	1669.341	12.300	398.982	2.940
cpd45594	<i>N</i>-palmitoyl-L-methionine	C21H40NO3S	ok	1283.155	7.144	306.682	1.708
cpd45595	<i>N</i>-oleoyl-L-histidine	C24H40N3O3	ok	1517.502	7.871	362.692	1.881
cpd45596	<i>N</i>-arachidonoyl-L-arginine	C26H44N4O3	ok	1804.444	9.712	431.272	2.321
cpd45597	<i>N</i>-[(3-palmitoyloxy)-palmitoyl]glycine	C34H64NO5	ok	2009.159	10.516	480.200	2.513
cpd45598	<i>N</i>-palmitoyl-L-glutamate	C21H37NO5	ok	792.954	5.947	189.520	1.421
cpd45599	<i>N</i>-oleoyl-L-aspartate	C22H37NO5	ok	878.253	6.279	209.907	1.501
cpd45600	dehydroluteothin	C22H23NO5	compound not in cache				
cpd45601	<i>N</i>-palmitoyl-L-arginine	C22H44N4O3	ok	1463.426	8.174	349.767	1.954
cpd45602	p-nitrophenyl-alpha-L-fucoside	C12H15NO7	ok	-35.293	100003.041	-8.435	23901.301
cpd45603	<i>N</i>-palmitoyl-L-asparagine	C20H37N2O4	ok	956.967	5.923	228.721	1.416
cpd45604	<i>N</i>-arachidonoyl-L-tyrosine	C29H40NO4	ok	1526.936	9.297	364.946	2.222
cpd45605	<i>N</i>-oleoyl-L-alanine	C21H38NO3	ok	1249.215	6.237	298.570	1.491
cpd45606	<i>N</i>-arachidonoyl-L-methionine	C25H40NO3S	ok	1624.356	9.558	388.230	2.285
cpd45607	2-keto-3-deoxyxylonate	null	compound not in cache				
cpd45608	<i>N</i>-palmitoyl-L-tyrosine	C25H40NO4	ok	1185.904	6.507	283.438	1.555
cpd45609	<i>N</i>-arachidonoyl-L-glutamate	C25H37NO5	ok	1133.980	8.424	271.028	2.013
cpd45610	ansamitocinoside P3	C37H51ClN2O14	compound not in cache				
cpd45611	<i>N</i>-arachidonoyl-L-proline	C25H38NO3	ok	1594.350	10.287	381.059	2.459
cpd45612	ansamitocinoside P4	C38H53ClN2O14	compound not in cache				
cpd45613	ansamitocinoside P2	C36H49ClN2O14	compound not in cache				
cpd45614	ansamitocinoside P1	C35H47ClN2O14	compound not in cache				
cpd45615	4''-carbamoyl-ansamitocinoside P3	C38H52ClN3O15	compound not in cache				
cpd45616	(+)-usnate	C18H15O7	undecomposable				
cpd45617	<i>N</i>-arachidonoyl-L-asparagine	C24H37N2O4	ok	1297.985	8.327	310.226	1.990
cpd45618	sennidin A	C30H16O10	ok	-683.121	33.522	-163.270	8.012
cpd45619	sennidin D	C30H19O9	ok	-379.408	33.522	-90.681	8.012
cpd45620	sennidin C	C30H19O9	ok	-379.408	33.522	-90.681	8.012
cpd45621	sennidin B	C30H16O10	ok	-671.834	29.125	-160.572	6.961
cpd45622	<i>N</i>-palmitoyl-L-histidine	C22H38N3O3	ok	1343.690	7.173	321.150	1.714
cpd45623	<i>N</i><sup>4</sup>-acetylcytosine	null	compound not in cache				
cpd45624	<i>N</i>-palmitoyl-L-leucine	C22H42NO3	ok	1343.343	6.422	321.067	1.535
cpd45625	<i>N</i>-palmitoyl-L-aspartate	C20H35NO5	ok	704.425	5.588	168.362	1.336
cpd45626	<i>N</i>-arachidonoyl-L-tryptophan	C31H41N2O3	ok	1855.400	9.071	443.451	2.168
cpd45627	2,3-dihydrotabersonine	C21H27N2O2	compound not in cache				
cpd45628	<i>N</i>-oleoyl-L-valine	C23H42NO3	ok	1428.825	6.814	341.497	1.629
cpd45629	(<i>S</i>)-N-methyltetrahydropalmatine	C22H28NO4	compound not in cache				
cpd45630	<i>N</i>-palmitoyl-L-threonine	C20H38NO4	ok	1004.434	5.492	240.065	1.313
cpd45631	<i>N</i>-arachidonoyl-L-isoleucine	C26H42NO3	ok	1684.394	9.019	402.580	2.156
cpd45632	<i>N</i>-palmitoyl-L-serine	C19H36NO4	ok	919.418	5.349	219.746	1.279
cpd45633	<i>N</i>-oleoyl-L-threonine	C22H40NO4	ok	1178.255	6.231	281.610	1.489
cpd45634	<i>N</i>-arachidonoyl-L-histidine	C26H38N3O3	ok	1684.714	9.702	402.656	2.319
cpd45635	<i>N</i>-oleoyl-L-proline	C23H40NO3	ok	1427.159	9.192	341.099	2.197
cpd45636	17-hydroxy-1-oxo-2,3-secoandrostan-3-oate	C19H29O4	ok	570.876	100024.591	136.443	23906.451
cpd45637	(2<i>S</i>)-4-propylidenepyrrolidine-2-carboxy-adenylate	C18H24N6O8P	ok	1086.159	100005.094	259.598	23901.791
cpd45638	4-chloro-2,5-dihydroxybenzoate	C7H4ClO4	ok	-481.904	4.144	-115.178	0.990
cpd45639	5-chloro-2,6-dihydroxybenzoate	C7H4ClO4	ok	-481.808	4.144	-115.155	0.990
cpd45640	D-glycero-alpha-D-galacto-heptose 1-phosphate	C7H13O10P	ok	-1374.778	1.367	-328.580	0.327
cpd45641	4-hydroxy-butan-2-one	C4H8O2	ok	38.446	0.816	9.189	0.195
cpd45642	3-tridecanone	C13H26O	ok	991.636	4.161	237.007	0.995
cpd45643	3-pentadecanone	C15H30O	compound not in cache				
cpd45644	1-hydroxy-1-phenylpropan-2-one	C9H10O2	ok	263.247	2.736	62.917	0.654
cpd45645	<i>P. gingivalis</i> O-LPS	C242H425N5O150P5R	compound not in cache				
cpd45646	hydrolyzed erythromycin A	C37H69NO14	ok	1088.788	100012.759	260.227	23903.623
cpd45647	[(2R)-2-aminopropan-3-yl]-amino-PLP	C11H14N3O8P	ok	-1190.903	59768.945	-284.633	14285.121
cpd45648	digitoxigenin didigitoxoside	C35H54O10	ok	984.245	200027.517	235.240	47807.724
cpd45649	alpha-acetyldigoxin	C43H66O15	ok	829.140	200028.647	198.169	47807.994
cpd45650	isopropyl beta-D-thiogalactopyranoside	C9H18O5S	ok	37.565	4.448	8.978	1.063
cpd45651	enterobacterial common antigen-phosphatidylglycerol	C101H150N12O68PR2	compound not in cache				
cpd45652	uncyclized xanthommatin	C20H18N4O8	ok	-80.881	100011.932	-19.331	23903.425
cpd45653	lanatoside A	C49H76O19	ok	739.624	200029.742	176.774	47808.256
cpd45654	ortho-nitrophenyl beta-D-glucopyranoside	C12H15NO8	compound not in cache				
cpd45655	purpurea glycoside A	C47H74O18	ok	793.337	200029.142	189.612	47808.112
cpd45656	gitaloxin	C42H64O15	ok	1030.747	223635.836	246.354	53450.248
cpd45657	gitoxigenin 3-O-beta-D-quinovoside	C29H44O9	ok	581.917	200025.584	139.081	47807.262
cpd45658	evatromonoside	C29H44O7	ok	917.730	200026.523	219.343	47807.486
cpd45659	D-ethionine	C6H13NO2S	ok	215.531	3.921	51.513	0.937
cpd45660	lanatoside C	C49H76O20	ok	571.717	200029.153	136.644	47808.115
cpd45661	deacetyl-lanatoside C	C47H74O19	ok	625.431	200028.564	149.481	47807.974
cpd45662	<i>N</i>-formylglycine	C3H4NO3	ok	-310.555	5.328	-74.224	1.273
cpd45663	singlet oxygen	O	undecomposable				
cpd45664	glucoevatromonoside	C35H54O12	ok	660.308	200026.834	157.817	47807.561
cpd45665	purpurea glycoside B	C47H74O19	ok	625.431	200028.564	149.481	47807.974
cpd45666	alpha-acetyldigitoxin	C43H66O14	ok	997.046	200029.239	238.300	47808.136
cpd45667	(16<i>R</i>)-hydroxy-<i>ent</i>-kauran-19-oate	C20H31O3	compound not in cache				
cpd45668	glucodigitoxigenin 3-O-beta-D-quinovoside	C35H54O13	ok	492.401	200026.340	117.687	47807.443
cpd45669	cyclic 2,3-bisphosphoglycerate	C3H3O9P2	ok	-262.917	100006.194	-62.839	23902.054
cpd45670	benzyl alcohol-7-O-beta-D-glucopyranoside	C13H18O6	ok	28.086	3.042	6.713	0.727
cpd45671	(6<i>R</i>)-6-hydroxysphingosine	C18H38NO3	ok	1225.766	5.089	292.965	1.216
cpd45672	montanine	C17H20NO4	compound not in cache				
cpd45673	fumaquinone	C17H18O5	ok	124.605	13.339	29.781	3.188
cpd45674	(1<i>R</i>,2<i>S</i>)-<i>N</i>-methylephedrine	C11H18NO	ok	743.569	100005.098	177.717	23901.792
cpd45675	<i>N</i>-(4-aminobutyl)-cadaverine	C9H26N3	ok	1051.684	6.356	251.358	1.519
cpd45676	caldophexamine	C15H43N6	ok	1804.924	18.462	431.387	4.413
cpd45677	4-iminobutan-1-amine	C4H12N2	ok	553.571	46296.465	132.307	11065.121
cpd45678	2-methylcyclohexanone	C7H12O	ok	346.666	6.538	82.855	1.563
cpd45679	1-hydroxy-1-phenyl-2-butanone	C10H12O2	ok	351.820	2.808	84.087	0.671
cpd45680	propyl 3-oxo-2-phenylbutanoate	C13H16O3	ok	384.352	3.692	91.862	0.882
cpd45681	isopropyl 4-chloroacetoacetate	C7H11ClO3	ok	-3.231	2.833	-0.772	0.677
cpd45682	propyl 2-acetylpentanoate	C10H18O3	ok	333.169	3.069	79.629	0.733
cpd45683	hexanophenone	C12H16O	compound not in cache				
cpd45684	propyl 2-methyl-3-oxobutanoate	C8H14O3	ok	156.022	2.702	37.290	0.646
cpd45685	decan-3-one	C10H20O	ok	725.916	3.080	173.498	0.736
cpd45686	1-(2-chlorophenyl)-1-hydroxy-4-phenylbutan-2-one	C16H15ClO2	ok	608.266	4.590	145.379	1.097
cpd45687	4-methylcyclohexanone	C7H12O	compound not in cache				
