# cache=data/modelseed_cache_msd/compounds.sqlite params=data/cc_params_msd.npz p_h=7.0 ionic_strength=0.25M p_mg=3.0 T=298.15K
compound_id	name	formula	status	dgf_prime_kJ_per_mol	uncertainty_kJ_per_mol	dgf_prime_kcal_per_mol	uncertainty_kcal_per_mol
cpd00181	Cobamide	C53H81CoN11O14PR2	compound not in cache				
cpd00182	Adenosine	C10H13N5O4	ok	338.467	1.454	80.896	0.348
cpd00183	Sarcosine	C3H7NO2	ok	-58.392	4.377	-13.956	1.046
cpd00184	Thymidine	C10H14N2O5	ok	2.784	4.284	0.665	1.024
cpd00185	D-Arabinose	C5H10O5	ok	-339.672	1.754	-81.183	0.419
cpd00186	D-Glutamate	C5H8NO4	ok	-366.905	2.481	-87.693	0.593
cpd00187	Methanamine	CH6N	ok	203.804	2.933	48.710	0.701
cpd00188	Arachidonate	C20H31O2	ok	1344.173	7.073	321.265	1.690
cpd00189	Methylene blue	C16H18ClN3S	undecomposable				
cpd00190	beta-D-Glucose	C6H12O6	ok	-425.201	1.129	-101.625	0.270
cpd00191	3-Oxopropanoate	C3H3O3	ok	-355.210	4.187	-84.897	1.001
cpd00192	4-Coumaroyl-CoA	C30H38N7O18P3S	ok	-1660.462	9.055	-396.860	2.164
cpd00193	APS	C10H12N5O10PS	ok	-1055.956	2.247	-252.380	0.537
cpd00194	Methyl viologen	C12H14Cl2N2	ok	946.629	11.120	226.250	2.658
cpd00195	1-Alcohol	CH3OR	compound not in cache				
cpd00196	Acetylphosphate	C2H3O5P	ok	-1107.956	1.118	-264.808	0.267
cpd00197	Protocatechuate	C7H5O4	ok	-421.372	4.155	-100.710	0.993
cpd00198	D-Xylulose5-phosphate	C5H9O8P	ok	-1235.931	1.237	-295.395	0.296
cpd00199	4-Oxobutanoate	C4H5O3	ok	-262.933	1.310	-62.843	0.313
cpd00200	4MOP	C6H9O3	ok	-82.681	2.261	-19.761	0.540
cpd00201	10-Formyltetrahydrofolate	C20H21N7O7	ok	236.067	46301.078	56.421	11066.223
cpd00202	DMAPP	C5H10O7P2	ok	-1431.744	3.142	-342.195	0.751
cpd00203	1,3-Bisphospho-D-glycerate	C3H4O10P2	ok	-2206.023	1.103	-527.252	0.264
cpd00204	CO	CHO	compound not in cache				
cpd00205	K+	K	undecomposable				
cpd00206	dCMP	C9H12N3O7P	ok	-706.938	4.451	-168.962	1.064
cpd00207	Guanine	C5H5N5O	ok	301.136	46300.879	71.973	11066.176
cpd00208	LACT	C12H22O11	ok	-678.049	1.841	-162.058	0.440
cpd00209	Nitrate	NO3	ok	-109.500	2.933	-26.171	0.701
cpd00210	Taurine	C2H7NO3S	ok	-515.396	70714.232	-123.183	16901.107
cpd00211	Butyrate	C4H7O2	ok	-68.211	2.933	-16.303	0.701
cpd00212	L-Sorbose	C6H12O6	ok	-425.700	3.435	-101.745	0.821
cpd00213	Lipoamide	C8H15NOS2	ok	523.339	7.177	125.081	1.715
cpd00214	Palmitate	C16H31O2	ok	1002.900	2.933	239.699	0.701
cpd00215	Pyridoxal	C8H9NO3	ok	41.768	3.785	9.983	0.905
cpd00216	Chorismate	C10H8O6	ok	-470.535	7.285	-112.461	1.741
cpd00217	Brachiose	C12H22O11	ok	-688.437	1.463	-164.540	0.350
cpd00218	Niacin	C6H4NO2	ok	-22.572	4.058	-5.395	0.970
cpd00219	Prephenate	C10H8O6	ok	-523.661	8.947	-125.158	2.138
cpd00220	Riboflavin	C17H20N4O6	ok	296.718	9.258	70.917	2.213
cpd00221	D-Lactate	C3H5O3	ok	-307.411	2.243	-73.473	0.536
cpd00222	GLCN	C6H11O7	ok	-680.909	2.933	-162.741	0.701
cpd00223	Glycerate	C3H5O4	ok	-463.977	1.013	-110.893	0.242
cpd00224	L-Arabinose	C5H10O5	ok	-356.162	1.495	-85.125	0.357
cpd00225	Benzaldehyde	C7H6O	ok	251.162	2.577	60.029	0.616
cpd00226	HYXN	C5H4N4O	ok	252.243	1.825	60.288	0.436
cpd00227	L-Homoserine	C4H9NO3	ok	-124.104	4.161	-29.661	0.994
cpd00228	Dithiothreitol	C4H10O2S2	ok	115.009	6.793	27.488	1.623
cpd00229	Glycolaldehyde	C2H4O2	ok	-129.128	1.649	-30.862	0.394
cpd00231	Dihydrobiopterin	C9H13N5O3	undecomposable				
cpd00232	Neu5Ac	C11H18NO9	ok	-631.494	2.448	-150.931	0.585
