seed_id	inchi_key	formula	reason	smiles
cpd02518	WUTOEZVIPGBMEA-UULJJINCSA-M	C25H31O11	creation failed	C=C1C[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C=C[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)[O-]
cpd02527	LCXMRSLFWMMCAS-GAYSYORFSA-N	C21H28O2	no pKas to build it	CC(=O)C1CCC2C3CCC4=CC(=O)CC[C@]4(C)C3=CC[C@]12C
cpd02540	XZNCTRIWEGPFDT-UHFFFAOYSA-N	C10H5O4	creation failed	O=C1[CH-]C(=O)c2cccc(O)c2C1=O
cpd02550	RTAWYPPHIMOINL-UHFFFAOYSA-O	C9H16N3O3	creation failed	CCCCC([N+]#N)(NC(C)=O)C(=O)OC
cpd02640	MUOHJTRCBBDUOW-QAGYXGDRSA-M	C24H31O8	creation failed	C[C@]12CC[C@@H]3c4ccc(O[C@H]5O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]5O)cc4CC[C@H]3[C@@H]1CC[C@H]2O
cpd02650	MNCVVTFLNVITRD-RLFCDOPRSA-O	C22H29N2O5	creation failed	CC[C@]12C=CC[NH+]3CC[C@@]4(c5ccc(O)cc5N(C)[C@H]4[C@@](O)(C(=O)OC)[C@@H]1O)[C@@H]32
cpd02735	KHPAKGUGOFYJNA-UHFFFAOYSA-N	C14H12O2S2	no pKas to build it	CC(=O)OCCC#Cc1ccc(-c2cccs2)s1
cpd02739	WYPDXFWWZAYSSN-XYGAWYNKSA-M	C27H30ClO15	creation failed	C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc4c(=O)cc(O)cc-4oc3-c3ccc(O)c(O)c3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O.[Cl-]
cpd02806	RGIIXLVKXLFDLP-UHFFFAOYSA-N	C16H14O4S2	no pKas to build it	CC(=O)OCC(C#Cc1ccc(-c2cccs2)s1)OC(C)=O
cpd02842	SGVUDYOELVPWOF-CHZBYTHKSA-J	C61H85CoN13O15P	creation failed	CC1=C2[N]3C(=C(CCC(N)=O)[C@]2(C)CC(N)=O)C=C2[N+]4=C(C(C)=C5[N]6[C@@H]7[C@H](CC(N)=O)[C@@]5(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]5[C@@H](O)[C@H](O[C@@H]5CO)[n+]5c[n](c8cc([O-])ccc85)[Co-3]364([CH3])[N+]3=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]73C)[C@@H](CCC(N)=O)C2(C)C
cpd02908	OJNNPYCENOVVSG-MWHWZGIKSA-M	C33H40ClO20	creation failed	C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc4c(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)cc(=O)cc-4oc3-c3ccc(O)c(O)c3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O.[Cl-]
cpd02919	BHYDXVJSMVVTCR-AONGSCPPSA-M	C32H44NO13	creation failed	CC(=O)N[C@H]1[C@@H](O[C@@H]2CC[C@H]3[C@@H]4CCc5cc(O[C@H]6O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]6O)ccc5[C@H]4CC[C@]23C)O[C@H](CO)[C@@H](O)[C@@H]1O
