id	compartment	direction	gfdir	type	base_cost	forward_cost	reverse_cost	complexes
rxn00605	c0|e0	=	=	conditional	2	0	0	mscpx.433
rxn00606	c0|e0	=	=	conditional	2	0	0	mscpx.921
rxn00607	c0|e0	>	=	conditional	2	0	0.6887	mscpx.423
rxn00608	c0|e0	>	=	conditional	3	0	0.6887	mscpx.341
rxn00609	c0|e0	=	=	conditional	4	0	0	mscpx.1478
rxn00611	c0|e0	=	=	conditional	2	0	0	mscpx.870
rxn00612	c0|e0	=	=	conditional	2	0	0	mscpx.870
rxn00614	c0|e0	>	=	conditional	2	0	-1.79497	mscpx.1647
rxn00615	c0|e0	=	=	conditional	2	0	0	mscpx.1227
rxn00616	c0|e0	=	=	conditional	2	0	0	mscpx.703|mscpx.704|mscpx.705|mscpx.706
rxn00621	c0|e0	=	=	conditional	2	0	0	mscpx.1249
rxn00623	c0|e0	=	=	conditional	2	0	0	mscpx.1642
rxn00629	c0|e0	=	=	conditional	2	0	0	mscpx.1812
rxn00634	c0|e0	=	=	conditional	2	0	0	mscpx.1364
rxn00638	c0|e0	=	=	conditional	2	0	0	mscpx.686
rxn00640	c0|e0	=	=	conditional	2	0	0	mscpx.256
rxn00641	c0|e0	=	=	conditional	2	0	0	mscpx.816
rxn00642	c0|e0	>	=	conditional	2	0	-0.3897	mscpx.1147
rxn00646	c0|e0	>	=	conditional	2	0	0.3646	mscpx.1042|mscpx.1043
rxn00649	c0|e0	>	=	conditional	2	0	-0.2954	mscpx.259|mscpx.260
rxn00650	c0|e0	=	=	conditional	2	0	0	mscpx.45|mscpx.46|mscpx.47|mscpx.48|mscpx.49|mscpx.50|mscpx.51|mscpx.52
rxn00654	c0|e0	>	=	conditional	2	0	1.2727	mscpx.1287
rxn00656	c0|e0	=	=	conditional	2	0	0	mscpx.395
rxn00669	c0|e0	=	=	conditional	2	0	0	mscpx.657|mscpx.658
rxn00670	c0|e0	=	=	conditional	2	0	0	mscpx.945
rxn00671	c0|e0	=	=	conditional	2	0	0	mscpx.296|mscpx.297
rxn00672	c0|e0	>	=	conditional	2	0	0.691	mscpx.1392|mscpx.1393|mscpx.1394
rxn00675	c0|e0	>	=	conditional	2	0	-1.4586	mscpx.848
rxn00676	c0|e0	=	=	conditional	2	0	0	mscpx.453|mscpx.454
rxn00679	c0|e0	<	=	conditional	2	2.0737	0	mscpx.1706
rxn00686	c0|e0	=	=	conditional	2	0	0	mscpx.942|mscpx.943|mscpx.944
rxn00689	c0|e0	>	=	conditional	2	0	0.3646	mscpx.439|mscpx.440
rxn00690	c0|e0	=	=	conditional	2	0	0	mscpx.575
rxn00691	c0|e0	>	=	conditional	2	0	0.4057	mscpx.1619
rxn00692	c0|e0	=	=	conditional	2	0	0	mscpx.1278
rxn00693	c0|e0	=	=	conditional	2	0	0	mscpx.684|mscpx.685
rxn00695	c0|e0	=	=	conditional	2	0	0	mscpx.1571
rxn00702	c0|e0	=	=	conditional	2	0	0	mscpx.1154
rxn00704	c0|e0	=	=	conditional	2	0	0	mscpx.472
rxn00707	c0|e0	=	=	conditional	2	0	0	mscpx.797
rxn00708	c0|e0	>	=	conditional	2	0	0.7683	mscpx.863
rxn00709	c0|e0	=	=	conditional	2	0	0	mscpx.111|mscpx.7
rxn00710	c0|e0	>	=	conditional	2	0	0.868	mscpx.474
rxn00711	c0|e0	<	=	conditional	2	1.301	0	mscpx.871
rxn00712	c0|e0	=	=	conditional	2	0	0	mscpx.7
rxn00713	c0|e0	=	=	conditional	2	0	0	mscpx.111|mscpx.7
rxn00714	c0|e0	>	=	conditional	2	0	0.0687	mscpx.675
rxn00715	c0|e0	=	=	conditional	2	0	0	mscpx.111|mscpx.7
rxn00717	c0|e0	>	=	conditional	2	0	0.4857	mscpx.487
rxn00720	c0|e0	=	=	conditional	2	0	0	mscpx.465
rxn00726	c0|e0	>	=	conditional	2	0	-2.9437	mscpx.924
rxn00727	c0|e0	>	=	conditional	2	0	-3.416	mscpx.924
rxn00737	c0|e0	>	=	conditional	2	0	0.43	mscpx.321|mscpx.322|mscpx.323|mscpx.324
rxn00740	c0|e0	>	=	conditional	2	0	0.0347	mscpx.168
rxn00742	c0|e0	>	=	conditional	2	0	0.8163	mscpx.1235
rxn00743	c0|e0	>	=	conditional	3	0	0.7683	mscpx.470
rxn00744	c0|e0	=	=	conditional	2	0	0	mscpx.83|mscpx.84|mscpx.85
rxn00745	c0|e0	=	=	conditional	3	0	0	mscpx.1134|mscpx.1135|mscpx.1138|mscpx.1139|mscpx.1140|mscpx.1141
rxn00747	c0|e0	=	=	conditional	2	0	0	mscpx.1808|mscpx.1809
rxn00748	c0|e0	>	=	conditional	2	0	-0.0833999999999999	mscpx.621
rxn00751	c0|e0	=	=	conditional	1	0	0	mscpx.1429
rxn00752	c0|e0	>	=	conditional	1	0	-1.64897	mscpx.1583
rxn00756	c0|e0	>	=	conditional	3	0	-0.6313	mscpx.1768
rxn00758	c0|e0	>	=	conditional	2	0	0.5187	mscpx.346|mscpx.347
rxn00762	c0|e0	=	=	conditional	2	0	0	mscpx.380
rxn00763	c0|e0	=	=	conditional	2	0	0	mscpx.893
rxn00768	c0|e0	>	=	conditional	2	0	0.0833	mscpx.176|mscpx.177|mscpx.178
rxn00769	c0|e0	>	=	conditional	2	0	-0.0977000000000001	mscpx.176|mscpx.177|mscpx.178
rxn00770	c0|e0	=	=	conditional	2	0	0	mscpx.1408
rxn00772	c0|e0	=	=	conditional	2	0	0	mscpx.821
rxn00775	c0|e0	>	=	conditional	4	0	0.0687	mscpx.1151
rxn00776	c0|e0	>	=	conditional	2	0	-0.1947	mscpx.985|mscpx.987
rxn00777	c0|e0	=	=	conditional	2	0	0	mscpx.1575|mscpx.1576
rxn00778	c0|e0	=	=	conditional	2	0	0	mscpx.598
rxn00779	c0|e0	>	=	conditional	2	0	0.0196999999999999	mscpx.1500
rxn00781	c0|e0	=	=	conditional	2	0	0	mscpx.1143|mscpx.837|mscpx.838
rxn00782	c0|e0	<	=	conditional	2	0.9644	0	mscpx.837|mscpx.838|mscpx.839
