ID	GC	EQ
cpd05809	-75.87|10.76	130.66|84667.75
cpd05810	-75.87|10.76	130.66|84667.75
cpd05811	-830.05|13.97	-159.89|84667.75
cpd05812	-275.81|11.06	5.33|84667.75
cpd05813	-657.73|10.24	-92.16|65669.17
cpd05814	-56.49|10.42	119.92|84667.75
cpd05815	-337.22|11.28	34.23|84667.75
cpd05816	10000000.0|10000000.0	nan
cpd05817	-764.56|13.67	nan
cpd05818	-234.6|12.81	206.64|100204.32
cpd05819	-567.71|13.52	51.12|100204.32
cpd05820	10000000.0|10000000.0	nan
cpd05821	10000000.0|10000000.0	nan
cpd05822	10000000.0|10000000.0	nan
cpd05823	10000000.0|10000000.0	nan
cpd05824	-160.41|4.35	57.28|23900.57
cpd05825	-86.0|3.21	6.12|23900.57
cpd05826	-478.18|13.07	-0.06|100204.32
cpd05827	-158.07|12.6	183.05|100204.32
cpd05828	-474.8|13.09	31.68|100204.32
cpd05829	-788.04|14.09	-105.64|100204.32
cpd05830	-750.59|14.09	-96.68|77731.87
cpd05831	10000000.0|10000000.0	nan
cpd05832	10000000.0|10000000.0	nan
cpd05833	10000000.0|10000000.0	nan
cpd05834	10000000.0|10000000.0	nan
cpd05835	10000000.0|10000000.0	nan
cpd05836	-482.39|13.5	59.10|100204.32
cpd05837	-488.68|13.07	3.42|100204.32
cpd05838	-121.61|12.64	nan
cpd05839	-353.95|13.04	111.22|100204.32
cpd05840	-553.81|10.95	141.42|75153.24
cpd05841	-431.56|10.31	164.47|75153.24
cpd05842	-431.56|10.31	165.56|75153.24
cpd05843	-447.6|12.82	46.54|100204.32
cpd05844	-86.0|3.21	5.98|23900.57
cpd05845	-535.12|10.81	113.75|75153.24
cpd05846	-108.52|12.67	nan
cpd05847	-190.27|3.78	86.49|23900.57
cpd05848	-432.47|13.06	26.98|100204.32
cpd05849	-238.26|12.81	150.90|100204.32
cpd05850	-360.51|13.08	126.76|100204.32
cpd05851	-324.28|13.08	164.17|100204.32
cpd05852	-644.85|14.11	35.86|100204.32
cpd05853	-188.12|12.7	169.64|100204.32
cpd05854	-557.21|13.53	48.03|100204.32
cpd05855	-676.5|13.55	-104.23|100204.32
cpd05856	-640.87|14.06	-2.45|100204.32
cpd05857	-551.82|10.89	121.20|75153.24
cpd05858	-574.7|13.5	16.69|100204.32
cpd05859	-557.21|13.53	48.03|100204.32
cpd05860	-283.47|12.79	98.89|100204.32
cpd05861	10000000.0|10000000.0	nan
cpd05862	10000000.0|10000000.0	nan
cpd05863	-947.64|15.57	-93.27|100204.32
cpd05864	-353.4|12.8	36.91|100204.32
cpd05865	-400.58|13.1	114.56|100204.32
cpd05866	10000000.0|10000000.0	nan
cpd05867	-148.33|12.6	120.63|100204.32
cpd05868	-148.36|12.63	144.41|100204.32
cpd05869	-840.69|14.11	-194.15|101619.51
cpd05870	-82.15|2.52	16.83|23900.57
cpd05871	10000000.0|10000000.0	nan
cpd05872	-503.04|13.52	103.92|100204.32
cpd05873	-1523.69|19.44	-335.54|100204.32
cpd05874	-962.14|14.99	-136.54|100204.32
cpd05875	-47.82|1.78	73.39|1.57
cpd05876	-78.39|12.64	nan
cpd05877	-61.97|2.04	122.61|1.96
cpd05878	-915.63|14.92	-138.85|100204.32
cpd05879	-560.82|13.55	44.95|100204.32
cpd05880	-441.95|13.07	37.35|100204.32
cpd05881	10000000.0|10000000.0	nan
cpd05882	-846.6|14.21	nan
cpd05883	-912.24|14.77	nan
cpd05884	-82.44|12.62	230.24|100204.32
cpd05885	-853.67|14.87	nan
cpd05886	-474.03|13.08	36.07|100204.32
cpd05887	10000000.0|10000000.0	nan
cpd05888	-7.98|1.75	113.88|1.59
cpd05889	-42.67|2.38	66.11|23900.57
cpd05890	-253.98|2.93	-40.00|23900.57
cpd05891	-200.63|5.86	-35.77|47801.15
cpd05892	-265.05|2.94	-102.19|23900.57
cpd05893	-191.73|3.85	18.43|4.88
cpd05894	2.09|2.04	278.91|2.38
cpd05895	-142.55|2.72	-112.19|23900.57
cpd05896	-147.67|3.22	4.01|23900.57
cpd05897	-89.88|2.08	-47.32|23900.57
cpd05898	-55.62|3.41	156.34|23900.57
cpd05899	-49.16|1.98	132.77|2.05
cpd05900	-180.76|3.52	nan
cpd05901	-47.78|1.98	85.25|1.92
cpd05902	-62.43|1.92	61.93|2.07
cpd05903	18.46|2.14	167.28|23900.57
cpd05904	-47.25|3.55	97.34|33800.52
cpd05905	-193.54|3.86	18.96|4.93
cpd05906	-87.64|3.41	25.45|47801.15
cpd05907	-257.52|4.1	-49.72|47801.15
cpd05908	-88.67|2.05	-6.51|23900.57
cpd05909	-194.97|3.84	-23.88|4.86
cpd05910	-65.81|3.35	77.25|23900.57
cpd05911	-72.61|2.22	nan
cpd05912	-111.44|3.22	41.42|23900.57
cpd05913	-16.2|1.88	93.61|1.76
cpd05914	-41.03|2.08	67.68|2.23
cpd05915	10000000.0|10000000.0	nan
cpd05916	10000000.0|10000000.0	-87.26|36983.13
cpd05917	10000000.0|10000000.0	117.38|22513.83
cpd05918	10000000.0|10000000.0	nan
cpd05919	10000000.0|10000000.0	159.19|28222.58
cpd05920	8.06|3.79	91.12|32834.59
cpd05921	10000000.0|10000000.0	nan
cpd05922	10000000.0|10000000.0	nan
cpd05923	10000000.0|10000000.0	nan
cpd05924	22.14|4.0	104.74|28222.58
cpd05925	-116.69|3.31	16.29|23900.57
cpd05926	-151.36|3.33	-25.20|23900.57
cpd05927	-52.37|3.36	168.60|23900.57
cpd05928	152.61|5.19	225.09|23900.57
cpd05929	91.5|2.99	250.59|25051.08
cpd05930	10000000.0|10000000.0	nan
cpd05931	10000000.0|10000000.0	nan
cpd05932	10000000.0|10000000.0	212.52|36983.13
cpd05933	-16.77|3.82	65.19|32834.59
cpd05934	10000000.0|10000000.0	nan
cpd05935	10000000.0|10000000.0	nan
cpd05936	10000000.0|10000000.0	nan
cpd05937	10000000.0|10000000.0	nan
cpd05938	10000000.0|10000000.0	nan
cpd05939	10000000.0|10000000.0	nan
cpd05940	-106.94|3.01	-11.14|23900.57
cpd05941	10000000.0|10000000.0	nan
cpd05942	-27.52|4.12	52.88|28222.58
cpd05943	-105.31|2.9	-13.97|23900.57
cpd05944	-61.93|4.99	135.29|23900.57
cpd05945	-62.81|3.29	51.38|47801.15
cpd05946	10000000.0|10000000.0	nan
cpd05947	91.13|2.09	319.24|2.62
cpd05948	71.13|1.93	248.18|1.59
cpd05949	-59.78|3.12	153.42|33800.52
cpd05950	121.74|2.52	298.91|2.34
cpd05951	-263.35|9.67	8.36|75951.91
cpd05952	-13.99|2.51	289.55|23900.57
cpd05953	8.76|2.6	196.34|15009.22
cpd05954	-204.18|6.71	92.80|48386.66
cpd05955	-128.15|3.82	nan
cpd05956	-45.14|3.02	99.91|33800.52
cpd05957	10000000.0|10000000.0	nan
cpd05958	10000000.0|10000000.0	nan
cpd05959	10000000.0|10000000.0	nan
cpd05960	10000000.0|10000000.0	nan
cpd05961	-246.15|13.02	68.88|56445.16
cpd05962	10000000.0|10000000.0	nan
cpd05963	-84.24|6.95	3.71|56445.16
cpd05964	-250.07|9.74	42.09|32834.59
cpd05965	10000000.0|10000000.0	nan
cpd05966	-278.56|7.53	nan
cpd05967	-202.46|3.72	94.00|34623.61
cpd05968	10000000.0|10000000.0	306.69|3.39
cpd05969	10000000.0|10000000.0	nan
cpd05970	-380.12|7.61	-67.94|52837.70
cpd05971	-201.27|7.48	28.69|52837.70
cpd05972	-239.4|9.31	86.61|48386.66
cpd05973	10000000.0|10000000.0	nan
cpd05974	-248.69|5.31	101.97|32834.59
cpd05975	-58.43|6.38	132.48|50102.16
cpd05976	10000000.0|10000000.0	nan
cpd05977	10000000.0|10000000.0	nan
cpd05978	10000000.0|10000000.0	nan
cpd05979	134.15|2.77	279.20|2.82
cpd05980	10000000.0|10000000.0	nan
cpd05981	10000000.0|10000000.0	nan
cpd05982	-213.26|9.67	19.39|32834.59
cpd05983	10000000.0|10000000.0	nan
cpd05984	10000000.0|10000000.0	nan
cpd05985	84.62|2.55	198.73|2.94
cpd05986	10000000.0|10000000.0	nan
cpd05987	-139.31|7.39	82.53|38371.14
cpd05988	4.41|3.71	nan
cpd05989	-206.53|4.44	45.85|32834.59
cpd05990	65.59|2.03	390.79|2.23
cpd05991	10000000.0|10000000.0	nan
cpd05992	10000000.0|10000000.0	nan
cpd05993	138.19|7.15	nan
cpd05994	10000000.0|10000000.0	105.48|33800.52
cpd05995	-272.29|3.11	-117.32|2.44
cpd05996	10000000.0|10000000.0	nan
cpd05997	10000000.0|10000000.0	nan
cpd05998	10000000.0|10000000.0	nan
cpd05999	10000000.0|10000000.0	nan
cpd06000	10000000.0|10000000.0	nan
cpd06001	10000000.0|10000000.0	nan
cpd06002	-121.34|4.63	nan
cpd06003	10000000.0|10000000.0	nan
cpd06004	10000000.0|10000000.0	nan
cpd06005	10000000.0|10000000.0	nan
cpd06006	-54.52|6.41	149.95|28222.58
cpd06007	10000000.0|10000000.0	nan
cpd06008	10000000.0|10000000.0	nan
cpd06009	10000000.0|10000000.0	nan
cpd06010	10000000.0|10000000.0	nan
cpd06011	10000000.0|10000000.0	nan
cpd06012	-161.91|3.27	nan
cpd06013	10000000.0|10000000.0	nan
cpd06014	-11.31|4.06	nan
cpd06015	10000000.0|10000000.0	60.18|32834.59
cpd06016	10000000.0|10000000.0	nan
cpd06017	10000000.0|10000000.0	nan
cpd06018	10000000.0|10000000.0	nan
cpd06019	-202.41|3.09	152.98|23900.57
cpd06020	6.24|4.05	251.87|25051.08
cpd06021	10000000.0|10000000.0	48.70|22513.83
cpd06022	-266.52|3.11	-94.08|23900.57
cpd06023	-183.78|13.13	150.55|56445.16
cpd06024	10000000.0|10000000.0	nan
cpd06025	10000000.0|10000000.0	nan
cpd06026	70.64|2.87	174.65|2.38
cpd06027	10000000.0|10000000.0	242.12|23900.57
cpd06028	10000000.0|10000000.0	nan
cpd06029	125.92|7.07	nan
cpd06030	10000000.0|10000000.0	nan
cpd06031	10000000.0|10000000.0	nan
cpd06032	10000000.0|10000000.0	nan
cpd06033	-56.21|2.69	278.42|2.12
cpd06034	10000000.0|10000000.0	nan
cpd06035	10000000.0|10000000.0	nan
cpd06036	10000000.0|10000000.0	380.98|3.54
cpd06037	-167.63|3.22	54.95|33800.52
cpd06038	135.12|4.71	227.55|3.21
cpd06039	-160.09|7.27	nan
cpd06040	10000000.0|10000000.0	nan
cpd06041	-73.79|6.82	nan
cpd06042	10000000.0|10000000.0	nan
cpd06043	-112.51|4.44	183.50|23900.57
cpd06044	-6.53|3.91	149.15|32834.59
cpd06045	10000000.0|10000000.0	nan
cpd06046	-116.23|6.45	146.33|48386.66
cpd06047	10000000.0|10000000.0	nan
cpd06048	10000000.0|10000000.0	nan
cpd06049	-269.7|9.76	175.85|32834.59
cpd06050	98.77|3.98	234.11|3.38
cpd06051	-181.25|9.62	-61.21|22513.83
cpd06052	10000000.0|10000000.0	nan
cpd06053	-219.89|9.72	148.32|32834.59
cpd06054	-51.23|3.55	227.06|23900.57
cpd06055	-11.31|4.06	136.40|32834.59
cpd06056	10000000.0|10000000.0	160.70|25051.08
cpd06057	10000000.0|10000000.0	nan
cpd06058	10000000.0|10000000.0	316.62|23900.57
cpd06059	-75.04|3.7	nan
cpd06060	10000000.0|10000000.0	348.83|23900.57
cpd06061	-22.41|2.99	205.07|33800.52
cpd06062	10000000.0|10000000.0	nan
cpd06063	10000000.0|10000000.0	294.93|23900.57
cpd06064	10000000.0|10000000.0	nan
cpd06065	10000000.0|10000000.0	nan
cpd06066	-55.65|3.98	nan
cpd06067	-74.84|3.65	nan
cpd06068	10000000.0|10000000.0	nan
cpd06069	10000000.0|10000000.0	nan
cpd06070	10000000.0|10000000.0	nan
cpd06071	-82.0|3.44	181.55|25051.08
cpd06072	-45.75|3.86	nan
cpd06073	10000000.0|10000000.0	nan
cpd06074	-164.96|6.44	2.73|15009.22
cpd06075	10000000.0|10000000.0	nan
cpd06076	10000000.0|10000000.0	nan
cpd06077	10000000.0|10000000.0	35.79|67601.03
cpd06078	-33.79|4.2	nan
cpd06079	-37.43|3.56	nan
cpd06080	10000000.0|10000000.0	nan
cpd06081	10000000.0|10000000.0	nan
cpd06082	-49.54|3.81	-88.45|30018.44
cpd06083	112.31|3.65	246.88|3.75
cpd06084	-19.99|3.73	nan
cpd06085	10000000.0|10000000.0	nan
cpd06086	-90.7|3.79	-106.29|30018.44
cpd06087	52.13|2.07	319.65|2.58
cpd06088	10000000.0|10000000.0	nan
cpd06089	10000000.0|10000000.0	nan
cpd06090	-40.02|4.06	61.76|32834.59
cpd06091	10000000.0|10000000.0	nan
cpd06092	-45.03|4.0	77.30|32834.59
cpd06093	10000000.0|10000000.0	nan
cpd06094	10000000.0|10000000.0	nan
cpd06095	10000000.0|10000000.0	nan
cpd06096	10000000.0|10000000.0	nan
cpd06097	10000000.0|10000000.0	nan
cpd06098	10000000.0|10000000.0	nan
cpd06099	10000000.0|10000000.0	nan
cpd06100	-54.47|2.66	256.73|2.01
cpd06101	-264.63|2.39	-75.70|23900.57
cpd06102	10000000.0|10000000.0	nan
cpd06103	10000000.0|10000000.0	nan
cpd06104	98.08|2.56	174.72|1.98
cpd06105	-93.77|2.87	nan
cpd06106	190.9|10.59	nan
cpd06107	10000000.0|10000000.0	56.21|33800.52
cpd06108	31.7|2.51	158.49|23900.57
cpd06109	10000000.0|10000000.0	nan
cpd06110	10000000.0|10000000.0	nan
cpd06111	-136.63|3.51	52.61|47801.15
cpd06112	10000000.0|10000000.0	nan
cpd06113	10000000.0|10000000.0	nan
cpd06114	10000000.0|10000000.0	nan
cpd06115	76.26|4.03	313.57|3.56
cpd06116	-42.09|2.35	133.48|2.35
cpd06117	7.57|2.05	185.37|1.77
cpd06118	-6.09|3.61	nan
cpd06119	-15.1|3.69	nan
cpd06120	-21.66|3.69	nan
cpd06121	2.58|3.1	200.33|25051.08
cpd06122	-71.68|4.52	nan
cpd06123	15.99|2.77	103.42|2.48
cpd06124	196.15|5.23	432.43|25051.08
cpd06125	99.99|3.93	234.09|3.38
cpd06126	63.62|3.16	177.47|23900.57
cpd06127	-64.2|3.69	nan
cpd06128	320.86|17.64	nan
cpd06129	255.88|14.12	nan
cpd06130	10000000.0|10000000.0	333.21|41397.01
cpd06131	-52.33|3.9	nan
cpd06132	125.58|6.61	nan
cpd06133	106.84|4.14	184.66|23900.57
cpd06134	10000000.0|10000000.0	nan
cpd06135	167.42|5.19	258.07|23900.57
cpd06136	22.14|4.0	104.74|28222.58
cpd06137	10000000.0|10000000.0	nan
cpd06138	59.79|2.58	172.80|2.93
cpd06139	10000000.0|10000000.0	nan
cpd06140	42.25|2.62	79.61|23900.57
cpd06141	10000000.0|10000000.0	nan
cpd06142	7.56|6.85	181.04|15009.22
cpd06143	69.38|4.12	301.04|25051.08
cpd06144	248.05|5.51	442.53|5.24
cpd06145	230.12|5.14	452.37|25051.08
cpd06146	10000000.0|10000000.0	nan
cpd06147	10000000.0|10000000.0	nan
cpd06148	10000000.0|10000000.0	nan
cpd06149	10000000.0|10000000.0	nan
cpd06150	10000000.0|10000000.0	nan
cpd06151	-0.6|3.82	91.35|32834.59
cpd06152	-410.73|4.67	-32.04|23900.57
cpd06153	-107.87|3.0	141.06|23900.57
cpd06154	-93.72|2.89	91.85|23900.57
cpd06155	-205.41|3.06	89.77|23900.57
cpd06156	-161.86|3.29	149.80|23900.57
cpd06157	-222.3|3.87	45.09|23900.57
cpd06158	-106.15|1.79	-4.95|23900.57
cpd06159	-264.63|2.39	-75.78|23900.57
cpd06160	-130.98|1.95	-30.78|23900.57
cpd06161	-289.46|2.58	-101.85|23900.57
cpd06162	-71.04|2.95	195.12|23900.57
cpd06163	-52.02|1.77	67.74|23900.57
cpd06164	-43.5|3.1	157.15|33800.52
cpd06165	-185.16|3.12	87.78|23900.57
cpd06166	-116.33|2.07	-7.43|23900.57
cpd06167	-107.92|2.99	140.27|23900.57
cpd06168	-72.97|3.17	99.85|23900.57
cpd06169	10000000.0|10000000.0	nan
cpd06170	-71.12|2.75	209.94|23900.57
cpd06171	-93.77|2.87	89.95|23900.57
cpd06172	-143.3|4.28	-17.76|34623.61
cpd06173	-93.77|2.87	89.95|23900.57
cpd06174	-252.25|3.57	29.50|23900.57
cpd06175	-27.18|1.91	170.57|23900.57
cpd06176	-13.74|2.05	251.37|23900.57
cpd06177	-82.19|3.81	114.46|33800.52
cpd06178	-67.73|2.99	136.48|33800.52
cpd06179	-185.21|3.11	86.98|23900.57
cpd06180	-94.8|3.19	48.05|33800.52
cpd06181	10000000.0|10000000.0	nan
cpd06182	-47.59|2.86	-72.27|30018.44
cpd06183	-155.99|6.55	-154.79|38371.14
cpd06184	3.15|4.35	41.30|32834.59
cpd06185	10000000.0|10000000.0	1.08|15009.22
cpd06186	-79.43|5.78	-121.37|44488.39
cpd06187	-40.5|4.58	-13.09|32834.59
cpd06188	-117.79|4.6	-66.38|32834.59
cpd06189	10000000.0|10000000.0	nan
cpd06190	-55.4|4.66	10.71|32834.59
cpd06191	-313.64|3.95	-80.01|30018.44
cpd06192	10000000.0|10000000.0	1.08|15009.22
cpd06193	-119.68|8.13	-99.38|32834.59
cpd06194	-154.02|4.07	-55.78|32834.59
cpd06195	-40.5|4.58	-13.09|32834.59
cpd06196	-47.96|2.74	-51.44|30018.44
cpd06197	10000000.0|10000000.0	nan
cpd06198	-95.92|5.38	-151.05|44488.39
cpd06199	10000000.0|10000000.0	8.44|15009.22
cpd06200	-45.14|3.02	99.91|33800.52
cpd06201	-71.9|0.5	-71.87|0.71
cpd06202	-185.16|3.12	87.78|23900.57
cpd06203	-108.49|2.99	183.41|23900.57
cpd06204	-291.73|3.59	nan
cpd06205	-185.16|3.12	87.78|23900.57
cpd06206	-76.85|1.96	41.81|23900.57
cpd06207	-48.14|3.13	125.78|23900.57
cpd06208	-101.68|2.28	15.88|23900.57
cpd06209	-47.59|2.96	158.87|33800.52
cpd06210	-66.67|1.72	44.28|23900.57
cpd06211	-205.41|3.06	89.77|23900.57
cpd06212	-48.14|3.13	125.78|23900.57
cpd06213	-55.8|3.36	84.03|3.33
cpd06214	-64.13|2.76	159.10|3.21
cpd06215	-118.82|2.25	-30.88|2.66
cpd06216	13.0|1.79	124.58|1.32
cpd06217	10000000.0|10000000.0	nan
cpd06218	10000000.0|10000000.0	nan
cpd06219	-87.54|4.45	32.64|4.36
cpd06220	10000000.0|10000000.0	nan
cpd06221	-4.25|3.61	81.59|23900.57
cpd06222	-33.0|3.93	195.84|25051.08
cpd06223	69.38|4.12	301.02|25051.08
cpd06224	50.67|3.74	119.55|23900.57
cpd06225	-217.63|3.73	nan
cpd06226	-61.4|4.04	61.21|15009.22
cpd06227	nan	nan
cpd06228	10000000.0|10000000.0	nan
cpd06229	10000000.0|10000000.0	nan
cpd06230	-27.17|3.56	194.46|4.23
cpd06231	-43.23|4.82	99.03|4.71
cpd06232	-58.77|2.5	118.43|25051.08
cpd06233	10000000.0|10000000.0	nan
cpd06234	10000000.0|10000000.0	nan
cpd06235	10000000.0|10000000.0	nan
cpd06236	10000000.0|10000000.0	99.33|7504.61
cpd06237	6.99|2.29	163.13|3.19
cpd06238	10000000.0|10000000.0	7.95|23900.57
cpd06239	-97.16|3.77	-59.86|32834.59
cpd06240	10000000.0|10000000.0	50.51|15009.22
cpd06241	-119.27|5.79	-161.86|44488.39
cpd06242	10000000.0|10000000.0	13.76|23900.57
cpd06243	11.2|1.97	72.82|2.13
cpd06244	10000000.0|10000000.0	-26.69|32834.59
cpd06245	-20.59|6.7	139.31|48386.66
cpd06246	10000000.0|10000000.0	-81.64|32834.59
cpd06247	10000000.0|10000000.0	nan
cpd06248	10000000.0|10000000.0	-64.80|32834.59
cpd06249	10000000.0|10000000.0	nan
cpd06250	10000000.0|10000000.0	5.37|15009.22
cpd06251	10000000.0|10000000.0	-20.23|15009.22
cpd06252	10000000.0|10000000.0	nan
cpd06253	10000000.0|10000000.0	nan
cpd06254	-177.49|5.57	-169.95|30018.44
cpd06255	-47.52|4.6	27.81|23900.57
cpd06256	10000000.0|10000000.0	4.37|15009.22
cpd06257	10000000.0|10000000.0	-17.50|15009.22
cpd06258	10000000.0|10000000.0	-133.66|38371.14
cpd06259	-104.22|6.26	6.92|3.78
cpd06260	10000000.0|10000000.0	nan
cpd06261	10000000.0|10000000.0	nan
cpd06262	10000000.0|10000000.0	nan
cpd06263	10000000.0|10000000.0	nan
cpd06264	10000000.0|10000000.0	nan
cpd06265	10000000.0|10000000.0	nan
cpd06266	-44.56|3.77	94.84|5.48
cpd06267	-104.22|6.26	6.92|3.78
cpd06268	-162.17|6.76	-64.64|28222.58
cpd06269	-126.8|4.59	-57.27|32834.59
cpd06270	9.6|1.86	137.27|3.05
cpd06271	-25.14|4.01	52.70|32834.59
cpd06272	-19.73|3.49	120.71|5.02
cpd06273	-49.51|4.6	-3.98|32834.59
cpd06274	10000000.0|10000000.0	-158.72|60769.48
cpd06275	10000000.0|10000000.0	nan
cpd06276	-97.5|6.76	-3.18|28222.58
cpd06277	10000000.0|10000000.0	86.34|15009.22
cpd06278	-4.09|4.61	36.79|32834.59
cpd06279	21.55|5.96	41.45|32834.59
cpd06280	-64.86|7.36	-104.00|30018.44
cpd06281	-49.51|4.6	-3.98|32834.59
cpd06282	67.48|7.31	-14.28|30018.44
cpd06283	10000000.0|10000000.0	-108.27|30018.44
cpd06284	10000000.0|10000000.0	nan
cpd06285	6.92|3.77	244.76|25051.08
cpd06286	10000000.0|10000000.0	nan
cpd06287	-47.59|3.61	-120.28|30018.44
cpd06288	-111.52|5.27	nan
cpd06289	-47.59|2.86	-72.27|30018.44
cpd06290	10000000.0|10000000.0	17.17|15009.22
cpd06291	10000000.0|10000000.0	nan
cpd06292	10000000.0|10000000.0	-291.32|57713.75
cpd06293	10000000.0|10000000.0	nan
cpd06294	-32.41|3.86	54.32|32834.59
cpd06295	10000000.0|10000000.0	nan
cpd06296	10000000.0|10000000.0	-200.16|44488.39
cpd06297	10000000.0|10000000.0	-160.25|44488.39
cpd06298	10000000.0|10000000.0	-180.82|44488.39
cpd06299	-4.27|5.93	-23.69|32834.59
cpd06300	10000000.0|10000000.0	nan
cpd06301	41.84|5.47	-18.94|30018.44
cpd06302	10000000.0|10000000.0	nan
cpd06303	3.15|4.35	41.30|32834.59
cpd06304	-33.05|3.86	45.76|32834.59
cpd06305	10000000.0|10000000.0	nan
cpd06306	10000000.0|10000000.0	nan
cpd06307	10000000.0|10000000.0	-51.32|32834.59
cpd06308	10000000.0|10000000.0	-9.87|32834.59
cpd06309	-127.7|3.05	23.87|15009.22
cpd06310	10000000.0|10000000.0	nan
cpd06311	-183.36|4.66	-97.67|22513.83
cpd06312	-220.81|4.71	-110.47|22513.83
cpd06313	10000000.0|10000000.0	nan
cpd06314	34.3|4.86	315.66|6.90
cpd06315	35.03|3.83	244.21|25051.08
cpd06316	21.57|3.94	268.07|25051.08
cpd06317	10000000.0|10000000.0	nan
cpd06318	10000000.0|10000000.0	nan
cpd06319	10000000.0|10000000.0	nan
cpd06320	-227.01|7.52	-170.22|38371.14
cpd06321	10000000.0|10000000.0	55.90|7504.61
cpd06322	10000000.0|10000000.0	1.30|15009.22
cpd06323	10000000.0|10000000.0	-36.11|15009.22
cpd06324	10000000.0|10000000.0	nan
cpd06325	-37.96|4.69	66.42|4.48
cpd06326	10000000.0|10000000.0	-7.43|15009.22
cpd06327	10000000.0|10000000.0	-33.03|15009.22
cpd06328	10000000.0|10000000.0	-52.29|32834.59
cpd06329	-161.86|7.22	-82.51|32834.59
cpd06330	-199.31|7.26	-95.31|32834.59
cpd06331	10000000.0|10000000.0	2.23|15009.22
cpd06332	10000000.0|10000000.0	1.30|15009.22
cpd06333	-21.28|3.74	109.86|4.84
cpd06334	10000000.0|10000000.0	-41.39|15009.22
cpd06335	10000000.0|10000000.0	45.85|15009.22
cpd06336	10000000.0|10000000.0	nan
cpd06337	10000000.0|10000000.0	20.25|15009.22
cpd06338	-205.51|10.58	-155.05|56445.16
cpd06339	-62.04|5.35	nan
cpd06340	-29.88|1.98	87.83|3.16
cpd06341	10000000.0|10000000.0	nan
cpd06342	-205.51|10.58	-155.05|56445.16
cpd06343	-143.63|8.37	-122.43|38371.14
cpd06344	-108.85|5.42	-126.44|44488.39
cpd06345	-79.67|4.59	-54.42|32834.59
cpd06346	-170.56|4.17	-35.88|32834.59
cpd06347	-134.33|4.68	-46.47|32834.59
cpd06348	-49.31|5.47	-85.50|30018.44
cpd06349	4.73|4.41	35.16|32834.59
cpd06350	-112.4|4.01	-102.96|30018.44
cpd06351	-98.02|2.82	-95.88|30018.44
cpd06352	10000000.0|10000000.0	nan
cpd06353	10000000.0|10000000.0	nan
cpd06354	10000000.0|10000000.0	nan
cpd06355	-0.68|1.87	96.29|2.61
cpd06356	10000000.0|10000000.0	nan
cpd06357	-87.54|4.45	50.35|3.74
cpd06358	10000000.0|10000000.0	-148.30|32834.59
cpd06359	-319.86|3.34	0.74|2.28
cpd06360	10000000.0|10000000.0	-189.75|32834.59
cpd06361	10000000.0|10000000.0	80.05|15009.22
cpd06362	10000000.0|10000000.0	-102.20|32834.59
cpd06363	-178.65|3.73	-19.19|30018.44
cpd06364	-231.2|8.48	-208.21|60769.48
cpd06365	-58.13|5.9	-39.52|32834.59
cpd06366	-106.78|2.17	1.61|1.93
cpd06367	-43.42|5.44	-100.19|30018.44
cpd06368	-80.34|4.57	-53.58|32834.59
cpd06369	10000000.0|10000000.0	nan
cpd06370	10000000.0|10000000.0	-33.03|15009.22
cpd06371	19.49|7.64	-13.47|22513.83
cpd06372	10000000.0|10000000.0	nan
cpd06373	-262.29|3.3	-87.20|2.84
cpd06374	-111.37|3.97	-45.83|2.93
cpd06375	-152.13|4.04	-81.24|32834.59
cpd06376	-124.72|6.39	-1.69|28222.58
cpd06377	-132.51|4.68	-51.93|32834.59
cpd06378	-115.01|2.99	-2.84|15009.22
cpd06379	21.55|5.96	41.45|32834.59
cpd06380	-133.39|3.77	-97.27|32834.59
cpd06381	-201.95|3.6	-81.21|30018.44
cpd06382	-154.02|4.07	-55.78|32834.59
cpd06383	-18.29|5.92	0.96|32834.59
cpd06384	-87.43|3.6	-160.76|30018.44
cpd06385	-127.49|3.72	-146.13|30018.44
cpd06386	10000000.0|10000000.0	54.80|15009.22
cpd06387	10000000.0|10000000.0	nan
cpd06388	10000000.0|10000000.0	-38.13|28222.58
cpd06389	-123.19|4.62	-56.33|32834.59
cpd06390	10000000.0|10000000.0	nan
cpd06391	-117.79|4.6	-66.38|32834.59
cpd06392	10000000.0|10000000.0	-39.49|32834.59
cpd06393	-87.58|7.46	-76.24|56445.16
cpd06394	-134.07|2.89	-103.10|30018.44
cpd06395	10000000.0|10000000.0	nan
cpd06396	10000000.0|10000000.0	-254.39|30018.44
cpd06397	-221.77|13.07	-198.40|56445.16
cpd06398	-30.36|4.0	-78.45|30018.44
cpd06399	-80.34|4.57	-53.58|32834.59
cpd06400	-24.85|2.15	82.17|2.03
cpd06401	10000000.0|10000000.0	-58.75|56445.16
cpd06402	-26.29|3.6	-51.30|30018.44
cpd06403	10000000.0|10000000.0	nan
cpd06404	-130.72|4.13	6.23|32834.59
cpd06405	10000000.0|10000000.0	nan
cpd06406	10000000.0|10000000.0	-301.91|57713.75
cpd06407	10000000.0|10000000.0	-22.00|15009.22
cpd06408	10000000.0|10000000.0	-1.44|15009.22
cpd06409	-134.33|4.68	-46.47|32834.59
cpd06410	-127.77|4.68	-68.15|32834.59
cpd06411	-127.77|4.68	-68.15|32834.59
cpd06412	10000000.0|10000000.0	-17.16|28222.58
cpd06413	10000000.0|10000000.0	54.58|15009.22
