ID	GF	EQ
cpd00323	-59.36|1.15	32.33|2.02
cpd00324	-4.39|0.65	36.05|0.84
cpd00325	-15.54|6.88	98.55|56445.16
cpd00326	-820.49|3.93	-451.28|2.61
cpd00327	-759.91|3.99	-104.69|2.59
cpd00328	-354.02|4.91	64.22|2.94
cpd00329	-14.2|1.27	70.77|1.34
cpd00330	-109.12|3.01	-2.73|16170.40
cpd00331	-222.28|0.75	-191.51|0.38
cpd00332	-157.77|0.5	-48.29|0.30
cpd00333	-32.27|1.04	37.69|0.77
cpd00334	-70.47|0.28	-10.33|0.33
cpd00335	-197.74|1.11	nan
cpd00336	10000000.0|10000000.0	102.01|28222.58
cpd00337	-70.08|1.48	-2.79|0.77
cpd00338	-112.89|0.39	-26.48|0.34
cpd00339	-82.87|0.42	22.87|0.40
cpd00340	-136.2|0.37	-89.69|0.35
cpd00341	-44.23|1.03	103.08|0.89
cpd00342	-115.26|0.76	21.16|0.90
cpd00343	-203.96|0.99	-136.69|1.11
cpd00344	-157.18|1.48	-51.29|11521.82
cpd00345	-101.7|2.85	42.55|16170.40
cpd00346	-113.05|0.33	-40.00|0.90
cpd00347	-97.0|3.12	14.52|16170.40
cpd00348	-430.78|1.51	-312.23|0.31
cpd00349	-678.84|0.89	-543.17|0.49
cpd00350	-383.0|1.53	-134.34|1.76
cpd00351	-229.72|1.15	-46.49|0.90
cpd00352	-56.09|1.01	28.91|1.12
cpd00353	-279.02|0.48	-229.08|0.48
cpd00354	10000000.0|10000000.0	nan
cpd00355	-337.74|2.01	-202.92|1.68
cpd00356	-721.54|1.85	-585.58|1.21
cpd00357	-774.34|1.78	-628.78|1.27
cpd00358	-773.93|1.81	-648.33|1.24
cpd00359	54.41|1.59	121.01|0.53
cpd00360	73.57|2.76	109.68|0.81
cpd00361	-72.12|0.35	7.93|0.30
cpd00362	-16.98|4.32	53.45|32834.59
cpd00363	-43.44|0.5	15.84|0.23
cpd00364	-32.56|1.62	-3.65|2.01
cpd00365	70.9|2.67	354.17|2.51
cpd00366	-189.02|0.8	-73.12|0.32
cpd00367	-132.88|1.93	2.86|0.94
cpd00368	-179.54|0.71	-83.56|0.24
cpd00369	-184.59|9.47	118.67|52837.70
cpd00370	-157.6|1.57	-77.04|0.50
cpd00371	-32.43|0.22	26.53|0.20
cpd00372	33.78|1.22	nan
cpd00373	-121.41|1.69	-65.22|1.71
cpd00374	-10.89|0.89	94.52|0.67
cpd00375	10000000.0|10000000.0	nan
cpd00376	-3.16|7.16	241.29|4.40
cpd00378	-28.36|0.37	-8.62|1.45
cpd00379	-161.34|0.34	-102.32|0.36
cpd00380	-143.56|0.61	-103.27|0.38
cpd00381	-159.61|1.33	-42.47|0.72
cpd00382	-536.13|4.25	-224.30|0.90
cpd00383	-171.29|0.95	-95.94|1.17
cpd00384	-183.56|3.34	196.47|2.35
cpd00385	-182.98|2.92	-91.73|3.36
cpd00386	-201.0|0.31	-164.86|1.03
cpd00387	-622.63|3.92	-399.84|0.50
cpd00388	-166.94|1.9	-86.15|1.70
cpd00389	12.96|8.6	218.20|5.46
cpd00390	-710.16|3.14	nan
cpd00391	-232.24|0.7	nan
cpd00392	-152.6|0.62	-55.92|0.29
cpd00393	-107.8|3.16	-13.67|16170.40
cpd00394	nan	nan
cpd00395	-206.4|0.79	-208.81|16900.26
cpd00396	-182.05|1.5	-64.09|0.33
cpd00397	-181.0|0.64	-83.72|0.33
cpd00398	-113.81|2.23	-42.64|2.22
cpd00399	-737.55|3.94	-105.73|2.65
cpd00400	-64.98|0.48	-35.38|0.39
cpd00401	-752.13|3.62	-389.27|1.99
cpd00402	-608.06|2.03	-415.08|1.09
cpd00403	-268.66|0.89	-162.21|0.33
cpd00404	-85.66|0.51	37.87|0.73
cpd00405	-11.37|1.24	301.24|1.32
cpd00406	10000000.0|10000000.0	58.78|23900.57
cpd00407	53.49|1.36	191.33|1.40
cpd00408	-159.58|0.49	-45.64|1.13
cpd00409	-42.82|7.18	76.35|56445.16
cpd00410	10000000.0|10000000.0	nan
cpd00411	-25.0|1.58	86.88|1.00
cpd00412	-145.43|1.8	-19.02|1.04
cpd00413	-860.42|3.58	-490.22|1.88
cpd00414	-542.03|4.86	nan
cpd00415	-49.38|0.88	-9.90|0.96
cpd00416	-842.64|3.59	-491.17|1.98
cpd00417	-189.02|0.8	-73.12|0.32
cpd00418	10000000.0|10000000.0	20.66|0.72
cpd00419	-32.18|1.66	72.90|1.01
cpd00420	-24.99|6.87	65.59|56445.16
cpd00421	10000000.0|10000000.0	nan
cpd00422	-731.35|3.67	-348.04|2.17
cpd00423	10000000.0|10000000.0	nan
cpd00424	-154.91|0.96	-20.59|0.97
cpd00425	-1.35|0.93	75.01|0.92
cpd00426	-128.84|1.07	-78.40|0.92
cpd00427	-232.24|0.7	-145.01|0.29
cpd00428	-59.99|0.32	-22.69|0.25
cpd00429	-88.41|1.13	7.69|0.91
cpd00430	-47.35|0.89	33.23|0.73
cpd00431	10000000.0|10000000.0	nan
cpd00432	-239.04|0.45	-202.96|0.55
cpd00433	-23.31|1.06	168.55|1.36
cpd00434	-31.79|0.37	62.81|0.38
cpd00435	-8.28|0.79	69.37|0.59
cpd00436	-17.38|1.03	47.29|1.12
cpd00437	-260.64|0.72	-173.18|0.38
cpd00438	-5.51|2.99	119.30|0.74
cpd00439	4.68|4.99	nan
cpd00440	-384.52|2.47	nan
cpd00441	4.55|1.21	106.07|0.72
cpd00442	-979.52|3.61	nan
cpd00443	-48.99|0.95	10.63|0.67
cpd00444	-536.39|1.99	-343.76|1.23
cpd00445	14.49|1.27	139.86|1.38
cpd00446	-191.87|3.8	-83.11|0.38
cpd00447	21.67|1.97	99.15|16900.26
cpd00448	-106.7|0.35	-46.03|0.33
cpd00449	-27.35|1.48	138.28|1.74
cpd00450	1.47|0.77	60.26|1.37
cpd00451	-75.84|1.52	-6.96|1.62
cpd00452	-748.96|3.62	-368.14|2.01
cpd00453	-79.95|0.33	-1.36|0.24
cpd00454	-112.91|1.45	172.60|1.66
cpd00455	-178.44|1.37	-61.37|0.35
cpd00456	-92.53|0.89	-51.03|0.62
cpd00457	-200.31|1.97	-102.46|16900.26
cpd00458	-51.81|1.31	35.96|1.12
cpd00459	10000000.0|10000000.0	nan
cpd00460	-152.53|0.76	-184.47|16900.26
cpd00461	-82.8|0.86	-42.92|0.42
cpd00463	20.58|6.9	275.50|56445.16
cpd00464	2.82|0.8	80.06|0.63
cpd00465	-163.98|0.97	-113.73|0.90
cpd00466	92.14|3.29	161.77|1.94
cpd00467	10000000.0|10000000.0	-28.90|23900.57
cpd00468	10000000.0|10000000.0	nan
cpd00469	-371.11|3.05	-127.70|0.74
cpd00470	-24.81|1.29	191.39|1.30
cpd00471	-291.58|2.79	-323.27|29272.11
cpd00472	-805.77|3.09	-610.80|1.28
cpd00473	-260.64|0.72	-173.10|0.30
cpd00474	14.85|6.94	106.34|56445.16
cpd00475	-394.12|1.32	-292.14|0.35
cpd00477	-193.73|0.73	-107.45|0.74
cpd00478	-279.93|1.66	-191.78|0.89
cpd00479	-132.01|1.09	-99.53|0.92
cpd00480	-258.18|0.74	-173.77|0.76
cpd00481	-784.4|3.56	-400.07|1.93
cpd00482	-371.9|0.29	-321.41|0.20
cpd00483	-88.47|1.12	-37.87|0.92
cpd00484	-39.83|0.9	10.04|0.65
cpd00485	-430.78|1.51	-311.21|0.30
cpd00486	28.87|1.56	111.19|1.01
cpd00487	10000000.0|10000000.0	nan
cpd00488	-119.47|1.56	188.18|1.61
cpd00489	-89.36|0.87	-29.90|0.63
cpd00490	-64.48|1.57	38.37|1.11
cpd00491	-437.94|0.91	-302.71|0.44
cpd00492	-212.63|1.63	nan
cpd00493	-244.68|1.66	-138.72|0.93
cpd00494	-34.8|5.0	nan
cpd00495	-144.73|0.65	-65.74|0.42
cpd00496	-179.36|1.09	-102.78|0.46
cpd00497	-364.43|2.78	-242.44|0.75
cpd00498	-151.56|0.45	-60.14|0.41
cpd00499	-643.28|1.49	-524.35|0.48
cpd00501	-430.78|1.51	-311.21|0.30
cpd00502	-106.95|3.24	42.51|15009.22
cpd00503	-644.17|1.3	-521.27|0.68
cpd00504	-163.68|0.6	-27.45|0.70
cpd00506	-190.37|1.04	-64.19|0.87
cpd00507	-254.99|2.06	-45.05|23900.57
cpd00508	-109.64|0.4	-20.27|0.39
cpd00509	-354.28|1.18	-252.94|0.54
cpd00510	-354.28|1.18	nan
cpd00511	-36.26|7.19	60.77|56445.16
cpd00512	10000000.0|10000000.0	nan
cpd00513	10000000.0|10000000.0	nan
cpd00514	10000000.0|10000000.0	nan
cpd00515	-263.36|0.53	-207.05|0.39
cpd00516	-163.68|0.6	-27.84|0.70
cpd00517	-317.85|1.57	71.68|1.57
cpd00518	-108.82|1.07	-69.60|0.55
cpd00519	-863.85|3.55	-509.05|2.06
cpd00520	-183.72|0.44	-117.58|0.22
cpd00521	-680.33|2.86	-452.62|1.44
cpd00522	-680.33|2.86	-456.42|1.46
cpd00523	-589.26|2.99	-377.22|0.53
cpd00524	-213.4|1.28	-131.96|1.30
cpd00525	-958.02|3.91	-570.43|1.97
cpd00526	-165.99|7.11	47.63|56445.16
cpd00527	-112.91|1.45	172.60|1.66
cpd00528	4.47|0.5	nan
cpd00530	-780.43|2.8	-659.30|0.94
cpd00531	10000000.0|10000000.0	nan
cpd00532	6.9|0.5	nan
cpd00533	-513.54|1.84	-377.76|1.11
cpd00534	10000000.0|10000000.0	nan
cpd00536	-38.47|1.33	281.01|1.41
cpd00537	-535.24|4.53	nan
cpd00538	33.38|2.77	5.82|16170.40
cpd00540	-31.03|1.96	38.08|16900.26
cpd00541	-63.98|1.56	64.80|1.71
cpd00542	10000000.0|10000000.0	nan
cpd00543	-51.01|1.07	9.74|0.93
cpd00544	10000000.0|10000000.0	nan
cpd00545	-115.19|1.24	120.19|0.93
cpd00546	-130.78|6.83	-20.54|56445.16
cpd00547	-83.39|0.7	-14.94|0.77
cpd00548	-218.28|1.54	-101.69|0.27
cpd00549	-84.04|0.56	60.25|0.87
cpd00550	-124.15|0.31	-56.70|0.66
cpd00551	-61.64|0.46	-2.96|0.38
cpd00552	10000000.0|10000000.0	nan
cpd00553	10000000.0|10000000.0	289.11|4.32
cpd00554	80.59|1.71	187.10|2.06
cpd00555	-316.34|6.2	459.50|99802.05
cpd00556	44.52|1.61	84.24|0.77
cpd00557	10000000.0|10000000.0	nan
cpd00558	15.6|2.04	293.85|2.13
cpd00559	161.68|3.16	635.66|3.47
cpd00560	10000000.0|10000000.0	nan
cpd00561	-64.66|1.16	-17.06|1.03
cpd00562	-33.81|0.64	142.63|0.61
cpd00563	-7.68|4.62	68.30|23900.57
cpd00564	-75.92|3.17	38.77|33800.52
cpd00565	-210.29|2.14	-38.36|1.37
cpd00566	-124.22|6.84	-36.12|56445.16
cpd00567	-62.54|0.94	9.99|1.93
cpd00568	-217.61|1.37	-102.76|0.42
cpd00569	-909.73|14.1	-248.14|84667.75
cpd00570	4.63|2.07	102.99|1.44
cpd00571	-311.88|0.82	-234.49|0.40
cpd00572	-45.63|1.13	nan
cpd00573	-268.66|0.89	-162.21|0.33
cpd00574	-148.29|0.43	nan
cpd00575	-298.19|3.94	317.69|2.80
cpd00576	-121.43|2.15	-19.66|1.88
cpd00577	26.13|2.67	282.27|2.49
cpd00578	-107.65|1.59	nan
cpd00579	15.16|1.57	125.65|1.12
cpd00580	10000000.0|10000000.0	24.44|28222.58
cpd00581	-26.85|1.3	27.23|0.94
cpd00582	-99.16|2.25	-21.51|2.31
cpd00583	-79.86|1.43	35.48|1.25
cpd00584	-680.9|2.15	-449.47|1.10
cpd00585	-6.19|2.8	62.60|0.72
cpd00586	-73.77|1.56	81.80|1.17
cpd00587	-83.39|0.7	-14.94|0.77
cpd00588	-225.44|0.99	-89.64|0.31
cpd00589	-217.42|0.82	-102.10|0.48
cpd00590	-105.4|4.02	67.94|47801.15
cpd00591	-8.28|0.24	68.36|0.38
cpd00592	-784.18|3.51	-463.11|2.06
cpd00593	10.4|2.17	126.27|23900.57
cpd00594	-268.66|0.89	-162.21|0.33
