rxn_id	kegg_rxn_id	dG_mean_kcal_per_mol	dG_uncer_kcal_per_mol	operator
rxn00561	R00775	-6.79	0.06	>
rxn00562	R00776	1.21	0.03	=
rxn00563	R00777	-15.57	0.34	>
rxn00564	R00778	1.09	0.32	=
rxn00565	R00781	-82.56	0.05	>
rxn00566	R00782	-0.7	0.04	>
rxn00568	R00787	96.12	0.04	<
rxn00569	R00789	94.37	0.04	<
rxn00570	R00793	75.8	0.47	<
rxn00571	R00794	35.33	0.04	<
rxn00572	R00796	34.74	0.04	<
rxn00573	R00799	28.21	0.47	<
rxn00574		28.21	0.47	<
rxn00575	R00801; R06087	-6.22	0.03	>
rxn00577	R00803; R06034	-1.73	0.03	=
rxn00578	R00805; R06211	-4.25	0.27	>
rxn00579	R00806; R06036	-0.59	0.02	=
rxn00580	R00807; R06233	0.69	0.29	=
rxn00581	R00809; R06130	-3.25	0.03	=
rxn00582	R00810; R06217	-4.05	0.03	=
rxn00583	R00812	28.65	0.78	<
rxn00584	R00813	20.64	0.81	<
rxn00585	R00814	27.15	0.87	<
rxn00586	R00815	-83.15	0.36	>
rxn00587	R00816	-112.27	0.54	>
rxn00588	R00817	-120.79	0.54	>
rxn00589	R00818	-83.3	0.37	>
rxn00590		-83.3	0.37	>
rxn00591		-83.3	0.37	>
rxn00592	R00821	-1.74	0.19	>
rxn00593	R00822	-1.62	0.18	>
rxn00594	R00823	-82.63	0.37	>
rxn00595	R00825	-82.05	0.37	>
rxn00596	R00827; R07330	-23.12	0.8	>
rxn00597		-23.12	0.8	>
rxn00598	R00829	-4.75	0.29	>
rxn00599	R00830	-2.34	0.2	>
rxn00600		-2.34	0.2	>
rxn00601	R00832	-6.02	0.39	>
rxn00602	R00833	-1.81	0.03	=
rxn00603	R00834	2.36	0.03	=
rxn00604	R00835	-0.79	0.03	=
rxn00605	R00836; R06043	-3.85	0.03	=
rxn00606	R00837; R06113	-2.96	0.03	>
rxn00607	R00838; R06115	-7.62	0.27	>
rxn00608	R00839	-1.43	0.22	=
rxn00609		-1.43	0.22	=
rxn00610	R00841	-3.73	0.03	>
rxn00611	R00842	6.33	0.03	=
rxn00612	R00844	5.75	0.03	=
rxn00613	R00845	7.57	0.03	=
rxn00614	R00846	-25.88	0.04	>
rxn00615	R00847	-2.66	0.03	=
rxn00616	R00848	1.9	0.04	=
rxn00617	R00850	-0.77	0.03	=
rxn00618	R00853	-4.13	0.24	=
rxn00619	R00854	-2.06	0.23	=
rxn00620	R00855	-7.51	0.08	>
rxn00621	R00856	-0.84	0.08	=
rxn00623	R00858	30.03	0.05	<
rxn00624	R00863	-25.48	0.41	>
rxn00625	R00864	77.32	0.49	<
rxn00627	R00866	-2.65	0.02	=
rxn00629	R00868; R00871; R01201; R01206; R01207; R01408; R01410; R01811; R01966; R07779; R08511	-12.31	0.25	>
rxn00630	R00870; R00871; R01201; R01206; R01207; R01408; R01410; R01811; R01966; R07779; R08511	-12.38	0.25	>
rxn00631	R00871; R01201; R01206; R01207; R01408; R01410; R01811; R01966; R07779; R08511; R08651	-12.01	0.25	>
rxn00632	R00872	-7.52	0.24	>
rxn00633	R00874	-3.33	0.03	=
